Date,Open,High,Low,Close,Adj Close,Volume
1999-05-28,7.531250,9.218750,7.437500,8.531250,7.507586,7882400
1999-06-01,8.625000,8.687500,7.562500,8.000000,7.040081,1467600
1999-06-02,8.000000,8.062500,7.562500,7.781250,6.847578,588400
1999-06-03,7.937500,8.593750,7.687500,8.468750,7.452586,744400
1999-06-04,8.500000,8.812500,8.375000,8.375000,7.370084,653400
1999-06-07,8.625000,8.625000,8.312500,8.625000,7.590087,879800
1999-06-08,8.500000,8.718750,8.500000,8.625000,7.590087,283600
1999-06-09,8.750000,8.875000,8.687500,8.750000,7.700088,535400
1999-06-10,8.812500,8.812500,8.343750,8.687500,7.645088,637000
1999-06-11,8.562500,8.687500,8.437500,8.562500,7.535086,410600
1999-06-14,8.718750,8.968750,8.562500,8.875000,7.810089,261800
1999-06-15,9.000000,9.312500,8.812500,9.218750,8.112594,136600
1999-06-16,9.375000,10.750000,9.312500,10.562500,9.295108,293000
1999-06-17,10.656250,11.875000,10.562500,11.125000,9.790113,176800
1999-06-18,10.875000,11.375000,10.875000,10.937500,9.625111,77200
1999-06-21,11.125000,11.750000,10.906250,11.750000,10.340119,144200
1999-06-22,11.937500,12.187500,11.437500,11.562500,10.175116,176200
1999-06-23,11.750000,12.687500,11.625000,12.687500,11.165127,431800
1999-06-24,13.187500,13.562500,12.750000,13.187500,11.605132,322400
1999-06-25,13.468750,13.531250,12.750000,12.937500,11.385131,84000
1999-06-28,13.250000,13.250000,12.500000,12.562500,11.055124,314800
1999-06-29,12.562500,13.125000,12.562500,12.937500,11.385131,798400
1999-06-30,13.156250,13.625000,13.031250,13.500000,11.880135,510000
1999-07-01,13.656250,13.875000,13.250000,13.656250,12.017635,34800
1999-07-02,13.625000,13.656250,13.250000,13.250000,11.660132,14600
1999-07-06,13.468750,13.656250,13.437500,13.437500,11.825135,76600
1999-07-07,13.625000,13.625000,13.437500,13.625000,11.990136,30800
1999-07-08,13.656250,14.718750,13.562500,14.187500,12.485142,110800
1999-07-09,14.187500,18.125000,14.187500,15.500000,13.640156,364600
1999-07-12,16.375000,18.125000,15.562500,16.218750,14.272665,139400
1999-07-13,16.312500,16.312500,14.937500,15.125000,13.310153,344200
1999-07-14,15.187500,16.062500,15.000000,15.625000,13.750157,118200
1999-07-15,15.812500,16.812500,15.437500,16.562500,14.575166,437200
1999-07-16,16.875000,17.062500,16.500000,16.562500,14.575166,136600
1999-07-19,17.000000,17.250000,14.062500,15.000000,13.200150,454000
1999-07-20,14.968750,15.062500,13.625000,13.718750,12.072639,323600
1999-07-21,13.859375,13.968750,12.500000,12.500000,11.000125,965200
1999-07-22,12.562500,13.875000,12.312500,13.312500,11.715134,184600
1999-07-23,13.375000,13.437500,12.875000,13.187500,11.605132,115600
1999-07-26,12.812500,13.031250,12.500000,12.750000,11.220128,214800
1999-07-27,12.562500,13.218750,12.562500,13.062500,11.495131,60000
1999-07-28,13.062500,14.750000,13.062500,13.812500,12.155138,93400
1999-07-29,13.500000,14.312500,13.500000,14.312500,12.595145,91600
1999-07-30,14.437500,15.125000,14.437500,15.000000,13.200150,331200
1999-08-02,14.875000,15.000000,13.125000,13.531250,11.907635,73000
1999-08-03,13.531250,13.531250,11.375000,12.375000,10.890123,712800
1999-08-04,12.312500,12.625000,12.125000,12.437500,10.945127,151200
1999-08-05,12.500000,12.500000,11.500000,11.937500,10.505119,147600
1999-08-06,11.875000,11.937500,11.750000,11.781250,10.367618,29600
1999-08-09,11.812500,11.812500,10.812500,10.812500,9.515110,136000
1999-08-10,10.687500,10.906250,9.625000,9.812500,8.635100,144600
1999-08-11,10.375000,10.812500,10.281250,10.562500,9.295108,985400
1999-08-12,10.625000,10.875000,10.593750,10.687500,9.405107,929800
1999-08-13,10.750000,11.937500,10.750000,11.906250,10.477619,268200
1999-08-16,12.000000,13.625000,11.906250,12.687500,11.165127,284600
1999-08-17,12.687500,13.812500,12.625000,13.000000,11.440128,76600
1999-08-18,13.187500,13.750000,13.000000,13.125000,11.550133,290000
1999-08-19,13.500000,13.937500,13.000000,13.875000,12.210138,362800
1999-08-20,14.203125,14.625000,13.875000,14.437500,12.705145,91200
1999-08-23,14.437500,15.000000,14.312500,14.750000,12.980147,112400
1999-08-24,14.500000,14.812500,14.500000,14.750000,12.980147,182400
1999-08-25,14.500000,14.687500,14.250000,14.281250,12.567643,54000
1999-08-26,14.000000,14.125000,13.750000,13.750000,12.100139,121400
1999-08-27,14.000000,14.000000,13.781250,13.875000,12.210138,48600
1999-08-30,13.812500,14.000000,13.812500,14.000000,12.320141,52800
1999-08-31,14.062500,14.562500,13.812500,14.562500,12.815146,138600
1999-09-01,14.625000,15.125000,14.500000,14.718750,12.952647,37000
1999-09-02,14.312500,14.750000,14.000000,14.125000,12.430140,81000
1999-09-03,14.187500,14.562500,14.062500,14.437500,12.705145,66200
1999-09-07,14.937500,14.968750,14.437500,14.500000,12.760144,194000
1999-09-08,14.656250,16.125000,14.656250,15.625000,13.750157,342800
1999-09-09,15.656250,18.500000,15.562500,16.687500,14.685169,552000
1999-09-10,17.500000,18.812500,17.375000,18.250000,16.060186,707600
1999-09-13,18.187500,19.484375,18.000000,19.000000,16.720190,292600
1999-09-14,19.281250,20.125000,18.687500,19.875000,17.490202,221200
1999-09-15,19.875000,20.593750,19.375000,19.375000,17.050196,320000
1999-09-16,18.812500,18.875000,17.750000,18.437500,16.225187,202200
1999-09-17,18.000000,19.250000,18.000000,18.875000,16.610188,125400
1999-09-20,18.375000,19.000000,18.375000,19.000000,16.720190,12200
1999-09-21,19.031250,19.125000,18.625000,18.750000,16.500191,147200
1999-09-22,18.812500,18.812500,17.687500,18.250000,16.060186,202600
1999-09-23,18.000000,19.500000,18.000000,18.125000,15.950182,293000
1999-09-24,18.125000,18.562500,18.000000,18.500000,16.280184,270600
1999-09-27,18.250000,19.250000,18.125000,19.000000,16.720190,37800
1999-09-28,18.687500,18.812500,18.687500,18.687500,16.445189,50600
1999-09-29,18.843750,18.843750,18.562500,18.562500,16.335190,72000
1999-09-30,18.562500,18.812500,18.437500,18.812500,16.555189,50400
1999-10-01,18.812500,19.812500,18.812500,19.625000,17.270201,55000
1999-10-04,19.750000,22.375000,19.687500,22.281250,19.607725,933400
1999-10-05,23.687500,23.937500,23.000000,23.375000,20.570238,535800
1999-10-06,22.312500,22.312500,21.031250,21.875000,19.250221,641200
1999-10-07,21.843750,21.937500,21.750000,21.937500,19.305220,86800
1999-10-08,21.687500,21.906250,21.625000,21.625000,19.030220,20800
1999-10-11,21.625000,22.562500,21.625000,22.250000,19.580227,63000
1999-10-12,22.625000,24.375000,22.250000,23.750000,20.900238,96000
1999-10-13,23.937500,24.187500,23.000000,23.062500,20.295233,54400
1999-10-14,21.000000,22.312500,20.500000,21.437500,18.865219,2710600
1999-10-15,20.937500,20.937500,20.187500,20.437500,17.985205,1231200
1999-10-18,20.781250,20.812500,20.187500,20.375000,17.930204,254000
1999-10-19,20.500000,23.250000,20.500000,23.250000,20.460232,388000
1999-10-20,23.375000,24.093750,21.937500,23.750000,20.900238,2529400
1999-10-21,22.812500,25.562500,22.812500,25.250000,22.220255,108600
1999-10-22,25.687500,27.687500,25.437500,26.625000,23.430267,195600
1999-10-25,26.937500,27.000000,26.375000,27.000000,23.760269,95000
1999-10-26,27.062500,29.250000,26.687500,28.750000,25.300289,307000
1999-10-27,28.750000,28.750000,28.375000,28.375000,24.970284,127400
1999-10-28,28.875000,29.000000,28.375000,28.562500,25.135286,46600
1999-10-29,28.750000,32.125000,28.625000,30.250000,26.620306,178800
1999-11-01,31.625000,32.187500,29.437500,29.960938,26.365925,88400
1999-11-02,29.437500,29.937500,25.437500,27.500000,24.200277,451000
1999-11-03,27.875000,27.875000,25.250000,25.500000,22.440256,82200
1999-11-04,25.000000,28.343750,24.562500,28.343750,24.942787,813400
1999-11-05,28.500000,33.500000,28.437500,32.375000,28.490326,214000
1999-11-08,32.750000,36.500000,32.250000,33.937500,29.865347,239200
1999-11-09,34.500000,35.375000,31.250000,31.250000,27.500315,66600
1999-11-10,31.875000,33.625000,30.500000,33.500000,29.480335,655600
1999-11-11,33.750000,33.750000,31.312500,31.312500,27.555317,82400
1999-11-12,32.000000,35.812500,31.000000,35.750000,31.460358,388000
1999-11-15,36.125000,36.875000,35.500000,36.000000,31.680363,110000
1999-11-16,36.375000,36.375000,35.250000,35.593750,31.322861,113200
1999-11-17,35.625000,38.562500,35.125000,38.000000,33.440380,165000
1999-11-18,39.656250,42.000000,39.062500,40.875000,35.970409,517400
1999-11-19,41.218750,41.750000,39.375000,39.375000,34.650406,223600
1999-11-22,40.921875,40.937500,37.812500,38.062500,33.495377,214000
1999-11-23,38.046875,38.562500,32.812500,35.000000,30.800350,456600
1999-11-24,34.625000,34.625000,31.687500,32.000000,28.160322,669000
1999-11-26,31.875000,32.437500,31.875000,32.312500,28.435328,125200
1999-11-29,33.187500,35.062500,32.375000,33.312500,29.315334,654000
1999-11-30,32.500000,32.625000,28.250000,29.937500,26.345304,502800
1999-12-01,29.562500,31.937500,29.562500,31.625000,27.830318,771200
1999-12-02,33.062500,35.875000,32.125000,35.062500,30.855352,490200
1999-12-03,36.812500,37.562500,35.062500,35.250000,31.020357,243600
1999-12-06,35.250000,36.187500,31.250000,32.437500,28.545330,182600
1999-12-07,32.375000,32.562500,29.875000,32.312500,28.435328,213000
1999-12-08,31.437500,32.562500,31.250000,32.437500,28.545330,159200
1999-12-09,32.750000,32.750000,30.312500,30.375000,26.730305,92400
1999-12-10,31.468750,31.750000,30.250000,31.750000,27.940317,348600
1999-12-13,29.750000,34.125000,29.500000,33.250000,29.260334,506400
1999-12-14,33.250000,33.625000,32.812500,33.062500,29.095333,994200
1999-12-15,33.062500,33.250000,30.875000,31.125000,27.390312,63400
1999-12-16,31.000000,32.562500,31.000000,32.125000,28.270323,105600
1999-12-17,32.421875,35.437500,32.250000,34.468750,30.332846,187000
