Date,Open,High,Low,Close,Adj Close,Volume
2022-10-03,8.000000,13.700000,8.000000,13.100000,13.100000,2000
2022-10-04,13.100000,13.100000,13.100000,13.100000,13.100000,100
2022-10-05,13.550000,13.810000,13.200000,13.810000,13.810000,1600
2022-10-06,13.810000,13.810000,13.810000,13.810000,13.810000,200
2022-10-07,13.300000,15.500000,12.620000,15.200000,15.200000,74900
2022-10-10,16.719999,21.000000,13.050000,15.600000,15.600000,206300
2022-10-11,14.040000,14.040000,12.000000,13.270000,13.270000,69800
2022-10-12,11.940000,13.400000,10.010000,12.000000,12.000000,40400
2022-10-13,12.000000,13.818000,11.500000,12.900000,12.900000,27300
2022-10-14,13.240000,13.240000,11.500000,12.000000,12.000000,13200
2022-10-17,11.170000,13.060000,11.050000,11.750000,11.750000,23600
2022-10-18,12.340000,12.500000,10.760000,10.900000,10.900000,39400
2022-10-19,10.600000,12.100000,10.600000,10.700000,10.700000,45200
2022-10-20,10.550000,12.500000,10.540000,10.650000,10.650000,16900
2022-10-21,10.720000,12.260000,10.700000,10.700000,10.700000,24800
2022-10-24,10.550000,11.530000,10.210000,10.500000,10.500000,8500
2022-10-25,10.750000,11.000000,10.500000,10.550000,10.550000,5300
2022-10-26,10.158000,11.000000,10.158000,10.630000,10.630000,4200
2022-10-27,11.000000,11.000000,10.571000,10.610000,10.610000,4800
2022-10-28,10.500000,11.000000,10.500000,10.650000,10.650000,4000
2022-10-31,10.690000,10.872000,10.300000,10.300000,10.300000,5200
2022-11-01,10.480000,10.550000,10.310000,10.550000,10.550000,2600
2022-11-02,10.490000,10.740000,10.210000,10.310000,10.310000,4100
2022-11-03,10.350000,10.700000,10.110000,10.110000,10.110000,11900
2022-11-04,10.260000,10.260000,9.660000,10.100000,10.100000,8300
2022-11-07,10.050000,11.025000,9.630000,10.315000,10.315000,25800
2022-11-08,10.310000,10.544000,10.310000,10.500000,10.500000,1500
2022-11-09,10.500000,10.525000,10.440000,10.440000,10.440000,1500
2022-11-10,10.660000,10.660000,9.765000,10.450000,10.450000,16800
2022-11-11,10.450000,11.000000,10.000000,10.070000,10.070000,13800
2022-11-14,10.000000,10.600000,9.988000,10.600000,10.600000,10500
2022-11-15,10.340000,10.650000,9.610000,10.320000,10.320000,17300
2022-11-16,9.900000,10.385000,9.900000,10.352000,10.352000,1400
2022-11-17,10.380000,10.468000,10.000000,10.200000,10.200000,3700
2022-11-18,10.387000,10.412000,9.910000,9.920000,9.920000,5400
