Date,Open,High,Low,Close,Adj Close,Volume
1994-07-01,1.289063,1.316406,1.289063,1.316406,0.610458,29958400
1994-07-05,1.359375,1.367188,1.347656,1.367188,0.634007,10691200
1994-07-06,1.367188,1.414063,1.367188,1.414063,0.655745,7408000
1994-07-07,1.410156,1.433594,1.406250,1.433594,0.664802,9747200
1994-07-08,1.429688,1.445313,1.417969,1.441406,0.668425,4467200
1994-07-11,1.433594,1.484375,1.433594,1.476563,0.684728,5910400
1994-07-12,1.484375,1.546875,1.484375,1.527344,0.708277,16467200
1994-07-13,1.527344,1.542969,1.515625,1.539063,0.713711,10678400
1994-07-14,1.507813,1.527344,1.496094,1.503906,0.697408,11481600
1994-07-15,1.464844,1.480469,1.464844,1.468750,0.681105,7609600
1994-07-18,1.476563,1.507813,1.472656,1.507813,0.699220,3657600
1994-07-19,1.496094,1.500000,1.476563,1.476563,0.684728,3107200
1994-07-20,1.476563,1.476563,1.457031,1.468750,0.681105,3747200
1994-07-21,1.480469,1.492188,1.480469,1.484375,0.688351,2243200
1994-07-22,1.484375,1.496094,1.480469,1.496094,0.693785,1459200
1994-07-25,1.500000,1.500000,1.488281,1.496094,0.693785,1536000
1994-07-26,1.515625,1.527344,1.507813,1.515625,0.702842,1043200
1994-07-27,1.539063,1.539063,1.523438,1.535156,0.711899,1756800
1994-07-28,1.515625,1.523438,1.511719,1.511719,0.701031,1113600
1994-07-29,1.515625,1.539063,1.515625,1.535156,0.711899,5459200
1994-08-01,1.542969,1.562500,1.542969,1.554688,0.720957,2585600
1994-08-02,1.558594,1.558594,1.539063,1.539063,0.713711,1216000
1994-08-03,1.542969,1.550781,1.542969,1.550781,0.719145,966400
1994-08-04,1.554688,1.554688,1.531250,1.531250,0.710088,729600
1994-08-05,1.535156,1.535156,1.527344,1.531250,0.710088,1132800
1994-08-08,1.523438,1.523438,1.515625,1.523438,0.706465,3744000
1994-08-09,1.507813,1.515625,1.507813,1.507813,0.699220,1046400
1994-08-10,1.492188,1.500000,1.488281,1.496094,0.693785,5481600
1994-08-11,1.488281,1.511719,1.476563,1.503906,0.697408,4217600
1994-08-12,1.484375,1.492188,1.480469,1.488281,0.690162,3827200
1994-08-15,1.492188,1.511719,1.488281,1.503906,0.697408,1936000
1994-08-16,1.500000,1.500000,1.484375,1.496094,0.693785,2086400
1994-08-17,1.496094,1.535156,1.492188,1.535156,0.711899,7676800
1994-08-18,1.558594,1.621094,1.558594,1.617188,0.749940,2934400
1994-08-19,1.625000,1.671875,1.625000,1.644531,0.762620,3017600
1994-08-22,1.625000,1.636719,1.617188,1.636719,0.758997,2537600
1994-08-23,1.621094,1.652344,1.621094,1.640625,0.760809,7078400
1994-08-24,1.644531,1.644531,1.621094,1.636719,0.758997,6969600
1994-08-25,1.652344,1.679688,1.648438,1.656250,0.768054,25561600
1994-08-26,1.664063,1.664063,1.644531,1.648438,0.764432,9750400
