Date,Open,High,Low,Close,Adj Close,Volume
1995-11-21,1.078125,1.328125,1.078125,1.281250,0.973379,51412800
1995-11-22,1.281250,1.609375,1.265625,1.562500,1.187047,11921600
1995-11-24,1.562500,1.703125,1.562500,1.687500,1.282012,2419200
1995-11-27,1.781250,1.812500,1.531250,1.578125,1.198918,6720000
1995-11-28,1.578125,1.609375,1.562500,1.593750,1.210788,3451200
1995-11-29,1.562500,1.812500,1.562500,1.796875,1.365105,3628800
1995-11-30,1.796875,1.984375,1.765625,1.890625,1.436327,8254400
1995-12-01,1.921875,1.968750,1.859375,1.875000,1.424457,2616000
1995-12-04,1.875000,2.406250,1.875000,2.343750,1.780571,5961600
1995-12-05,2.343750,2.375000,2.203125,2.210938,1.679673,2907200
1995-12-06,2.234375,2.265625,2.078125,2.093750,1.590643,3456000
1995-12-07,2.093750,2.093750,1.984375,1.984375,1.507550,2665600
1995-12-08,1.984375,2.265625,1.984375,2.203125,1.673737,3099200
1995-12-11,2.218750,2.234375,2.171875,2.234375,1.697478,564800
1995-12-12,2.250000,2.359375,2.171875,2.296875,1.744960,2086400
1995-12-13,2.335938,2.335938,2.281250,2.312500,1.756830,1510400
1995-12-14,2.296875,2.328125,2.296875,2.296875,1.744960,668800
1995-12-15,2.296875,2.343750,2.234375,2.234375,1.697478,2635200
1995-12-18,2.250000,2.296875,1.968750,2.015625,1.531291,1246400
1995-12-19,1.953125,2.062500,1.910156,2.031250,1.543162,4568000
1995-12-20,2.093750,2.156250,2.000000,2.125000,1.614385,2275200
1995-12-21,2.156250,2.171875,2.093750,2.109375,1.602514,321600
1995-12-22,2.062500,2.187500,2.062500,2.125000,1.614385,1657600
1995-12-26,2.125000,2.281250,2.109375,2.265625,1.721219,2286400
1995-12-27,2.281250,2.359375,2.195313,2.328125,1.768700,2633600
1995-12-28,2.296875,2.500000,2.296875,2.453125,1.863665,2569600
1995-12-29,2.484375,2.609375,2.453125,2.507813,1.905211,1920000
1996-01-02,2.500000,2.500000,2.375000,2.375000,1.804312,1892800
1996-01-03,2.375000,2.406250,2.093750,2.125000,1.614385,3336000
1996-01-04,2.140625,2.140625,1.687500,1.875000,1.424457,6041600
1996-01-05,1.890625,2.062500,1.812500,1.937500,1.471939,3273600
1996-01-08,1.968750,2.000000,1.953125,1.953125,1.483809,166400
1996-01-09,2.000000,2.000000,1.656250,1.687500,1.282012,2500800
1996-01-10,1.609375,1.718750,1.578125,1.625000,1.234529,3016000
1996-01-11,1.765625,1.890625,1.734375,1.796875,1.365105,3654400
1996-01-12,1.875000,1.875000,1.687500,1.750000,1.329493,793600
1996-01-15,1.750000,1.765625,1.640625,1.703125,1.293881,668800
1996-01-16,1.671875,1.687500,1.421875,1.687500,1.282012,3932800
1996-01-17,1.593750,1.687500,1.578125,1.671875,1.270141,1545600
1996-01-18,1.625000,1.687500,1.625000,1.687500,1.282012,3180800
1996-01-19,1.679688,1.921875,1.640625,1.830078,1.390329,4825600
1996-01-22,1.875000,1.937500,1.828125,1.875000,1.424457,1913600
1996-01-23,1.859375,1.921875,1.859375,1.898438,1.442263,1126400
1996-01-24,1.906250,2.062500,1.890625,2.000000,1.519421,1267200
1996-01-25,2.046875,2.171875,2.000000,2.109375,1.602514,2702400
1996-01-26,2.093750,2.187500,2.062500,2.148438,1.632191,982400
1996-01-29,2.140625,2.187500,2.109375,2.125000,1.614385,936000
1996-01-30,2.078125,2.125000,1.875000,2.000000,1.519421,3513600
1996-01-31,1.968750,2.078125,1.921875,1.921875,1.460068,1129600
1996-02-01,1.953125,2.031250,1.921875,1.968750,1.495680,857600
1996-02-02,2.031250,2.031250,1.921875,1.945313,1.477874,1857600
1996-02-05,1.937500,2.015625,1.921875,2.015625,1.531291,964800
1996-02-06,2.015625,2.203125,1.984375,2.078125,1.578773,2483200
1996-02-07,2.125000,2.187500,2.046875,2.125000,1.614385,3126400
1996-02-08,2.203125,2.328125,2.156250,2.265625,1.721219,2886400
1996-02-09,2.265625,2.390625,2.234375,2.234375,1.697478,1934400
1996-02-12,2.257813,2.257813,2.062500,2.203125,1.673737,2108800
1996-02-13,2.140625,2.359375,2.093750,2.250000,1.709348,2425600
1996-02-14,2.281250,2.375000,2.250000,2.367188,1.798377,2414400
1996-02-15,2.367188,2.515625,2.328125,2.421875,1.839923,4148800
1996-02-16,2.531250,2.578125,2.203125,2.234375,1.697478,4108800
1996-02-20,2.218750,2.273438,2.171875,2.171875,1.649996,1452800
1996-02-21,2.187500,2.250000,2.171875,2.250000,1.709348,1270400
1996-02-22,2.250000,2.359375,2.234375,2.343750,1.780571,2659200
1996-02-23,2.312500,2.359375,2.156250,2.218750,1.685608,2572800
1996-02-26,2.156250,2.156250,2.093750,2.125000,1.614385,3064000
1996-02-27,2.148438,2.148438,2.046875,2.078125,1.578773,2192000
1996-02-28,2.062500,2.125000,2.062500,2.078125,1.578773,763200
1996-02-29,2.078125,2.132813,1.906250,1.984375,1.507550,2452800
1996-03-01,2.015625,2.015625,1.921875,1.937500,1.471939,456000
1996-03-04,1.984375,1.984375,1.921875,1.984375,1.507550,278400
1996-03-05,1.984375,2.000000,1.937500,1.937500,1.471939,670400
1996-03-06,1.937500,2.031250,1.937500,1.968750,1.495680,166400
1996-03-07,1.968750,2.031250,1.968750,1.984375,1.507550,398400
1996-03-08,1.984375,2.046875,1.953125,1.953125,1.483809,246400
1996-03-11,1.953125,2.015625,1.953125,2.015625,1.531291,163200
1996-03-12,1.953125,2.015625,1.937500,1.937500,1.471939,187200
1996-03-13,2.000000,2.000000,1.937500,1.937500,1.471939,137600
1996-03-14,2.000000,2.000000,1.937500,1.953125,1.483809,499200
1996-03-15,1.953125,2.015625,1.953125,2.015625,1.531291,3489600
1996-03-18,1.953125,2.015625,1.953125,1.953125,1.483809,1588800
1996-03-19,2.015625,2.015625,1.953125,1.968750,1.495680,144000
1996-03-20,1.968750,2.000000,1.921875,1.921875,1.460068,534400
1996-03-21,1.921875,1.984375,1.921875,1.921875,1.460068,563200
1996-03-22,1.984375,1.984375,1.875000,1.921875,1.460068,1032000
1996-03-25,1.984375,2.015625,1.921875,2.015625,1.531291,340800
1996-03-26,1.953125,2.015625,1.921875,1.921875,1.460068,475200
1996-03-27,1.984375,1.984375,1.921875,1.984375,1.507550,339200
1996-03-28,1.984375,1.984375,1.921875,1.921875,1.460068,163200
1996-03-29,1.984375,1.984375,1.921875,1.984375,1.507550,796800
1996-04-01,1.984375,1.984375,1.796875,1.859375,1.412586,1193600
1996-04-02,1.859375,1.859375,1.796875,1.796875,1.365105,729600
1996-04-03,1.796875,1.859375,1.796875,1.796875,1.365105,48000
1996-04-04,1.859375,1.859375,1.687500,1.718750,1.305752,1596800
1996-04-08,1.718750,1.750000,1.687500,1.687500,1.282012,491200
1996-04-09,1.687500,1.750000,1.687500,1.695313,1.287947,500800
1996-04-10,1.687500,1.750000,1.687500,1.687500,1.282012,1577600
1996-04-11,1.750000,1.750000,1.687500,1.703125,1.293881,809600
1996-04-12,1.750000,1.750000,1.625000,1.687500,1.282012,6328000
1996-04-15,1.750000,1.750000,1.687500,1.687500,1.282012,809600
1996-04-16,1.750000,1.750000,1.687500,1.687500,1.282012,606400
1996-04-17,1.687500,1.750000,1.687500,1.687500,1.282012,128000
1996-04-18,1.750000,1.750000,1.691406,1.750000,1.329493,96000
1996-04-19,1.687500,1.781250,1.687500,1.757813,1.335429,1664000
1996-04-22,1.781250,1.781250,1.718750,1.765625,1.341363,500800
1996-04-23,1.734375,1.812500,1.734375,1.812500,1.376975,822400
1996-04-24,1.812500,1.875000,1.750000,1.867188,1.418522,1388800
1996-04-25,1.851563,2.046875,1.812500,1.984375,1.507550,1884800
1996-04-26,2.046875,2.187500,2.000000,2.140625,1.626254,1382400
1996-04-29,2.187500,2.187500,2.109375,2.109375,1.602514,483200
1996-04-30,2.156250,2.156250,2.000000,2.000000,1.519421,766400
1996-05-01,2.062500,2.062500,1.968750,1.968750,1.495680,243200
1996-05-02,2.031250,2.031250,1.968750,1.968750,1.495680,206400
1996-05-03,2.000000,2.031250,1.937500,2.000000,1.519421,392000
1996-05-06,1.953125,2.000000,1.937500,2.000000,1.519421,1449600
1996-05-07,2.062500,2.062500,2.000000,2.062500,1.566902,331200
1996-05-08,2.000000,2.062500,2.000000,2.062500,1.566902,2251200
1996-05-09,2.015625,2.250000,2.015625,2.250000,1.709348,2867200
1996-05-10,2.218750,2.320313,2.187500,2.320313,1.762766,3934400
1996-05-13,2.343750,2.453125,2.281250,2.406250,1.828053,3163200
1996-05-14,2.406250,2.468750,2.359375,2.359375,1.792442,2824000
1996-05-15,2.359375,2.421875,2.359375,2.421875,1.839923,2094400
1996-05-16,2.250000,2.281250,2.125000,2.281250,1.733089,5265600
1996-05-17,2.281250,2.281250,2.218750,2.218750,1.685608,4318400
1996-05-20,2.218750,2.281250,2.171875,2.171875,1.649996,6369600
1996-05-21,2.171875,2.234375,2.171875,2.171875,1.649996,1406400
1996-05-22,2.171875,2.234375,2.171875,2.171875,1.649996,878400
1996-05-23,2.234375,2.234375,2.171875,2.171875,1.649996,1516800
1996-05-24,2.234375,2.234375,2.140625,2.140625,1.626254,233600
1996-05-28,2.109375,2.171875,2.046875,2.109375,1.602514,416000
1996-05-29,2.046875,2.109375,2.046875,2.078125,1.578773,1569600
1996-05-30,2.078125,2.078125,2.078125,2.078125,1.578773,62400
1996-05-31,2.140625,2.140625,2.078125,2.140625,1.626254,4156800
1996-06-03,2.140625,2.140625,2.078125,2.109375,1.602514,2275200
1996-06-04,2.140625,2.140625,2.078125,2.093750,1.590643,596800
1996-06-05,2.078125,2.140625,2.062500,2.078125,1.578773,1793600
1996-06-06,2.125000,2.125000,2.062500,2.062500,1.566902,502400
1996-06-07,2.046875,2.109375,2.046875,2.078125,1.578773,923200
1996-06-10,2.078125,2.078125,2.015625,2.015625,1.531291,104000
1996-06-11,2.062500,2.078125,2.015625,2.015625,1.531291,179200
1996-06-12,2.015625,2.078125,2.015625,2.078125,1.578773,156800
1996-06-13,2.078125,2.218750,2.015625,2.140625,1.626254,5417600
1996-06-14,2.187500,2.203125,2.109375,2.171875,1.649996,553600
1996-06-17,2.171875,2.171875,2.046875,2.046875,1.555032,305600
1996-06-18,2.046875,2.078125,1.812500,1.812500,1.376975,1616000
1996-06-19,1.875000,1.875000,1.812500,1.835938,1.394781,1459200
1996-06-20,1.851563,1.875000,1.812500,1.835938,1.394781,1216000
1996-06-21,1.812500,1.875000,1.812500,1.875000,1.424457,140800
1996-06-24,1.875000,1.875000,1.812500,1.875000,1.424457,1096000
1996-06-25,1.812500,1.875000,1.812500,1.812500,1.376975,580800
1996-06-26,1.843750,1.875000,1.812500,1.812500,1.376975,472000
1996-06-27,1.781250,1.843750,1.781250,1.781250,1.353234,523200
1996-06-28,1.812500,1.859375,1.781250,1.859375,1.412586,1696000
1996-07-01,1.796875,1.859375,1.796875,1.828125,1.388846,430400
1996-07-02,1.828125,1.828125,1.796875,1.812500,1.376975,40000
1996-07-03,1.812500,1.812500,1.812500,1.812500,1.376975,308800
1996-07-05,1.812500,1.812500,1.812500,1.812500,1.376975,0
1996-07-08,1.843750,1.843750,1.796875,1.812500,1.376975,251200
1996-07-09,1.781250,1.781250,1.671875,1.734375,1.317623,371200
1996-07-10,1.687500,1.734375,1.625000,1.687500,1.282012,355200
1996-07-11,1.687500,1.687500,1.593750,1.593750,1.210788,270400
1996-07-12,1.593750,1.656250,1.593750,1.656250,1.258270,144000
1996-07-15,1.656250,1.656250,1.562500,1.562500,1.187047,526400
1996-07-16,1.562500,1.625000,1.562500,1.562500,1.187047,116800
1996-07-17,1.625000,1.625000,1.562500,1.562500,1.187047,360000
1996-07-18,1.593750,1.625000,1.562500,1.625000,1.234529,249600
1996-07-19,1.562500,1.625000,1.562500,1.625000,1.234529,148800
1996-07-22,1.625000,1.625000,1.562500,1.625000,1.234529,94400
1996-07-23,1.562500,1.593750,1.515625,1.515625,1.151436,230400
1996-07-24,1.531250,1.578125,1.484375,1.515625,1.151436,126400
1996-07-25,1.562500,1.562500,1.515625,1.515625,1.151436,180800
1996-07-26,1.515625,1.562500,1.515625,1.515625,1.151436,232000
1996-07-29,1.562500,1.562500,1.500000,1.546875,1.175177,156800
1996-07-30,1.484375,1.546875,1.484375,1.546875,1.175177,320000
1996-07-31,1.546875,1.546875,1.250000,1.500000,1.139565,2108800
1996-08-01,1.406250,1.406250,1.273438,1.359375,1.032731,18251200
1996-08-02,1.468750,1.734375,1.406250,1.640625,1.246400,5177600
1996-08-05,1.687500,1.687500,1.625000,1.687500,1.282012,928000
1996-08-06,1.687500,1.687500,1.546875,1.578125,1.198918,2342400
1996-08-07,1.625000,1.703125,1.562500,1.687500,1.282012,1617600
1996-08-08,1.687500,1.796875,1.671875,1.796875,1.365105,4144000
1996-08-09,1.875000,1.921875,1.796875,1.851563,1.406651,3920000
1996-08-12,1.906250,1.953125,1.843750,1.875000,1.424457,1324800
1996-08-13,1.921875,1.921875,1.687500,1.781250,1.353234,1468800
1996-08-14,1.781250,1.796875,1.718750,1.734375,1.317623,1563200
1996-08-15,1.828125,1.875000,1.593750,1.765625,1.341363,3273600
1996-08-16,1.765625,1.765625,1.687500,1.687500,1.282012,281600
1996-08-19,1.750000,1.750000,1.656250,1.656250,1.258270,193600
1996-08-20,1.656250,1.718750,1.625000,1.640625,1.246400,361600
1996-08-21,1.687500,1.687500,1.640625,1.648438,1.252336,2564800
1996-08-22,1.687500,1.750000,1.671875,1.718750,1.305752,1323200
1996-08-23,1.765625,1.765625,1.703125,1.703125,1.293881,513600
1996-08-26,1.703125,1.718750,1.656250,1.718750,1.305752,139200
1996-08-27,1.718750,1.718750,1.656250,1.703125,1.293881,278400
1996-08-28,1.656250,1.765625,1.656250,1.742188,1.323558,2308800
1996-08-29,1.718750,1.781250,1.687500,1.687500,1.282012,548800
1996-08-30,1.750000,1.750000,1.687500,1.750000,1.329493,401600
1996-09-03,1.687500,1.781250,1.656250,1.781250,1.353234,726400
1996-09-04,1.781250,1.796875,1.734375,1.796875,1.365105,1267200
1996-09-05,1.796875,1.796875,1.734375,1.734375,1.317623,2460800
1996-09-06,1.734375,1.796875,1.734375,1.796875,1.365105,507200
1996-09-09,1.781250,1.812500,1.750000,1.750000,1.329493,89600
1996-09-10,1.765625,1.781250,1.718750,1.750000,1.329493,2142400
1996-09-11,1.718750,1.718750,1.625000,1.625000,1.234529,843200
1996-09-12,1.687500,1.703125,1.625000,1.687500,1.282012,392000
1996-09-13,1.718750,1.750000,1.671875,1.671875,1.270141,1168000
1996-09-16,1.734375,1.734375,1.671875,1.671875,1.270141,1195200
1996-09-17,1.734375,1.734375,1.625000,1.625000,1.234529,156800
1996-09-18,1.625000,1.625000,1.531250,1.531250,1.163306,435200
1996-09-19,1.593750,1.593750,1.531250,1.593750,1.210788,7120000
1996-09-20,1.593750,1.718750,1.531250,1.687500,1.282012,14971200
1996-09-23,1.718750,1.765625,1.671875,1.765625,1.341363,2121600
1996-09-24,1.765625,1.820313,1.703125,1.781250,1.353234,1950400
1996-09-25,1.781250,2.000000,1.781250,1.953125,1.483809,5817600
1996-09-26,1.937500,2.000000,1.875000,1.957031,1.486777,6572800
1996-09-27,1.968750,1.968750,1.906250,1.914063,1.454134,1297600
1996-09-30,1.937500,1.937500,1.875000,1.875000,1.424457,2612800
1996-10-01,1.875000,1.937500,1.750000,1.750000,1.329493,1824000
1996-10-02,1.796875,1.859375,1.734375,1.796875,1.365105,2398400
1996-10-03,1.843750,1.890625,1.796875,1.882813,1.430392,580800
1996-10-04,1.906250,1.906250,1.867188,1.890625,1.436327,1924800
1996-10-07,1.867188,1.906250,1.867188,1.875000,1.424457,556800
1996-10-08,1.875000,1.937500,1.843750,1.890625,1.436327,1600000
1996-10-09,1.906250,1.914063,1.812500,1.843750,1.400716,1878400
1996-10-10,1.765625,1.851563,1.765625,1.796875,1.365105,1307200
1996-10-11,1.828125,1.953125,1.812500,1.953125,1.483809,3108800
1996-10-14,1.953125,2.000000,1.921875,1.984375,1.507550,2216000
1996-10-15,2.015625,2.187500,1.953125,2.179688,1.655931,5948800
1996-10-16,2.187500,2.312500,2.156250,2.199219,1.670769,7945600
1996-10-17,2.203125,2.203125,2.093750,2.195313,1.667802,760000
1996-10-18,2.218750,2.218750,1.968750,2.078125,1.578773,1739200
1996-10-21,2.078125,2.093750,2.031250,2.093750,1.590643,1288000
1996-10-22,2.093750,2.093750,1.984375,1.984375,1.507550,6992000
1996-10-23,2.015625,2.015625,1.968750,1.968750,1.495680,356800
1996-10-24,2.000000,2.125000,1.984375,2.062500,1.566902,1169600
1996-10-25,2.062500,2.125000,2.000000,2.000000,1.519421,451200
1996-10-28,2.000000,2.015625,1.937500,1.968750,1.495680,1134400
1996-10-29,2.031250,2.031250,1.968750,2.000000,1.519421,1400000
1996-10-30,2.031250,2.062500,2.000000,2.062500,1.566902,587200
1996-10-31,2.062500,2.203125,2.031250,2.187500,1.661866,731200
1996-11-01,2.187500,2.187500,2.085938,2.125000,1.614385,844800
1996-11-04,2.125000,2.125000,2.085938,2.125000,1.614385,1494400
1996-11-05,2.085938,2.125000,2.085938,2.125000,1.614385,368000
1996-11-06,2.156250,2.218750,2.156250,2.218750,1.685608,1878400
1996-11-07,2.203125,2.515625,2.203125,2.359375,1.792442,5206400
1996-11-08,2.359375,2.421875,2.312500,2.414063,1.833988,2212800
1996-11-11,2.390625,2.453125,2.390625,2.437500,1.851794,612800
1996-11-12,2.453125,2.453125,2.281250,2.312500,1.756830,2033600
1996-11-13,2.406250,2.453125,2.359375,2.390625,1.816182,6336000
1996-11-14,2.390625,2.453125,2.390625,2.398438,1.822118,1668800
1996-11-15,2.453125,2.453125,2.125000,2.312500,1.756830,4272000
1996-11-18,2.250000,2.312500,2.156250,2.171875,1.649996,3185600
1996-11-19,2.156250,2.218750,2.156250,2.156250,1.638125,2097600
1996-11-20,2.179688,2.265625,2.171875,2.218750,1.685608,3582400
1996-11-21,2.203125,2.265625,2.179688,2.187500,1.661866,1590400
1996-11-22,2.234375,2.265625,2.187500,2.226563,1.691543,1673600
1996-11-25,2.203125,2.265625,2.203125,2.265625,1.721219,2684800
1996-11-26,2.218750,2.265625,2.203125,2.250000,1.709348,825600
1996-11-27,2.281250,2.281250,2.218750,2.250000,1.709348,222400
1996-11-29,2.281250,2.281250,2.218750,2.250000,1.709348,198400
1996-12-02,2.218750,2.328125,2.218750,2.320313,1.762766,2048000
1996-12-03,2.328125,2.484375,2.296875,2.421875,1.839923,12100800
1996-12-04,2.421875,2.453125,2.312500,2.335938,1.774636,2480000
1996-12-05,2.328125,2.351563,2.328125,2.351563,1.786507,1784000
1996-12-06,2.328125,2.343750,2.250000,2.304688,1.750896,3542400
1996-12-09,2.281250,2.359375,2.281250,2.359375,1.792442,4472000
1996-12-10,2.359375,2.359375,2.312500,2.320313,1.762766,5827200
1996-12-11,2.281250,2.312500,2.265625,2.273438,1.727154,750400
1996-12-12,2.312500,2.343750,2.281250,2.335938,1.774636,3635200
1996-12-13,2.312500,2.421875,2.312500,2.390625,1.816182,8091200
1996-12-16,2.453125,2.531250,2.406250,2.437500,1.851794,5244800
1996-12-17,2.468750,2.531250,2.421875,2.500000,1.899276,5521600
1996-12-18,2.546875,2.781250,2.500000,2.765625,2.101074,7963200
1996-12-19,2.734375,2.796875,2.734375,2.781250,2.112945,3388800
1996-12-20,2.828125,3.171875,2.765625,2.929688,2.225714,17660800
1996-12-23,2.953125,2.953125,2.890625,2.914063,2.213844,1944000
1996-12-24,2.937500,2.953125,2.890625,2.937500,2.231650,984000
1996-12-26,2.953125,3.125000,2.890625,3.085938,2.344419,1190400
1996-12-27,3.171875,3.203125,3.062500,3.156250,2.397835,2064000
1996-12-30,3.187500,3.234375,3.078125,3.078125,2.338483,2248000
1996-12-31,3.078125,3.203125,3.031250,3.179688,2.415641,2484800
1997-01-02,3.218750,3.250000,3.000000,3.015625,2.291002,5956800
1997-01-03,3.015625,3.078125,2.968750,2.984375,2.267260,1862400
1997-01-06,3.031250,3.031250,2.890625,2.960938,2.249455,4950400
1997-01-07,2.937500,2.937500,2.875000,2.906250,2.207908,3025600
1997-01-08,2.890625,3.046875,2.875000,2.984375,2.267260,2846400
1997-01-09,3.031250,3.078125,2.968750,3.015625,2.291002,838400
1997-01-10,3.000000,3.078125,2.953125,3.015625,2.291002,838400
1997-01-13,2.984375,3.062500,2.968750,2.968750,2.255390,4056000
1997-01-14,2.968750,3.015625,2.968750,2.968750,2.255390,1873600
1997-01-15,3.015625,3.156250,2.968750,3.000000,2.279131,3408000
1997-01-16,3.015625,3.078125,3.015625,3.015625,2.291002,1515200
1997-01-17,3.015625,3.171875,3.015625,3.140625,2.385965,2324800
1997-01-20,3.171875,3.250000,3.125000,3.187500,2.421576,1753600
1997-01-21,3.234375,3.421875,3.171875,3.375000,2.564023,2806400
1997-01-22,3.343750,3.539063,3.312500,3.492188,2.653051,3891200
1997-01-23,3.515625,3.742188,3.437500,3.500000,2.658986,6440000
1997-01-24,3.437500,3.484375,3.296875,3.382813,2.569958,3515200
1997-01-27,3.406250,3.406250,3.265625,3.265625,2.480930,2326400
1997-01-28,3.328125,3.406250,3.265625,3.343750,2.540281,2361600
1997-01-29,3.343750,3.343750,3.156250,3.218750,2.445317,451200
1997-01-30,3.156250,3.218750,3.156250,3.187500,2.421576,945600
1997-01-31,3.187500,3.359375,3.187500,3.203125,2.433447,1832000
1997-02-03,3.218750,3.359375,3.171875,3.343750,2.540281,1204800
1997-02-04,3.390625,3.437500,3.250000,3.328125,2.528411,3742400
1997-02-05,3.328125,3.328125,3.187500,3.187500,2.421576,1385600
1997-02-06,3.250000,3.265625,3.203125,3.259766,2.476479,2411200
1997-02-07,3.296875,3.437500,3.265625,3.437500,2.611504,2342400
1997-02-10,3.437500,3.437500,2.968750,2.968750,2.255390,4558400
1997-02-11,3.015625,3.125000,2.781250,2.812500,2.136685,3342400
1997-02-12,2.812500,3.093750,2.812500,3.000000,2.279131,6728000
