Date,Open,High,Low,Close,Adj Close,Volume
2022-07-19,15.790000,23.200001,11.695000,20.150000,20.150000,264700
2022-07-20,18.510000,21.600000,17.110001,19.870001,19.870001,145900
2022-07-21,19.309999,19.839001,18.200001,19.200001,19.200001,21500
2022-07-22,20.600000,20.799999,18.299999,19.100000,19.100000,23300
2022-07-25,17.940001,19.370001,17.900000,19.299999,19.299999,19200
2022-07-26,18.610001,19.600000,18.400000,18.860001,18.860001,13100
2022-07-27,18.190001,18.500000,16.750000,18.010000,18.010000,26400
2022-07-28,16.920000,19.200001,16.920000,18.889999,18.889999,9800
2022-07-29,18.000000,18.200001,17.320000,17.320000,17.320000,6100
2022-08-01,16.770000,17.500000,15.810000,17.500000,17.500000,17400
2022-08-02,17.200001,17.379999,16.000000,16.740000,16.740000,51900
2022-08-03,16.799999,17.500000,16.700001,17.180000,17.180000,6000
2022-08-04,17.100000,18.500000,17.100000,18.299999,18.299999,8000
2022-08-05,49.000000,50.500000,19.190001,20.620001,20.620001,561900
2022-08-08,20.620001,22.298000,17.260000,18.299999,18.299999,103900
2022-08-09,17.510000,18.426001,12.620000,16.990000,16.990000,106900
2022-08-10,15.610000,16.285000,14.000000,16.080000,16.080000,63800
2022-08-11,15.010000,15.875000,13.080000,14.390000,14.390000,30000
2022-08-12,19.440001,24.900000,10.500000,11.230000,11.230000,941700
2022-08-15,11.000000,11.230000,8.350000,10.000000,10.000000,187800
2022-08-16,9.870000,14.880000,7.764000,8.490000,8.490000,834800
2022-08-17,8.020000,8.300000,6.910000,7.160000,7.160000,252400
2022-08-18,7.150000,10.870000,4.900000,5.120000,5.120000,3419400
2022-08-19,5.410000,7.000000,4.800000,5.190000,5.190000,1361000
2022-08-22,5.030000,5.940000,4.310000,5.280000,5.280000,824400
2022-08-23,5.840000,6.810000,2.960000,3.220000,3.220000,4149900
2022-08-24,3.310000,3.820000,2.330000,2.550000,2.550000,5147500
2022-08-25,2.350000,2.640000,1.960000,2.100000,2.100000,2862000
2022-08-26,2.210000,2.250000,1.760000,1.890000,1.890000,4031000
2022-08-29,1.760000,2.160000,1.760000,2.060000,2.060000,1282500
2022-08-30,2.130000,2.210000,1.650000,1.770000,1.770000,4644200
2022-08-31,1.700000,1.800000,1.650000,1.720000,1.720000,609400
2022-09-01,1.680000,1.720000,1.530000,1.590000,1.590000,990700
2022-09-02,1.600000,1.620000,1.400000,1.440000,1.440000,588400
2022-09-06,1.440000,1.500000,1.360000,1.380000,1.380000,445400
2022-09-07,1.370000,1.390000,1.250000,1.320000,1.320000,520300
2022-09-08,1.320000,1.410000,1.260000,1.360000,1.360000,323000
2022-09-09,1.400000,2.080000,1.360000,1.590000,1.590000,10977100
2022-09-12,1.800000,1.980000,1.040000,1.110000,1.110000,9763400
2022-09-13,1.140000,1.170000,0.976000,0.990000,0.990000,3987100
2022-09-14,0.980000,0.990000,0.910000,0.966000,0.966000,1567400
2022-09-15,0.976000,1.070000,0.951000,1.040000,1.040000,1746500
2022-09-16,1.040000,1.040000,0.912000,0.940000,0.940000,706000
2022-09-19,0.950000,0.951000,0.900000,0.900000,0.900000,510800
2022-09-20,0.910000,0.910000,0.825000,0.850000,0.850000,660900
2022-09-21,0.807000,0.830000,0.730000,0.749000,0.749000,907700
2022-09-22,0.710000,0.749000,0.710000,0.713000,0.713000,381100
2022-09-23,0.711000,0.730000,0.700000,0.720000,0.720000,381900
2022-09-26,0.770000,0.880000,0.740000,0.759000,0.759000,1272300
2022-09-27,0.820000,0.828000,0.731000,0.780000,0.780000,579100
2022-09-28,0.780000,0.815000,0.780000,0.809000,0.809000,308700
2022-09-29,0.810000,0.820000,0.753000,0.760000,0.760000,349200
2022-09-30,0.791000,0.840000,0.760000,0.810000,0.810000,680700
2022-10-03,0.830000,0.926000,0.811000,0.846000,0.846000,757100
2022-10-04,0.890000,0.913000,0.841000,0.862000,0.862000,341000
2022-10-05,0.880000,0.940000,0.850000,0.922000,0.922000,515600
2022-10-06,0.916000,1.200000,0.901000,1.160000,1.160000,1836400
2022-10-07,1.160000,1.340000,1.000000,1.040000,1.040000,1454400
2022-10-10,1.040000,1.050000,0.950000,0.960000,0.960000,324600
2022-10-11,1.020000,1.070000,0.979000,0.990000,0.990000,545100
2022-10-12,0.990000,1.080000,0.980000,1.060000,1.060000,329300
2022-10-13,1.030000,1.140000,1.030000,1.050000,1.050000,384200
2022-10-14,1.050000,1.240000,1.050000,1.200000,1.200000,899700
2022-10-17,1.260000,1.520000,1.260000,1.500000,1.500000,1879500
2022-10-18,1.520000,1.770000,1.190000,1.380000,1.380000,2419900
2022-10-19,1.370000,1.370000,1.080000,1.130000,1.130000,670800
2022-10-20,1.160000,1.228000,1.090000,1.170000,1.170000,299600
2022-10-21,1.150000,1.190000,1.105000,1.140000,1.140000,224500
2022-10-24,1.170000,1.210000,1.050000,1.130000,1.130000,229100
2022-10-25,1.140000,1.170000,1.080000,1.110000,1.110000,342100
2022-10-26,1.110000,1.139000,1.050000,1.110000,1.110000,165500
2022-10-27,1.110000,1.130000,1.070000,1.110000,1.110000,171200
2022-10-28,1.090000,1.150000,1.061000,1.120000,1.120000,116400
2022-10-31,1.120000,1.131000,1.070000,1.090000,1.090000,172000
2022-11-01,1.070000,1.120000,1.067000,1.070000,1.070000,105000
2022-11-02,1.070000,1.200000,1.060000,1.190000,1.190000,440500
2022-11-03,1.230000,1.450000,1.230000,1.400000,1.400000,1429200
2022-11-04,1.550000,1.680000,1.257000,1.440000,1.440000,2273900
2022-11-07,1.450000,1.450000,1.058000,1.240000,1.240000,1769900
2022-11-08,1.260000,1.265000,1.060000,1.220000,1.220000,1050000
2022-11-09,1.140000,1.180000,0.741000,0.780000,0.780000,1893400
2022-11-10,0.918000,1.200000,0.918000,1.100000,1.100000,1783500
2022-11-11,1.100000,1.150000,1.010000,1.130000,1.130000,888500
2022-11-14,1.160000,1.219000,1.080000,1.190000,1.190000,590900
2022-11-15,1.170000,1.200000,1.130000,1.180000,1.180000,266600
2022-11-16,1.160000,1.200000,1.110000,1.180000,1.180000,430100
2022-11-17,1.180000,1.200000,1.100000,1.200000,1.200000,446900
2022-11-18,1.180000,1.210000,1.100000,1.160000,1.160000,747300
2022-11-21,1.270000,1.310000,1.080000,1.120000,1.120000,6177600
2022-11-22,1.070000,1.160000,0.980000,1.000000,1.000000,2899300
2022-11-23,1.010000,1.060000,0.950000,1.000000,1.000000,444100
2022-11-25,0.970000,1.030000,0.950000,0.950000,0.950000,255600
2022-11-28,0.956000,0.990000,0.870000,0.895000,0.895000,605500
2022-11-29,0.900000,0.900000,0.800000,0.859000,0.859000,2806300
2022-11-30,0.860000,0.932000,0.830000,0.870000,0.870000,1911300
2022-12-01,0.870000,0.970000,0.831000,0.929000,0.929000,2005100
2022-12-02,0.880000,0.990000,0.831000,0.852000,0.852000,5486100
2022-12-05,0.880000,0.890000,0.781000,0.800000,0.800000,525300
2022-12-06,0.800000,0.830000,0.760000,0.780000,0.780000,391300
2022-12-07,0.785000,0.815000,0.750000,0.785000,0.785000,295800
2022-12-08,0.788000,0.800000,0.725000,0.738000,0.738000,373500
2022-12-09,0.738000,0.790000,0.702000,0.770000,0.770000,479800
