Date,Open,High,Low,Close,Adj Close,Volume
2024-03-06,3.700000,5.000000,3.550000,4.000000,4.000000,2689400
2024-03-07,4.120000,4.690000,4.050000,4.500000,4.500000,385700
2024-03-08,4.590000,5.349000,4.550000,5.272000,5.272000,227400
2024-03-11,5.550000,7.000000,5.520000,6.510000,6.510000,468300
2024-03-12,7.300000,8.120000,6.185000,6.450000,6.450000,515900
2024-03-13,6.090000,6.792000,4.600000,5.340000,5.340000,652800
2024-03-14,5.080000,5.967000,5.080000,5.890000,5.890000,86000
2024-03-15,5.930000,6.020000,5.080000,5.480000,5.480000,407100
2024-03-18,5.480000,5.913000,5.210000,5.210000,5.210000,185600
2024-03-19,5.160000,5.640000,5.160000,5.340000,5.340000,67900
2024-03-20,5.500000,5.530000,4.840000,4.920000,4.920000,162400
2024-03-21,4.880000,5.000000,4.100000,4.156000,4.156000,267100
2024-03-22,4.080000,4.300000,4.080000,4.160000,4.160000,75200
2024-03-25,4.200000,4.800000,4.020000,4.541000,4.541000,46700
2024-03-26,4.670000,4.860000,4.400000,4.610000,4.610000,26900
2024-03-27,4.530000,4.800000,4.370000,4.530000,4.530000,115400
2024-03-28,4.360000,4.390000,3.610000,3.700000,3.700000,115600
2024-04-01,3.720000,3.970000,3.532000,3.660000,3.660000,87500
2024-04-02,3.750000,3.750000,3.110000,3.330000,3.330000,75100
2024-04-03,3.340000,3.413000,2.710000,2.810000,2.810000,59900
2024-04-04,2.850000,3.385000,2.820000,3.170000,3.170000,24300
2024-04-05,3.490000,3.490000,2.910000,2.970000,2.970000,101100
2024-04-08,3.093000,3.100000,2.380000,2.460000,2.460000,183000
2024-04-09,2.700000,2.830000,2.497000,2.740000,2.740000,67000
2024-04-10,2.650000,2.650000,2.020000,2.150000,2.150000,176900
2024-04-11,2.200000,2.330000,2.100000,2.250000,2.250000,35500
2024-04-12,2.210000,2.630000,2.210000,2.534000,2.534000,34200
2024-04-15,2.670000,2.670000,2.030000,2.030000,2.030000,241500
2024-04-16,2.100000,2.900000,2.040000,2.730000,2.730000,223400
2024-04-17,2.840000,4.940000,2.730000,3.750000,3.750000,1196800
2024-04-18,4.370000,4.550000,3.660000,3.900000,3.900000,418500
2024-04-19,3.940000,4.230000,3.300000,3.600000,3.600000,247700
2024-04-22,3.490000,3.802000,3.300000,3.460000,3.460000,329500
2024-04-23,3.470000,3.950000,3.370000,3.600000,3.600000,408500
2024-04-24,3.690000,3.690000,3.430000,3.680000,3.680000,332500
2024-04-25,3.620000,3.730000,3.520000,3.620000,3.620000,276500
2024-04-26,3.516000,3.600000,3.300000,3.320000,3.320000,225800
2024-04-29,3.520000,4.280000,3.410000,3.880000,3.880000,481100
2024-04-30,3.880000,4.200000,3.750000,3.940000,3.940000,239600
2024-05-01,3.760000,3.920000,3.630000,3.850000,3.850000,213200
2024-05-02,3.730000,3.993000,3.601000,3.870000,3.870000,204200
2024-05-03,4.000000,4.416000,4.000000,4.340000,4.340000,216700
2024-05-06,4.390000,5.990000,4.390000,5.460000,5.460000,1131400
2024-05-07,5.660000,7.000000,5.460000,6.060000,6.060000,612800
2024-05-08,6.380000,7.720000,6.350000,7.440000,7.440000,430900
2024-05-09,7.460000,9.050000,7.450000,8.920000,8.920000,650000
2024-05-10,8.990000,8.990000,6.750000,7.750000,7.750000,333400
2024-05-13,7.840000,8.540000,7.208000,7.730000,7.730000,369100
2024-05-14,7.730000,8.120000,6.850000,7.400000,7.400000,536700
2024-05-15,6.750000,7.850000,6.440000,7.600000,7.600000,702800
2024-05-16,7.590000,7.880000,6.810000,7.800000,7.800000,1073900
2024-05-17,7.900000,8.300000,7.900000,8.070000,8.070000,861900
2024-05-20,8.000000,8.434000,7.170000,8.000000,8.000000,553500
2024-05-21,7.800000,8.750000,7.800000,8.210000,8.210000,689200
2024-05-22,8.210000,8.770000,7.990000,8.330000,8.330000,733900
2024-05-23,8.700000,9.270000,8.000000,8.870000,8.870000,789900
2024-05-24,8.850000,10.850000,8.530000,10.730000,10.730000,873000
2024-05-28,11.000000,11.000000,7.300000,8.780000,8.780000,586900
2024-05-29,8.680000,9.110000,8.000000,8.880000,8.880000,296000
2024-05-30,8.630000,9.330000,8.513000,9.180000,9.180000,791200
2024-05-31,9.520000,9.520000,8.200000,8.990000,8.990000,755100
2024-06-03,8.750000,9.000000,8.000000,8.520000,8.520000,431400
2024-06-04,8.000000,8.500000,7.210000,8.290000,8.290000,296100
2024-06-05,8.110000,8.495000,7.610000,8.160000,8.160000,240900
2024-06-06,8.000000,8.000000,5.050000,7.890000,7.890000,2082800
2024-06-07,7.210000,7.580000,6.550000,6.890000,6.890000,542900
2024-06-10,6.810000,7.200000,6.810000,6.920000,6.920000,100100
2024-06-11,6.800000,6.960000,6.310000,6.960000,6.960000,239500
2024-06-12,6.900000,7.190000,6.440000,6.570000,6.570000,53900
2024-06-13,6.760000,7.150000,6.680000,6.950000,6.950000,97700
2024-06-14,7.250000,7.290000,5.350000,5.370000,5.370000,625400
