Date,Open,High,Low,Close,Adj Close,Volume
2024-05-31,13.000000,13.000000,8.500000,8.632000,8.632000,15300
2024-06-03,8.250000,8.250000,7.500000,8.000000,8.000000,15600
2024-06-04,8.000000,8.000000,7.500000,7.990000,7.990000,13100
2024-06-05,7.990000,7.990000,6.107000,6.750000,6.750000,14500
2024-06-06,6.500000,6.500000,5.600000,6.205000,6.205000,8100
2024-06-07,6.500000,7.450000,6.050000,7.070000,7.070000,14300
2024-06-10,7.400000,8.160000,6.980000,7.750000,7.750000,20000
2024-06-11,7.230000,7.450000,7.000000,7.450000,7.450000,4100
2024-06-12,6.760000,7.030000,6.100000,6.797000,6.797000,13000
2024-06-13,7.280000,7.410000,6.510000,6.651000,6.651000,6400
2024-06-14,6.600000,6.700000,6.200000,6.500000,6.500000,2500
2024-06-17,6.820000,6.820000,6.440000,6.440000,6.440000,3900
2024-06-18,6.790000,6.790000,5.839000,6.000000,6.000000,6900
2024-06-20,5.940000,6.437000,5.940000,6.437000,6.437000,3400
2024-06-21,5.800000,6.200000,5.360000,5.911000,5.911000,2700
2024-06-24,5.800000,5.800000,5.500000,5.510000,5.510000,6300
2024-06-25,5.510000,5.812000,5.510000,5.525000,5.525000,1700
2024-06-26,5.525000,5.525000,5.525000,5.525000,5.525000,300
2024-06-27,5.750000,5.750000,5.122000,5.236000,5.236000,3100
2024-06-28,5.830000,5.850000,5.300000,5.735000,5.735000,2200
2024-07-01,5.259000,5.400000,5.110000,5.300000,5.300000,2300
2024-07-02,5.266000,5.266000,5.180000,5.250000,5.250000,700
2024-07-03,5.250000,5.250000,5.250000,5.250000,5.250000,0
2024-07-05,5.250000,5.250000,5.250000,5.250000,5.250000,0
2024-07-08,5.250000,5.250000,5.108000,5.250000,5.250000,1400
2024-07-09,5.200000,5.200000,5.180000,5.180000,5.180000,600
2024-07-10,5.100000,6.250000,5.100000,5.790000,5.790000,4500
2024-07-11,5.980000,6.270000,5.950000,6.140000,6.140000,2700
2024-07-12,5.330000,6.050000,5.110000,5.771000,5.771000,3200
2024-07-15,5.969000,5.980000,5.950000,5.950000,5.950000,1200
2024-07-16,5.580000,5.580000,5.580000,5.580000,5.580000,500
2024-07-17,5.600000,5.600000,5.600000,5.600000,5.600000,300
2024-07-18,5.750000,5.978000,5.650000,5.780000,5.780000,2300
2024-07-19,5.780000,5.780000,5.780000,5.780000,5.780000,0
2024-07-22,5.660000,6.000000,5.650000,6.000000,6.000000,1800
2024-07-23,5.510000,5.510000,5.510000,5.510000,5.510000,1100
2024-07-24,5.488000,5.520000,4.990000,5.520000,5.520000,6400
2024-07-25,5.475000,5.475000,5.465000,5.465000,5.465000,2500
2024-07-26,5.400000,5.872000,5.400000,5.872000,5.872000,400
2024-07-29,5.872000,5.872000,5.872000,5.872000,5.872000,0
2024-07-30,5.500000,5.860000,5.480000,5.700000,5.700000,3400
2024-07-31,5.700000,6.900000,5.700000,6.250000,6.250000,26700
2024-08-01,6.110000,6.110000,6.000000,6.000000,6.000000,400
2024-08-02,6.700000,6.700000,6.700000,6.700000,6.700000,100
2024-08-05,6.600000,6.600000,6.000000,6.000000,6.000000,1900
2024-08-06,5.410000,5.520000,5.390000,5.390000,5.390000,1500
2024-08-07,5.500000,6.000000,5.401000,5.440000,5.440000,5000
2024-08-08,5.500000,5.750000,5.500000,5.750000,5.750000,600
2024-08-09,5.500000,7.180000,5.420000,6.950000,6.950000,20100
2024-08-12,7.570000,7.580000,5.580000,6.600000,6.600000,12200
2024-08-13,6.940000,7.200000,6.140000,6.500000,6.500000,24700
2024-08-14,5.670000,6.240000,5.410000,5.760000,5.760000,3200
2024-08-15,5.805000,5.805000,5.389000,5.389000,5.389000,200
2024-08-16,5.320000,5.520000,5.320000,5.400000,5.400000,2100
