Date,Open,High,Low,Close,Adj Close,Volume,Return,MA5,MA20,MA50,EMA12,EMA26,MACD,BB_Middle,BB_Upper,BB_Lower,Volatility20,RSI14
2012-12-21,9.85,9.9,9.29,9.76,9.76,767600,-0.02400000000000002,10.059999999999999,9.2,8.0908,9.57468571862154,9.069765895119705,0.5049198235018348,9.2,10.308987209835577,8.091012790164422,0.03248621898594132,65.18105824163376
2012-12-24,9.69,9.73,9.21,9.59,9.59,79000,-0.01741803278688525,9.978,9.2335,8.1614,9.577041761910534,9.108301754740467,0.4687400071700676,9.2335,10.347341621548901,8.119658378451097,0.031222414712244146,62.90322556971904
2012-12-26,9.62,10.02,9.55,10.0,10.0,86200,0.04275286757038588,9.906,9.2895,8.2398,9.642112260078145,9.174353476611543,0.4677587834666017,9.2895,10.440508253662827,8.138491746337174,0.03230854973525877,63.492063256907706
2012-12-27,10.25,10.5,9.96,10.43,10.43,154300,0.04299999999999993,9.956,9.374500000000001,8.3238,9.76332575852766,9.267364330195873,0.49596142833178725,9.374500000000001,10.600198082512017,8.148801917487985,0.03280418410734208,66.42335743797396
2012-12-28,10.35,11.17,10.35,11.0,11.0,349500,0.05465004793863848,10.156,9.4895,8.4208,9.953583334138788,9.395707713144327,0.5578756209944604,9.4895,10.87049087233538,8.10850912766462,0.034148672708027523,71.42857121212123
2012-12-31,11.0,11.19,10.9,11.15,11.15,211200,0.013636363636363669,10.434000000000001,9.6115,8.5236,10.137647436578973,9.525655289948451,0.6119921466305218,9.6115,11.127092987996152,8.095907012003847,0.034047368634685514,77.18120781196043
2013-01-02,11.98,11.99,11.26,11.95,11.95,264200,0.0717488789237668,10.906,9.7755,8.642600000000002,10.416470907874515,9.7052363795819,0.711234528292616,9.7755,11.549884696910881,8.001115303089117,0.0361879072046282,79.88165658415322
2013-01-03,12.0,12.05,11.65,11.73,11.73,220300,-0.018410041841004143,11.251999999999999,9.9305,8.757200000000001,10.618552306663052,9.85521886998324,0.7633334366798117,9.9305,11.821336350735596,8.039663649264405,0.03674435959354423,74.79674775464343
2013-01-04,11.73,11.93,11.72,11.88,11.88,99500,0.01278772378516635,11.542,10.0755,8.8748,10.812621182561044,10.005202657391889,0.8074185251691546,10.0755,12.09951867060245,8.05148132939755,0.036293012304088,75.24950078772596
2013-01-07,12.1,12.1,11.83,11.93,11.93,146400,0.004208754208754106,11.728,10.218,8.9912,10.98452561601319,10.147780238325824,0.8367453776873663,10.218,12.345569406376043,8.090430593623957,0.036361803379818335,79.41787918672553
2013-01-08,11.9,12.06,11.81,12.06,12.06,130200,0.010896898575021075,11.91,10.37,9.112400000000001,11.149983213549623,10.289426146597984,0.8605570669516389,10.37,12.570325334796493,8.169674665203505,0.03603994810710041,75.49504924333401
2013-01-09,12.17,12.98,12.05,12.94,12.94,282700,0.07296849087893853,12.108,10.581,9.2508,11.425370411465066,10.485764950553689,0.9396054609113769,10.581,12.92008574132354,8.24191425867646,0.03634428551837028,78.28947344384812
