Date,Open,High,Low,Close,Adj Close,Volume,Return,MA5,MA20,MA50,EMA12,EMA26,MACD,BB_Middle,BB_Upper,BB_Lower,Volatility20,RSI14
1996-08-29,2.6875,2.8125,2.6875,2.8125,2.8125,23600,0.0,2.775,3.07734375,3.105625,2.9161778712286477,3.0113407404013164,-0.0951628691726687,3.07734375,3.5343203478906764,2.6203671521093232,0.027628155986269186,15.999999713280005
1996-08-30,2.8125,2.875,2.75,2.84375,2.84375,297200,0.011111111111111072,2.7875,3.06328125,3.103125,2.9050351218088557,2.9989266114827,-0.09389148967384431,3.06328125,3.531260330975062,2.5953021690249383,0.02126413462705459,15.999999713280005
1996-09-03,2.75,2.75,2.75,2.75,2.75,11200,-0.03296703296703296,2.79375,3.04453125,3.098125,2.8811835646074933,2.9804876032247223,-0.09930403861722903,3.04453125,3.531752302953164,2.557310197046836,0.02215702595076962,14.814814568998642
1996-09-04,2.84375,2.90625,2.8125,2.8125,2.8125,767600,0.022727272727272707,2.80625,3.02578125,3.09,2.870616862360187,2.968044077059928,-0.09742721469974125,3.02578125,3.5186659639878606,2.5328965360121396,0.022334025040324952,22.222221853497942
1996-09-05,2.8125,2.8125,2.6875,2.78125,2.78125,332000,-0.011111111111111072,2.8,3.00390625,3.0825,2.8568681143047736,2.954207478759193,-0.09733936445441937,3.00390625,3.499557050748768,2.508255449251232,0.022042893962714104,21.428571085714296
1996-09-06,2.75,2.75,2.6875,2.6875,2.6875,31600,-0.0337078651685393,2.775,2.97265625,3.073125,2.830811481334808,2.934451369221475,-0.10363988788666667,2.97265625,3.465186284316637,2.480126215683363,0.021072645477730797,20.338982741970696
1996-09-09,2.75,2.75,2.65625,2.75,2.75,80000,0.023255813953488413,2.75625,2.94296875,3.063125,2.818378945744838,2.920788304834699,-0.10240935908986115,2.94296875,3.4123515465572956,2.4735859534427043,0.02195802661945919,29.62962913799727
1996-09-10,2.65625,2.6875,2.65625,2.6875,2.6875,123600,-0.022727272727272707,2.74375,2.90859375,3.05125,2.798243723322555,2.903507689661758,-0.10526396633920321,2.90859375,3.3442424411174745,2.4729450588825257,0.02167900267724837,29.62962913799727
1996-09-11,2.75,2.75,2.5625,2.71875,2.71875,609200,0.011627906976744207,2.725,2.87734375,3.04125,2.7860139197344695,2.8898219348719985,-0.10380801513752891,2.87734375,3.2690068443052844,2.4856806556947157,0.022267416083285883,39.1304340204159
1996-09-12,2.59375,2.65625,2.59375,2.65625,2.65625,74000,-0.02298850574712641,2.7,2.84609375,3.029375,2.7660502397753204,2.872520310066665,-0.10647007029134459,2.84609375,3.1999777154741893,2.492209784525811,0.022375601427977725,37.49999930000001
1996-09-13,2.59375,2.78125,2.59375,2.75,2.75,628400,0.03529411764705892,2.7125,2.81953125,3.01625,2.7635809721175786,2.8634447315432086,-0.09986375942562997,2.81953125,3.109947487980756,2.529115012019244,0.024517426969880237,47.999999139840014
1996-09-16,2.78125,2.875,2.75,2.78125,2.78125,315200,0.011363636363636465,2.71875,2.796875,3.006875,2.7662992840994898,2.8573562329103783,-0.09105694881088855,2.796875,3.011952250503653,2.581797749496347,0.024867460686336842,54.16666565555558
1996-09-17,2.8125,3.09375,2.8125,3.0625,3.0625,590000,0.101123595505618,2.79375,2.7953125,3.0025,2.8118686250072606,2.8725520675096092,-0.060683442502348584,2.7953125,3.0015824352407208,2.5890425647592794,0.03334688752322773,65.62499908125001
1996-09-18,3.0625,3.09375,3.0,3.0,3.0,167200,-0.020408163265306145,2.85,2.79375,2.9971875,2.8408119134676824,2.8819926551014903,-0.041180741633807916,2.79375,2.992843339654388,2.5946566603456125,0.033353494116785905,59.374999168750016
1996-09-19,3.03125,3.0625,3.0,3.0,3.0,156000,0.0,2.91875,2.8,2.9915625,2.8653023883188085,2.8907339399087872,-0.025431551589978785,2.8,3.016885854043575,2.583114145956425,0.031074643550569023,59.374999168750016
1996-09-20,3.09375,3.09375,3.0,3.0,3.0,36000,0.0,2.96875,2.8078125,2.9890625,2.8860250978082225,2.8988277221377663,-0.012802624329543821,2.8078125,3.0419077277554907,2.573717272244509,0.030921809489321272,58.06451528990636
1996-09-23,3.0,3.0,2.84375,2.90625,2.90625,216800,-0.03125,2.99375,2.8140625,2.9853125,2.889136621222342,2.8993775204979317,-0.010240899275589577,2.8140625,3.0518177298943296,2.57630727010567,0.03138392405406111,58.06451528990636
1996-09-24,2.84375,2.9375,2.8125,2.8125,2.8125,57600,-0.032258064516129004,2.94375,2.81875,2.9821875,2.8773463718035206,2.892942148609196,-0.015595776805675587,2.81875,3.052251662340528,2.5852483376594724,0.03186883346232708,49.99999930000001
1996-09-25,2.8125,2.9375,2.8125,2.8125,2.8125,8400,0.0,2.90625,2.821875,2.9840625,2.8673700069106713,2.886983470934441,-0.019613464023769733,2.821875,3.053165003652285,2.5905849963477148,0.031795301504223016,51.612902479916755
1996-09-26,2.9375,2.9375,2.8125,2.84375,2.84375,548000,0.011111111111111072,2.875,2.8234375,2.9803125,2.863736159693645,2.8837809916059642,-0.020044831912319427,2.8234375,3.054883007682297,2.591991992317703,0.03149353987302956,58.62068874958385
1996-09-27,2.90625,2.9375,2.84375,2.9375,2.9375,304800,0.03296703296703307,2.8625,2.8296875,2.9753125,2.8750844428176996,2.88776017741293,-0.012675734595230193,2.8296875,3.066576429947305,2.592798570052695,0.03229055588497152,59.99999910400002
1996-09-30,2.875,2.9375,2.875,2.90625,2.90625,44000,-0.010638297872340385,2.8625,2.8328125,2.9690625,2.8798791439226687,2.8891297939008607,-0.009250649978191916,2.8328125,3.0721191671053125,2.593505832894688,0.03235706413594508,62.06896455838289
1996-10-01,2.875,2.9375,2.875,2.875,2.875,90400,-0.010752688172043001,2.875,2.8390625,2.9628125,2.8791285063961043,2.888083142500797,-0.008954636104692604,2.8390625,3.0757777895135288,2.602347210486471,0.031478437938575514,58.62068874958385
1996-10-02,2.9375,3.0,2.875,2.9375,2.9375,20000,0.021739130434782705,2.9,2.8453125,2.9596875,2.8881087361813194,2.8917436504637006,-0.003634914282381274,2.8453125,3.0856478947584174,2.6049771052415824,0.0314460777839762,65.51724036718194
