Date,Open,High,Low,Close,Adj Close,Volume,Return,MA5,MA20,MA50,EMA12,EMA26,MACD,BB_Middle,BB_Upper,BB_Lower,Volatility20,RSI14
2021-07-20,9.97,9.98,9.94,9.96,9.96,871400,-0.0010030090270811698,9.952,9.90625,9.899560000000001,9.91933306135615,9.913105488243005,0.006227573113145368,9.90625,10.039424796098164,9.773075203901836,0.004365671307937444,59.9999976000002
2021-07-21,9.98,10.0,9.93,9.93,9.93,1569800,-0.003012048192771233,9.968,9.90225,9.89816,9.920974128839818,9.914356933558338,0.006617195281480193,9.90225,10.02683246053792,9.777667539462081,0.004304546168029593,55.26315585872574
2021-07-22,9.974,9.98,9.9,9.94,9.94,1166300,0.001007049345417954,9.956,9.89925,9.89876,9.923901185941386,9.916256419961424,0.007644765979961221,9.89925,10.016601249628932,9.781898750371068,0.004313030786138262,56.4102543852728
2021-07-23,9.96,9.97,9.9,9.96,9.96,1680100,0.00201207243460777,9.952000000000002,9.899,9.89936,9.929454849642712,9.919496685149467,0.009958164493244936,9.899,10.015781397220792,9.782218602779206,0.004273182596645175,64.86486241051892
2021-07-26,9.95,9.98,9.91,9.93,9.93,647700,-0.003012048192771233,9.943999999999999,9.899,9.89996,9.929538718928448,9.920274708471728,0.009264010456719873,9.899,10.015781397220792,9.782218602779206,0.004253060241360601,66.66666407407402
2021-07-27,9.92,9.95,9.88,9.9,9.9,362400,-0.0030211480362537513,9.932,9.898,9.90016,9.924994300631763,9.918772878214563,0.006221422417199918,9.898,10.014366028683535,9.781633971316465,0.004301937384463881,63.15789240997231
2021-07-28,9.93,9.94,9.88,9.91,9.91,229100,0.0010101010101009056,9.928,9.899,9.90136,9.922687485149954,9.918123035383855,0.004564449766098377,9.899,10.015420291231917,9.78257970876808,0.0042515081668679155,57.57575513314985
2021-07-29,9.95,9.95,9.88,9.88,9.88,212000,-0.003027245206861706,9.916,9.8985,9.902759999999999,9.916120179742268,9.915299106836903,0.000821072905365483,9.8985,10.015168671661963,9.781831328338038,0.004309111187861909,54.28571211428595
2021-07-30,9.86,9.91,9.86,9.91,9.91,400100,0.0030364372469635637,9.906,9.8995,9.904340000000001,9.915178613628072,9.91490658040454,0.00027203322353130943,9.8995,10.016204755687154,9.782795244312846,0.004363806033011569,57.8947347091414
2021-08-02,9.94,9.94,9.836,9.84,9.84,380100,-0.007063572149344166,9.888,9.899,9.90414,9.903612673069908,9.90935794481902,-0.005745271749111325,9.899,10.016679314463628,9.78132068553637,0.004562766301246112,48.88888736790131
2021-08-03,9.85,9.871,9.825,9.83,9.83,256200,-0.00101626016260159,9.873999999999999,9.9,9.90414,9.892287646443767,9.90347957853613,-0.011191932092362578,9.9,10.01479959655164,9.78520040344836,0.004471462271645391,47.82608550094528
2021-08-04,9.825,9.87,9.825,9.84,9.84,165700,0.0010172939979653517,9.860000000000001,9.902000000000001,9.90434,9.884243393144727,9.898777387533453,-0.014533994388726157,9.902000000000001,10.010695615560627,9.793304384439375,0.0044675473791402145,24.999998906250056
2021-08-05,9.825,9.88,9.825,9.84,9.84,273700,0.0,9.852,9.901,9.904539999999999,9.877436717276309,9.89442350697542,-0.016986789699110716,9.901,10.011672584918893,9.790327415081107,0.004245564746363861,26.666665422222238
2021-08-06,9.88,9.9,9.82,9.83,9.83,187700,-0.00101626016260159,9.835999999999999,9.9,9.90554,9.87013876077226,9.889651395347611,-0.01951263457535113,9.9,10.012950850978823,9.787049149021177,0.00424558831198142,26.666665422222238
2021-08-09,9.84,9.9,9.82,9.84,9.84,520900,0.0010172939979653517,9.836,9.8995,9.9064,9.865502028345759,9.885973514210752,-0.020471485864993255,9.8995,10.013466754155015,9.785533245844984,0.004252850232433475,29.999998599999955
2021-08-10,9.86,9.86,9.83,9.83,9.83,206200,-0.00101626016260159,9.836,9.898500000000002,9.9072,9.860040177831026,9.88182732797292,-0.021787150141893363,9.898500000000002,10.01462606579874,9.782373934201264,0.004258386440444809,32.14285553571439
2021-08-11,9.86,9.86,9.82,9.84,9.84,276100,0.0010172939979653517,9.836,9.898,9.9082,9.85695707354933,9.878729007382333,-0.021771933833003132,9.898,10.01508746168659,9.780912538313409,0.004265625924234438,32.14285553571439
2021-08-12,9.83,9.85,9.82,9.84,9.84,197800,0.0,9.836,9.889999999999999,9.9088,9.85434829300328,9.87586019202068,-0.021511899017399472,9.889999999999999,9.999352159269217,9.780647840730781,0.00230480504996421,26.923075473372492
2021-08-13,9.85,9.85,9.82,9.84,9.84,1170800,0.0,9.838,9.883,9.9094,9.852140863310469,9.873203881500629,-0.02106301819016032,9.883,9.985823302703936,9.780176697296062,0.002293524783321096,30.43478075614354
2021-08-16,9.85,9.85,9.82,9.83,9.83,299700,-0.00101626016260159,9.836,9.876000000000001,9.9084,9.848734576647319,9.870003593982064,-0.0212690173347454,9.876000000000001,9.972768851012681,9.779231148987321,0.0022936246138880833,33.33333111111098
2021-08-17,9.83,9.85,9.83,9.84,9.84,303500,0.0010172939979653517,9.838,9.870000000000001,9.9058,9.847390795624655,9.867781105538949,-0.020390309914294136,9.870000000000001,9.959442719099984,9.780557280900018,0.002324064680633079,33.33333111111098
2021-08-18,9.81,9.86,9.81,9.85,9.85,213200,0.00101626016260159,9.84,9.866,9.903,9.8477922116824,9.866463986610137,-0.018671774927737417,9.866,9.951199456385703,9.780800543614296,0.002278433295089568,42.10526005540151
2021-08-19,9.84,9.86,9.83,9.85,9.85,211100,0.0,9.842,9.8615,9.902000000000001,9.848131871423568,9.865244432046422,-0.017112560622853934,9.8615,9.939440598163625,9.783559401836374,0.0022566811854357015,31.2499972656249
