Date,Open,High,Low,Close,Adj Close,Volume,Return,MA5,MA20,MA50,EMA12,EMA26,MACD,BB_Middle,BB_Upper,BB_Lower,Volatility20,RSI14
2023-10-03,3.35,3.5,3.105,3.115,3.115,15180,-0.05606060606060592,3.173,4.7025,7.2038,3.6905709771468485,5.088906589048125,-1.3983356119012762,4.7025,8.490282992728057,0.9147170072719426,0.10106952691337828,10.446137073722312
2023-10-04,3.1,3.245,3.01,3.015,3.015,5200,-0.0321027287319422,3.137,4.50575,6.9041,3.5866369806627176,4.935283878748264,-1.348646898085546,4.50575,8.209854799870133,0.8016452001298662,0.10075703497504616,10.223642142038116
2023-10-05,3.25,3.28,3.015,3.22,3.22,3220,0.06799336650082921,3.165,4.31675,6.633500000000001,3.530231291329992,4.8082258136558,-1.277994522325808,4.31675,7.867563509457696,0.7659364905423041,0.10298228269927069,14.421052589074776
2023-10-06,3.01,3.245,3.0,3.245,3.245,5440,0.007763975155279379,3.179,4.1015,6.438400000000001,3.4863495542023006,4.692431308940556,-1.2060817547382552,4.1015,7.3347940674048955,0.8682059325951039,0.1001695557994401,32.6436779507993
2023-10-09,3.05,3.39,3.05,3.345,3.345,4420,0.03081664098613257,3.188,3.90625,6.2833,3.4646034689404086,4.592621582352367,-1.128018113411958,3.90625,6.7919385979277855,1.0205614020722145,0.1012404715845549,50.46728927941305
2023-10-10,3.055,3.99,3.055,3.87,3.87,24480,0.15695067264573992,3.339,3.7672500000000007,6.1627,3.5269721660264994,4.539094057733673,-1.012121891707174,3.7672500000000007,6.348189190539572,1.186310809460429,0.10879020568560828,69.53124949300133
2023-10-11,3.85,3.9,3.5,3.6,3.6,39860,-0.06976744186046513,3.4560000000000004,3.6097500000000005,6.0597,3.538207217407038,4.469531534938587,-0.9313243175315487,3.6097500000000005,5.775316596577078,1.4441834034229233,0.10901526083351708,60.68965478176776
2023-10-12,3.78,4.05,3.75,3.75,3.75,9120,0.04166666666666674,3.5620000000000003,3.4597500000000005,5.9477,3.57079072242134,4.416232902720914,-0.8454421802995737,3.4597500000000005,5.048160244635515,1.871339755364486,0.10989253502183123,68.69158833566252
2023-10-13,4.02,4.02,3.44,3.94,3.94,4740,0.05066666666666664,3.7009999999999996,3.3267499999999997,5.8425,3.627592149741134,4.380956391408254,-0.7533642416671196,3.3267499999999997,3.975662247736976,2.6778377522630232,0.1110838328809066,70.61403465412435
2023-10-16,3.75,4.05,3.75,3.88,3.88,8980,-0.015228426395939132,3.808,3.3207499999999994,5.749099999999999,3.6664241267040367,4.343848510563197,-0.6774243838591607,3.3207499999999994,3.9452099772265563,2.6962900227734425,0.06734064847492005,66.66666624048707
2023-10-17,4.095,4.195,3.45,3.59,3.59,6080,-0.07474226804123707,3.7520000000000002,3.3337499999999998,5.6629,3.6546665687495694,4.288007880151108,-0.6333413114015385,3.3337499999999998,3.969739697036626,2.6977603029633737,0.057645135889827254,58.11088262277111
2023-10-18,3.77,3.85,3.41,3.65,3.65,7920,0.01671309192200554,3.7619999999999996,3.3602499999999997,5.587900000000001,3.653948635095789,4.240748037176952,-0.5867994020811631,3.3602499999999997,4.00287189095668,2.717628109043319,0.05538081141082708,61.974789551408804
2023-10-19,3.41,3.7,3.4,3.41,3.41,6440,-0.0657534246575342,3.694,3.3739999999999997,5.4940999999999995,3.6164180758502833,4.1792111455342145,-0.5627930696839312,3.3739999999999997,4.008039679980182,2.7399603200198177,0.057873268725670376,54.65346504350554
2023-10-20,3.585,3.6,3.06,3.25,3.25,6980,-0.04692082111436957,3.556,3.3890000000000002,5.382099999999999,3.5600460641810088,4.110380690309458,-0.550334626128449,3.3890000000000002,3.994349833610723,2.7836501663892776,0.057220465556628845,49.02343723190308
2023-10-23,3.35,3.495,3.0,3.0,3.0,6320,-0.07692307692307687,3.38,3.3890000000000002,5.2751,3.4738851312300842,4.028130268805054,-0.5542451375749695,3.3890000000000002,3.994349833610723,2.7836501663892776,0.0600855296000687,47.80952355453968
2023-10-24,2.945,3.25,2.945,3.25,3.25,13820,0.08333333333333326,3.3120000000000003,3.3939999999999997,5.1721,3.4394412648869945,3.970490989634309,-0.5310497247473145,3.3939999999999997,3.9926528736737112,2.795347126326288,0.061930396860190216,54.234233960620074
2023-10-25,3.25,3.37,3.01,3.02,3.02,8480,-0.0707692307692308,3.186,3.38525,5.0725999999999996,3.374911839519765,3.9000842496613974,-0.5251724101416326,3.38525,4.001020591253374,2.7694794087466263,0.06402454728616712,46.42857119642857
2023-10-26,3.17,3.25,3.0,3.0,3.0,5200,-0.0066225165562914245,3.104,3.38125,4.9726,3.3172330949782625,3.8334113422790717,-0.5161782473008092,3.38125,4.006338414798808,2.7561615852011916,0.06351219275942477,45.61717329565638
2023-10-27,3.15,3.15,3.0,3.0,3.0,3540,0.0,3.054,3.3725,4.8626,3.2684280034431454,3.771677168776918,-0.5032491653337727,3.3725,4.014417358183076,2.730582641816924,0.06311137859504101,43.59925765848252
2023-10-30,3.0,3.07,3.0,3.0,3.0,2020,0.0,3.054,3.3575000000000004,4.7606,3.2271313875288157,3.714515897015665,-0.4873845094868492,3.3575000000000004,4.020233573522258,2.6947664264777424,0.06239650136226913,29.953916857440163
2023-10-31,3.0,3.1,2.95,3.06,3.06,3080,0.020000000000000018,3.016,3.35475,4.6668,3.2014188663705365,3.6660332379774676,-0.4646143716069311,3.35475,4.022160352742048,2.6873396472579514,0.061297267037833766,36.224489537172005
2023-11-01,3.135,3.245,3.0,3.0,3.0,2400,-0.019607843137254943,3.012,3.3540000000000005,4.5748,3.170431348467377,3.6166974425717293,-0.44626609410435236,3.3540000000000005,4.023049600867492,2.684950399132509,0.06100668031843863,29.946523839972556
2023-11-02,3.21,3.245,3.0,3.065,3.065,2180,0.021666666666666723,3.025,3.34625,4.4801,3.1542111410108573,3.5758309653441938,-0.42161982433333645,3.34625,4.025350604902429,2.667149395097571,0.059201044324662465,24.928366562179306
2023-11-03,3.0,3.25,3.0,3.05,3.05,3680,-0.004893964110929905,3.035,3.3364999999999996,4.3911,3.138178657778418,3.536880523466846,-0.398701865688428,3.3364999999999996,4.0272212096595705,2.645778790340428,0.05917189873725812,25.588235083390998
2023-11-06,3.1,3.15,3.0,3.0,3.0,10020,-0.016393442622950727,3.035,3.3192499999999994,4.3001,3.1169204027355844,3.497111595802635,-0.38019119306705074,3.3192499999999994,4.026120605295959,2.61237939470404,0.05875628909013225,29.794520262244333
2023-11-07,3.21,3.21,3.0,3.0,3.0,16620,0.0,3.023,3.27575,4.2231,3.0989326484685713,3.4602885146320697,-0.36135586616349835,3.27575,3.9460466743008977,2.605453325699102,0.045029755756650025,26.785714017857146
2023-11-08,3.0,3.2,2.95,2.95,2.95,10340,-0.016666666666666607,3.013,3.2432499999999997,4.1451,3.0760199333195604,3.4224893654000645,-0.3464694320805042,3.2432499999999997,3.910374820641299,2.5761251793587006,0.04294151666432108,30.991735178608025
2023-11-09,3.0,3.075,2.75,2.775,2.775,10680,-0.05932203389830515,2.955,3.1945,4.0666,3.02970917434732,3.374527190185245,-0.3448180158379248,3.1945,3.8480643164902517,2.5409356835097485,0.042603412126574786,30.612244548104954
