Date,Open,High,Low,Close,Adj Close,Volume,Return,MA5,MA20,MA50,EMA12,EMA26,MACD,BB_Middle,BB_Upper,BB_Lower,Volatility20,RSI14
2021-11-22,9.89,9.89,9.89,9.89,9.89,100200,0.0,9.89,9.893,9.878,9.887741933171576,9.884639408845405,0.0031025243261701974,9.893,9.939385115579974,9.846614884420028,0.0023448287006714013,42.85713857142919
2021-11-23,9.935,9.935,9.88,9.88,9.88,9300,-0.0010111223458038054,9.888,9.892,9.880400000000002,9.886550866529793,9.884295748930931,0.0022551175988620997,9.892,9.938611496210125,9.845388503789874,0.0023426516745888967,39.99999626666725
2021-11-24,9.88,9.88,9.88,9.88,9.88,0,0.0,9.886,9.891000000000002,9.882600000000002,9.885543040909825,9.883977545306418,0.0015654956034065748,9.891000000000002,9.93774679837052,9.844253201629483,0.0023426516745888967,39.99999626666725
2021-11-26,9.88,9.88,9.88,9.88,9.88,0,0.0,9.884,9.89,9.8842,9.884690265385236,9.883682912320758,0.0010073530644785222,9.89,9.936791812149242,9.84320818785076,0.0023426516745888967,39.99999626666725
2021-11-29,9.9,9.9,9.9,9.9,9.9,300,0.002024291497975561,9.886,9.89,9.886000000000001,9.887045609172123,9.884891585482183,0.002154023689939777,9.89,9.936791812149242,9.84320818785076,0.00239037495651573,47.05881965397962
2021-11-30,9.915,9.915,9.915,9.915,9.915,100,0.0015151515151514694,9.891,9.89025,9.886700000000001,9.891346284684104,9.887121838409428,0.004224446274676552,9.89025,9.937542482990088,9.842957517009912,0.0024042050443097546,51.35134746530318
2021-12-01,9.915,9.915,9.915,9.915,9.915,0,0.0,9.898,9.8905,9.888200000000001,9.894985317809626,9.889186887416136,0.0057984303934901504,9.8905,9.938282401517045,9.842717598482954,0.0024042050443097546,90.47617841270011
2021-12-02,10.0,10.0,9.89,9.9,9.9,6500,-0.0015128593040846239,9.902000000000001,9.89,9.8896,9.895756807377376,9.889987858718644,0.005768948658731787,9.89,9.937128045064254,9.842871954935747,0.0024288049489563685,79.16665743055738
2021-12-03,9.9,9.9,9.9,9.9,9.9,300,0.0,9.906,9.889500000000002,9.8906,9.896409606242395,9.890729498813558,0.005680107428837289,9.889500000000002,9.935941814190045,9.843058185809959,0.0024288049489563685,58.333319722225646
2021-12-06,9.901,9.91,9.89,9.9,9.9,6100,0.0,9.906,9.889000000000001,9.8912,9.896961974512795,9.891416202605145,0.005545771907650376,9.889000000000001,9.93472227373818,9.843277726261823,0.0024288049489563685,58.333319722225646
2021-12-07,9.87,9.89,9.86,9.87,9.87,7500,-0.003030303030303161,9.897,9.887,9.891,9.892813978433903,9.889829817226987,0.002984161206915914,9.887,9.932352421162081,9.84164757883792,0.0025185361037981407,38.88888283950613
2021-12-08,9.9,9.91,9.9,9.91,9.91,1300,0.004052684903748771,9.896,9.886999999999999,9.8906,9.895457981751765,9.891323904839803,0.00413407691196177,9.886999999999999,9.93235242116208,9.841647578837918,0.0026924356130333597,57.69230147929051
