Date,Open,High,Low,Close,Adj Close,Volume,Return,MA5,MA20,MA50,EMA12,EMA26,MACD,BB_Middle,BB_Upper,BB_Lower,Volatility20,RSI14
1996-06-20,9.0,9.0,8.125,8.125,7.83187,9100,-0.09722231027550265,8.603008200000001,8.356003099999999,6.411289480000001,8.522516444803117,7.906300015984355,0.6162164288187615,8.356003099999999,10.003960674079325,6.7080455259206735,0.08304135899965301,52.94116294835815
1996-06-21,8.125,8.75,8.125,8.5,8.193341,8200,0.04615385597564825,8.4343218,8.4222728,6.476354219999999,8.47187406867956,7.927562311096626,0.5443117575829337,8.4222728,9.917823698505869,6.9267219014941315,0.08304744467862468,57.69230203862838
1996-06-24,8.75,8.75,7.625,7.875,7.590889,27600,-0.07352946740529909,8.145145000000001,8.3921502,6.54141896,8.336337904267321,7.90262354731169,0.43371435695563054,8.3921502,9.930764488441945,6.853535911558056,0.0732910923563085,48.07691897938807
1996-06-25,8.5,8.5,7.75,8.5,8.193341,8800,0.07936514418798657,8.0969488,8.4343218,6.618532739999999,8.314338380533886,7.92415817343675,0.39018020709713674,8.4343218,9.897017628576027,6.971625971423972,0.07129500845975331,41.30433791619405
1996-06-26,7.75,8.25,6.5,7.25,6.988439,107300,-0.1470586907099315,7.759576,8.42227275,6.673958300000001,8.110353860451749,7.854845642071064,0.25550821838068494,8.42227275,9.930035874946821,6.914509625053177,0.07918039023272833,31.48150105229928
1996-06-27,7.75,8.0,7.25,8.0,7.71138,16700,0.10344813770285466,7.735477999999999,8.40419915,6.739023060000001,8.048973266536095,7.844218557473208,0.20475470906288695,8.40419915,9.93803859371066,6.8703597062893405,0.07821581309871678,43.39624079741707
1996-06-28,8.0,8.0,7.25,7.25,6.988439,12300,-0.09374988653133431,7.4944976,8.38010105,6.79444862,7.885814148607465,7.780827479141859,0.10498666946560586,8.38010105,9.989019273335163,6.771182826664838,0.07929348082117105,35.71427187837307
1996-07-01,7.125,8.0,7.125,7.875,7.590889,5100,0.0862066621744857,7.4944976,8.3981745,6.86192318,7.840441048821701,7.766757962168388,0.07368308665331291,8.3981745,9.960102497106742,6.836246502893257,0.08118590246871073,37.93100874859816
1996-07-02,8.0,8.0,7.125,7.125,6.867947,16100,-0.09523812033083345,7.2294187999999995,8.349978349999999,6.9125290800000005,7.690826579772208,7.700179372378137,-0.00935279260592825,8.349978349999999,10.039738757260057,6.66021794273994,0.08200028278860444,33.33333327185609
1996-07-03,7.125,7.4375,7.0,7.4375,7.169173,22200,0.043859686162400546,7.2655655999999995,8.2505738,6.9715693199999995,7.610572182884177,7.660845567016793,-0.05027338413261617,8.2505738,9.973948364406835,6.527199235593164,0.07233562456311132,37.007865303333496
