Date,Open,High,Low,Close,Adj Close,Volume,Return,MA5,MA20,MA50,EMA12,EMA26,MACD,BB_Middle,BB_Upper,BB_Lower,Volatility20,RSI14
2021-12-06,9.79,9.79,9.79,9.79,9.79,2000,0.0010224948875254825,9.808,9.798,9.76512,9.804086156826651,9.789921332810168,0.014164824016482669,9.798,9.845060990662153,9.750939009337847,0.0012344955304170776,53.8461480473378
2021-12-07,9.78,9.78,9.78,9.78,9.78,30100,-0.0010214504596527396,9.798,9.7985,9.767000000000001,9.800380594237936,9.789186419268674,0.011194174969261894,9.7985,9.84450915240755,9.752490847592451,0.0012598490710457523,49.999995000000496
2021-12-08,9.8,9.8,9.8,9.8,9.8,1000,0.002044989775051187,9.791999999999998,9.8,9.7684,9.800322041278253,9.789987425248773,0.01033461602948016,9.8,9.84400956833759,9.755990431662411,0.0013360933145606319,59.99999440000076
2021-12-09,9.8,9.81,9.8,9.81,9.81,3400,0.0010204081632652073,9.792,9.802000000000001,9.77,9.801810958004676,9.791469838193308,0.010341119811368316,9.802000000000001,9.843851869102423,9.76014813089758,0.0013493142260629799,57.14285142857236
2021-12-10,9.74,9.74,9.74,9.74,9.74,700,-0.007135575942915473,9.784,9.799499999999998,9.77,9.792301579850111,9.787657257586396,0.004644322263715139,9.799499999999998,9.849542087549517,9.74945791245048,0.002063087777779695,34.99999755000012
2021-12-13,9.78,9.78,9.78,9.78,9.78,13600,0.004106776180698102,9.782,9.799499999999998,9.770800000000001,9.79040902910394,9.787090053320737,0.0033189757832019495,9.799499999999998,9.849542087549517,9.74945791245048,0.0022708947951731264,43.478258223062305
2021-12-14,9.78,9.78,9.78,9.78,9.78,300,0.0,9.782,9.7995,9.770800000000001,9.788807640011026,9.786564864185868,0.00224277582515775,9.7995,9.84954208754952,9.749457912450481,0.0022708947951731264,40.909088305785104
2021-12-15,9.78,9.78,9.78,9.78,9.78,0,0.0,9.778,9.7995,9.7704,9.787452618470867,9.786078577949878,0.001374040520989439,9.7995,9.84954208754952,9.749457912450481,0.0022708947951731264,38.0952355555556
2021-12-16,9.75,9.75,9.75,9.75,9.75,5900,-0.0030674846625766694,9.766,9.7985,9.77,9.781690677167656,9.783406090694331,-0.0017154135266750359,9.7985,9.851722472499363,9.745277527500638,0.0023636190734659967,33.33333138888901
2021-12-17,9.741,9.741,9.741,9.741,9.741,100,-0.0009230769230769154,9.7662,9.79605,9.76942,9.775430572988016,9.780264898791048,-0.004834325803031447,9.79605,9.855110985430299,9.7369890145697,0.0023144264366732285,32.12851224980248
2021-12-20,9.741,9.741,9.741,9.741,9.741,0,0.0,9.7584,9.793099999999999,9.76884,9.77013356175909,9.777356387769489,-0.007222826010398364,9.793099999999999,9.857023967994866,9.729176032005132,0.0022961299011501953,32.12851224980248
2021-12-21,9.741,9.741,9.741,9.741,9.741,0,0.0,9.7506,9.78965,9.769060000000001,9.765651475334614,9.774663322008786,-0.009011846674171764,9.78965,9.8570850369654,9.7222149630346,0.00227651365020631,32.12851224980248
2021-12-22,9.75,9.75,9.75,9.75,9.75,5200,0.0009239297813365965,9.7446,9.786150000000001,9.76966,9.763243556052366,9.772836409267393,-0.00959285321502712,9.786150000000001,9.854215835003588,9.718084164996414,0.002273589453283449,37.39495578348996
2021-12-23,9.76,9.77,9.76,9.77,9.77,4300,0.0020512820512819108,9.7486,9.78315,9.77026,9.764283008967388,9.772626304877216,-0.008343295909828186,9.78315,9.84830495699524,9.717995043004759,0.0023177362582324596,47.807014608341255
2021-12-27,9.77,9.77,9.77,9.77,9.77,0,0.0,9.7544,9.78015,9.77126,9.765162546049329,9.7724317637752,-0.007269217725871968,9.78015,9.841644629632865,9.718655370367136,0.0023177362582324596,45.412841120276354
2021-12-28,9.78,9.78,9.78,9.78,9.78,100,0.0010235414534287557,9.7622,9.77765,9.77246,9.767445231272509,9.772992373865925,-0.0055471425934161545,9.77765,9.834501699969946,9.720798300030053,0.002336019011922423,49.999996788991034
2021-12-29,9.78,9.78,9.78,9.78,9.78,0,0.0,9.77,9.77515,9.77366,9.769376734153662,9.773511457283263,-0.00413472312960117,9.77515,9.82643362824835,9.72386637175165,0.002336019011922423,44.94949177124768
2021-12-30,9.78,9.78,9.78,9.78,9.78,0,0.0,9.776,9.77265,9.77506,9.771011082745405,9.773992090077094,-0.002981007331689156,9.77265,9.817094051167846,9.728205948832155,0.002336019011922423,42.02127346650056
2021-12-31,9.78,9.78,9.78,9.78,9.78,0,0.0,9.778,9.77115,9.77646,9.772393993092265,9.774437120441753,-0.002043127349487861,9.77115,9.81218028406587,9.730119715934132,0.002298317617313491,66.94914459925388
2022-01-03,9.78,9.78,9.78,9.78,9.78,0,0.0,9.78,9.771149999999999,9.77746,9.773564148001148,9.774849185594215,-0.0012850375930675284,9.771149999999999,9.812180284065867,9.73011971593413,0.0021940661242644604,49.999991025642636
2022-01-04,9.78,9.78,9.78,9.78,9.78,0,0.0,9.78,9.77065,9.77846,9.774554279077893,9.77523072740205,-0.0006764483241568087,9.77065,9.81095031996738,9.730349680032619,0.002180916187784568,49.999991025642636
2022-01-05,9.78,9.78,9.78,9.78,9.78,0,0.0,9.78,9.77065,9.77886,9.775392082296678,9.77558400685375,-0.00019192455707184308,9.77065,9.81095031996738,9.730349680032619,0.0021688675785355802,49.999991025642636
2022-01-06,9.78,9.78,9.78,9.78,9.78,0,0.0,9.78,9.769649999999999,9.779259999999999,9.776100992712573,9.775911117457175,0.000189875255397709,9.769649999999999,9.807820117824502,9.731479882175496,0.002115031691141334,81.24997630208955
2022-01-07,9.78,9.78,9.78,9.78,9.78,0,0.0,9.78,9.768149999999999,9.77966,9.776700839987562,9.776213997645533,0.00048684234202944765,9.768149999999999,9.80172489663737,9.734575103362626,0.0020988270602135066,99.99996410257698
2022-01-10,9.76,9.76,9.755,9.755,9.755,5100,-0.002556237218813706,9.775,9.768899999999999,9.77956,9.773362249220245,9.77464259041253,-0.0012803411922845953,9.768899999999999,9.800435443718552,9.737364556281445,0.0014445733629148772,60.93748666992596
2022-01-11,9.75,9.77,9.75,9.77,9.77,9700,0.0015376729882110585,9.773,9.7684,9.78036,9.772844980109438,9.774298694826417,-0.001453714716978638,9.7684,9.799508638164033,9.737291361835966,0.0011520763604930568,68.35441826630625
2022-01-12,9.77,9.77,9.77,9.77,9.77,0,0.0,9.771,9.767900000000001,9.78116,9.772407290861832,9.773980272987423,-0.0015729821255909826,9.767900000000001,9.798541561043095,9.737258438956907,0.0011520763604930568,64.28570142857436
2022-01-13,9.77,9.77,9.77,9.77,9.77,0,0.0,9.769,9.767399999999999,9.78096,9.77203693842155,9.773685437951318,-0.0016484995297680882,9.767399999999999,9.797532339682418,9.73726766031758,0.0011520763604930568,49.99998600000392
2022-01-14,9.77,9.77,9.77,9.77,9.77,0,0.0,9.767,9.7684,9.78136,9.771723563279773,9.773412442547517,-0.0016888792677445252,9.7684,9.79740744006194,9.739392559938059,0.0009075216056242596,49.99998600000392
2022-01-18,9.77,9.77,9.77,9.77,9.77,0,0.0,9.77,9.76985,9.781759999999998,9.77145839969827,9.773159669025478,-0.0017012693272082657,9.76985,9.795831977559345,9.743868022440655,0.0008755074317774035,37.49998687500403
