Date,Open,High,Low,Close,Adj Close,Volume,Return,MA5,MA20,MA50,EMA12,EMA26,MACD,BB_Middle,BB_Upper,BB_Lower,Volatility20,RSI14
1999-10-11,97.0,112.5,97.0,108.5,108.5,295775,0.17934782608695654,106.1,122.975,142.19,112.55259068593803,124.22245004257671,-11.669859356638682,122.975,157.84992690050802,88.10007309949196,0.06305276786813223,29.9999999944
1999-10-12,109.0,120.0,107.5,113.5,113.5,278850,0.04608294930875578,106.5,121.0,141.38,112.69834596502449,123.42819448386732,-10.729848518842829,121.0,153.07720948619192,88.9227905138081,0.06359623451076073,34.810126576109596
1999-10-13,113.5,114.0,105.0,110.0,110.0,250500,-0.03083700440528636,106.2,119.125,140.49,112.28321581655918,122.43351341098825,-10.150297594429077,119.125,148.98762406067925,89.26237593932075,0.06350906103732644,41.66666665782828
1999-10-14,112.0,112.5,109.0,112.0,112.0,150313,0.018181818181818077,107.2,117.325,139.67,112.23964415247315,121.66066056572986,-9.421016413256709,117.325,144.03252899957505,90.61747100042497,0.0637914116493553,47.5806451505463
1999-10-15,112.0,129.5,110.0,112.5,112.5,489963,0.0044642857142858094,111.3,115.75,138.95,112.27969889824651,120.98209311641654,-8.702394218170028,115.75,139.37090955956256,92.12909044043744,0.06378777339961157,44.444444433808165
1999-10-18,113.5,117.5,109.0,113.0,113.0,78488,0.004444444444444473,112.2,114.225,138.19,112.39051445236242,120.39082695964494,-8.000312507282516,114.225,133.91329467903202,94.53670532096795,0.06385725160955151,49.99999998679245
1999-10-19,115.0,118.0,115.0,117.0,117.0,95175,0.03539823008849563,112.9,113.15,137.52,113.0996660750759,120.13965459226384,-7.039988517187936,113.15,129.28463094680052,97.01536905319949,0.06434629851806267,55.454545440429754
1999-10-20,117.0,120.0,116.0,119.0,119.0,125875,0.017094017094017033,114.7,112.225,136.86,114.00740975583345,120.05523573357762,-6.047825977744168,112.225,124.01917786786875,100.43082213213124,0.06456023629469965,55.855855841766086
1999-10-21,117.5,117.5,112.0,115.0,115.0,84963,-0.03361344537815125,115.3,111.925,135.94,114.16011594724368,119.68077382738669,-5.5206578801430055,111.925,123.06655332645737,100.78344667354263,0.05913983002600898,52.10084032387544
1999-10-22,116.0,118.5,115.5,117.5,117.5,47675,0.021739130434782705,116.3,112.05,135.01,114.67394426305235,119.51923502535806,-4.845290762305709,112.05,123.39112219454303,100.70887780545696,0.0581930612671377,53.658536573150904
1999-10-25,116.5,117.5,115.0,115.5,115.5,30425,-0.017021276595744705,116.8,111.875,133.91,114.8010297610443,119.22151391236858,-4.420484151324274,111.875,122.86722213059755,100.88277786940245,0.05783962584405686,53.22580643959417
1999-10-26,115.0,115.0,107.0,108.0,108.0,176588,-0.06493506493506496,115.0,111.625,132.68,113.7547174901144,118.39029065960054,-4.635573169486136,111.625,122.73627923849305,100.51372076150695,0.05859259234200224,47.48201437892449
1999-10-27,109.0,113.5,109.0,111.0,111.0,74863,0.02777777777777768,113.4,111.625,131.47,113.33091479932757,117.84286172185236,-4.5119469225247855,111.625,122.73627923849305,100.51372076150695,0.05877870334317245,52.94117645968858
1999-10-28,111.0,119.0,111.0,118.5,118.5,93713,0.06756756756756754,114.1,111.925,130.53,114.1261586763541,117.89153863134477,-3.765379954990678,111.925,123.45197066152059,100.3980293384794,0.06057012689780118,71.90082642964279
1999-10-29,119.0,124.5,118.5,123.5,123.5,132013,0.04219409282700415,115.3,112.475,129.78,115.56828811076116,118.30698021420812,-2.738692103446965,112.475,125.11360002240335,99.83639997759664,0.06114400099348112,65.3061224303207
1999-11-01,123.5,129.0,123.5,126.0,126.0,124575,0.020242914979757165,117.4,113.125,129.02,117.17316686295175,118.87683353167418,-1.703666668722434,113.125,127.13956009787039,99.11043990212961,0.06121906540256941,63.44086019595329
1999-11-02,124.0,125.0,123.0,124.0,124.0,69450,-0.015873015873015928,120.6,113.75,128.31,118.22344888403609,119.25632734414276,-1.032878460106673,113.75,128.5522046722059,98.9477953277941,0.061267581138888375,65.5555555351605
1999-11-03,123.5,124.0,119.0,120.0,120.0,110050,-0.032258064516129004,122.4,114.175,127.55,118.49676444033824,119.31141420753958,-0.8146497672013453,114.175,129.1917450394194,99.15825496058059,0.061885418214344214,58.51063828044364
1999-11-04,120.5,121.0,116.0,119.0,119.0,76638,-0.008333333333333304,122.5,114.775,126.77,118.57418529567082,119.28834648846258,-0.7141611927917637,114.775,129.54151617680964,100.00848382319037,0.061045757907437326,56.84210524640443
1999-11-05,116.0,119.5,113.0,113.0,113.0,109825,-0.050420168067226934,120.4,115.825,125.9,117.71661832710608,118.82254304487276,-1.1059247177666833,115.825,126.06565684570872,105.58434315429129,0.052325918253576895,49.99999998679245
1999-11-08,112.0,121.0,111.5,120.0,120.0,81813,0.06194690265486735,119.2,116.4,125.21,118.0679078152436,118.90976207858589,-0.8418542633422845,116.4,126.19043571956479,106.60956428043522,0.036792077278760146,52.678571415401784
1999-11-09,120.0,125.0,120.0,124.0,124.0,120325,0.03333333333333344,119.2,116.925,124.83,118.9805373821292,119.28681673943139,-0.3062793573021878,116.925,127.17593063811044,106.67406936188955,0.03616044106518832,54.31034481447681
1999-11-10,127.0,132.0,123.5,124.0,124.0,128100,0.0,120.0,117.625,124.38,119.75276240026317,119.63594142539944,0.11682097486372811,117.625,127.7965547639372,107.4534452360628,0.03519402208010394,58.333333318209874
1999-11-11,122.0,123.0,120.5,122.0,122.0,93738,-0.016129032258064502,120.6,118.125,123.82,120.09849126176114,119.81105687536986,0.2874343863912827,118.125,128.11380952813988,108.13619047186012,0.03543499133830859,54.20560746245087
1999-11-12,122.0,127.5,122.0,127.0,127.0,56888,0.040983606557376984,123.4,118.85,123.3,121.16026183687481,120.34357118089801,0.8166906559767995,118.85,129.21745921266637,108.48254078733362,0.03634170990139119,60.17699113553137
