Date,Open,High,Low,Close,Adj Close,Volume,Return,MA5,MA20,MA50,EMA12,EMA26,MACD,BB_Middle,BB_Upper,BB_Lower,Volatility20,RSI14
1980-05-27,6.5625,6.5625,6.4375,6.46875,6.379344,17200,-0.01895729349541786,6.323871,5.84310885,5.29886146,6.075202405273677,5.763157055590227,0.31204534968344966,5.84310885,6.583121459092071,5.103096240907929,0.03307301376308814,83.05084775032509
1980-05-28,6.4375,6.4375,6.375,6.375,6.28689,3600,-0.014492712730337143,6.360853,5.86776335,5.326597759999999,6.1077697275392655,5.80195208850947,0.30581763902979553,5.86776335,6.633275507650295,5.102251192349704,0.028856666203836277,76.7857229752006
1980-05-29,6.34375,6.34375,6.1875,6.28125,6.194436,29600,-0.014705840248517177,6.3546895999999995,5.88471335,5.35433406,6.121103000225533,5.831024970842102,0.2900780293834311,5.88471335,6.6639652325770555,5.105461467422945,0.029127434746123587,65.95749464537982
1980-05-30,6.28125,6.28125,6.0625,6.25,6.163617,54800,-0.004975271356423616,6.3053806,5.90936785,5.376523079999999,6.127643615575451,5.855661417446391,0.2719821981290602,5.90936785,6.691283671882913,5.127452028117086,0.028041947298750963,60.465113885360715
1980-06-02,6.25,6.25,6.1875,6.21875,6.132799,5600,-0.004999986209396234,6.2314172,5.94634955,5.39254848,6.128436751640766,5.876190127265176,0.25224662437558987,5.94634955,6.694711529423389,5.19798757057661,0.02521210213674539,64.99997898152492
1980-06-03,6.15625,6.15625,6.03125,6.09375,6.009526,33600,-0.020100609852043094,6.1574536,5.98641305,5.40919024,6.110142789849879,5.886066858578867,0.22407593127101144,5.98641305,6.649313271563721,5.32351282843628,0.024175337553141812,56.09753139948792
1980-06-04,6.09375,6.125,5.90625,6.03125,5.94789,26000,-0.010256382949337395,6.0896536,6.02493565,5.4338447,6.085180822180667,5.890646350535988,0.19453447164467885,6.02493565,6.568740553571016,5.481130746428984,0.024320675972447553,51.219467230578985
1980-06-05,6.03125,6.125,5.96875,5.96875,5.886254,32000,-0.01036266642456396,6.028017200000001,6.051131,5.4578828,6.054576695691334,5.890320991237026,0.16425570445430804,6.051131,6.503300711073383,5.598961288926617,0.023654237208790133,48.83717544292472
1980-06-06,5.96875,6.0,5.9375,5.9375,5.855436,2800,-0.005235587862841173,5.966381,6.05729465,5.48192092,6.023939665584975,5.88773691781206,0.13620274777291463,6.05729465,6.494262434560453,5.620326865439547,0.018294029363992267,49.999999459192196
1980-06-09,5.9375,5.9375,5.8125,5.84375,5.762982,17600,-0.015789430539416727,5.8924176,6.0511310499999995,5.5096572,5.983792332418056,5.878495812788945,0.10529651962911135,6.0511310499999995,6.501528358870813,5.600733741129186,0.01761977697535092,46.66667580992587
1980-06-10,5.8125,5.8125,5.3125,5.5,5.423983,81200,-0.058823539618898746,5.775309,6.0341811,5.523217159999999,5.897667819738355,5.844828197026801,0.05283962271155396,6.0341811,6.550873624007254,5.517488575992745,0.021496003742762962,27.083376735963967
