Date,Open,High,Low,Close,Adj Close,Volume,Return,MA5,MA20,MA50,EMA12,EMA26,MACD,BB_Middle,BB_Upper,BB_Lower,Volatility20,RSI14
2016-11-30,2.694,2.7838,2.5815,2.658,2.658,3137000,-0.019911504424778848,2.7933999999999997,2.58935,2.6597199999999996,2.7180689304294066,2.6713203573211506,0.046748573108255975,2.58935,3.0722139450960118,2.1064860549039883,0.04804289234479621,63.02943224521748
2016-12-01,2.64,2.7,2.548,2.608,2.608,4862000,-0.018811136192625977,2.7112,2.5976,2.6516800000000003,2.7011352488248823,2.6666299604825467,0.03450528834233557,2.5976,3.075548863153239,2.1196511368467608,0.047612512691058595,59.49820728819004
2016-12-02,2.587,2.648,2.562,2.62,2.62,3055000,0.004601226993865115,2.6536,2.6140999999999996,2.64628,2.688652902851824,2.6631758893356916,0.025477013516132185,2.6140999999999996,3.0695941330721586,2.1586058669278407,0.04493442724994343,53.11203257795149
2016-12-05,2.62,2.721,2.6091,2.662,2.662,2795000,0.016030534351144876,2.652,2.6278499999999996,2.6442,2.6845524562592358,2.6630887864219366,0.021463669837299193,2.6278499999999996,3.070912203070261,2.1847877969297382,0.0442457258477794,53.49794177039408
2016-12-06,2.661,2.841,2.608,2.81,2.81,5033000,0.05559729526671675,2.6716,2.65385,2.64486,2.7038520783731994,2.67397109853883,0.029880979834369548,2.65385,3.073865175164446,2.2338348248355535,0.04409671286565748,60.86956456737308
2016-12-07,2.812,2.8525,2.746,2.758,2.758,2082000,-0.0185053380782918,2.6915999999999998,2.67775,2.6400599999999996,2.7121825278542455,2.6801954616100274,0.0319870662442181,2.67775,3.0609827175352766,2.2945172824647235,0.044470902521868215,58.21005856883075
2016-12-08,2.753,2.8639,2.7,2.741,2.741,1664000,-0.00616388687454672,2.7182000000000004,2.70005,2.6281,2.7166159851074387,2.6846995014907664,0.03191648361667232,2.70005,3.038833256281714,2.361266743718286,0.044620747674510165,55.640243308716926
2016-12-09,2.756,2.843,2.706,2.747,2.747,3625000,0.002188982123312533,2.7436,2.72025,2.6250599999999995,2.7212904489370633,2.689314353232191,0.031976095704872254,2.72025,3.01466672935877,2.42583327064123,0.04457260123602681,41.85814127271329
2016-12-12,2.864,2.955,2.81,2.936,2.936,4978000,0.06880232981434298,2.7984,2.7398,2.62536,2.7543226875621305,2.7075873641038806,0.04673532345824993,2.7398,3.037131004632528,2.4424689953674714,0.04312981553748045,50.12853410299959
2016-12-13,2.94,3.038,2.867,2.929,2.929,5632000,-0.0023841961852861804,2.8222,2.7573999999999996,2.63118,2.7811961202448794,2.7239883000961855,0.057207820148693855,2.7573999999999996,3.0558256232825487,2.4589743767174506,0.04317662764103968,52.51346433106955
2016-12-14,2.912,2.955,2.793,2.8,2.8,5030000,-0.0440423352680096,2.8306,2.77115,2.63952,2.78408902482259,2.7296187963853566,0.05447022843723337,2.77115,3.0491308967309934,2.4931691032690066,0.04429094282740956,40.01823102984937
2016-12-15,2.81,2.965,2.804,2.952,2.952,4314000,0.05428571428571427,2.8728,2.79195,2.6490000000000005,2.8099214825421917,2.7460914781345895,0.06383000440760211,2.79195,3.0578375702247076,2.5260624297752923,0.045576356410021356,51.93321552981984
