Date,Open,High,Low,Close,Adj Close,Volume,Return,MA5,MA20,MA50,EMA12,EMA26,MACD,BB_Middle,BB_Upper,BB_Lower,Volatility20,RSI14
2000-12-29,2.241302,2.269179,2.230152,2.235727,1.895797,838508,0.00501287943166151,1.8811411999999996,2.21656925,2.11804444,2.0366006456320673,2.1196779993627226,-0.08307735373065528,2.21656925,2.7241656067999482,1.7089728932000519,0.04780667927135377,15.449351157791185
2001-01-02,2.246878,2.258029,2.241302,2.249665,1.907616,1082886,0.006234317281860857,1.883505,2.2002588,2.11894272,2.0167568539963647,2.103969703113632,-0.08721284911726723,2.2002588,2.7261546323945325,1.6743629676054672,0.04278515311759763,11.209252329317295
2001-01-03,2.252453,2.559099,2.252453,2.559099,2.170002,6084788,0.1375465502491069,1.9473286,2.1957675500000002,2.1224412200000002,2.0403330303046165,2.108860984364474,-0.06852795405985734,2.1957675500000002,2.721055281274556,1.6704798187254446,0.05357323489807831,32.812526124340806
2001-01-04,2.559099,2.586976,2.503345,2.545161,2.158183,2141110,-0.005446538758950514,2.0035878,2.17969345,2.1290127,2.0584637948731372,2.1125144670041425,-0.05405067213100523,2.17969345,2.6877965281139127,1.671590371886087,0.04835592482955528,30.925562455933644
2001-01-05,2.553524,2.581401,2.486619,2.503345,2.122725,1910184,-0.01642956134859752,2.0508645999999997,2.1702381500000003,2.1344968,2.0683501341234236,2.113270802781613,-0.044920668658189555,2.1702381500000003,2.675015020698031,1.6654612793019696,0.046216144496376475,32.619065385322784
2001-01-08,2.492194,2.503345,2.481044,2.492194,2.113269,338542,-0.004454651450376379,2.094359,2.1555823500000004,2.13983906,2.075260728873666,2.1132706692422345,-0.03800994036856853,2.1555823500000004,2.648368803905278,1.6627958960947227,0.045032436718081804,40.5325295972412
2001-01-09,2.503345,2.595339,2.503345,2.592551,2.198368,2513282,0.04026889146625434,2.1525094,2.1416356999999997,2.1473088,2.094200309046948,2.119574175224291,-0.025373866177343274,2.1416356999999997,2.61133221223747,1.6719391877625298,0.045536170517084765,47.010899422053036
2001-01-10,2.575825,2.64273,2.547948,2.575825,2.184184,1392282,-0.006452058981935571,2.1553458,2.1243796,2.1533602,2.1080439538089557,2.12436008817064,-0.01631613436168422,2.1243796,2.5580874816134704,1.69067171838653,0.04512345711455673,52.90519544478978
2001-01-11,2.553524,2.553524,2.453167,2.500558,2.120361,2111964,-0.029220523545635424,2.1477814,2.10369605,2.15714234,2.1099388839921933,2.124063859417259,-0.014124975425065855,2.10369605,2.4922512351973936,1.7151408648026063,0.04535967289384699,58.24912783274441
2001-01-12,2.500558,2.561887,2.430865,2.469893,2.094359,2827162,-0.012263006157913758,2.1421082,2.0805305,2.1592225199999997,2.107541978762625,2.1218634994604253,-0.014321520697800239,2.0805305,2.4051011008092633,1.7559598991907368,0.04518410425674334,55.882327462821436
2001-01-16,2.531222,2.531222,2.453167,2.453167,2.080176,3445954,-0.006772000406807033,2.1354896,2.0611470499999998,2.1607353799999998,2.1033318281837596,2.118775536537431,-0.015443708353671148,2.0611470499999998,2.3298151476900912,1.7924789523099083,0.044764347892131774,64.77265480315486
2001-01-17,2.492194,2.586976,2.489407,2.559099,2.170002,2394456,0.043181923068048356,2.1298164,2.0564194000000002,2.16309922,2.1135887776939506,2.12257008938651,-0.008981311692559224,2.0564194000000002,2.3130759140329364,1.7997628859670638,0.04246876038394895,73.85151302615193
2001-01-18,2.575825,2.773751,2.575825,2.75145,2.333107,2717304,0.07516352519490765,2.159601,2.06055615,2.16853608,2.1473608118948815,2.1381654160986203,0.009195395796261163,2.06055615,2.332582020427819,1.7885302795721811,0.04574521699770553,78.29902974160254
2001-01-19,2.770963,2.876896,2.770963,2.815566,2.387474,3885386,0.02330240319025223,2.2130236,2.0729663,2.1762894399999997,2.184301302372592,2.1566327186098335,0.02766858376275838,2.0729663,2.3804483898309052,1.7654842101690948,0.044247824586752735,79.44435892112881
2001-01-22,2.860169,2.932649,2.701271,2.704059,2.292921,4221686,-0.03960378207260051,2.252736,2.0873857,2.18248268,2.2010120250845007,2.166728146860957,0.03428387822354351,2.0873857,2.408117901957107,1.766653498042893,0.04259638774280469,71.21207482590265
2001-01-23,2.692908,2.692908,2.631579,2.662244,2.257464,2333922,-0.015463681478777525,2.2881936,2.09979585,2.1853193,2.20969694430227,2.1734493211675527,0.03624762313471708,2.09979585,2.426943446961358,1.7726482530386416,0.042896458712009776,68.22660306968041
2001-01-24,2.706847,2.809991,2.706847,2.768176,2.347289,2044704,0.03979022478320804,2.323651,2.12237045,2.18985786,2.2308649528711513,2.186326334414401,0.044538618456750445,2.12237045,2.4525431131646758,1.7921977868353243,0.040786794998945414,61.26122125871063
2001-01-25,2.768176,2.768176,2.698483,2.701271,2.290558,356478,-0.02416873252505336,2.3151412000000002,2.14435415,2.1942546,2.240048498583282,2.1940471985318526,0.04600130005142944,2.14435415,2.4564718534249663,1.8322364465750334,0.040808624577186176,57.95456769647233
