Date,Open,High,Low,Close,Adj Close,Volume
2009-08-06,1.65,1.691,1.556,1.618,1.156948,241978000
2009-08-07,1.615,1.676,1.603,1.643,1.174825,24543000
2009-08-10,1.663,1.663,1.561,1.597,1.141932,24210000
2009-08-11,1.598,1.6,1.55,1.567,1.120481,23054000
2009-08-12,1.615,1.62,1.566,1.6,1.144077,14513000
2009-08-13,1.6,1.672,1.6,1.655,1.183405,11506000
2009-08-14,1.65,1.7,1.625,1.66,1.18698,6378000
2009-08-17,1.627,1.637,1.62,1.622,1.159808,2544000
2009-08-18,1.648,1.72,1.635,1.707,1.220587,14467000
2009-08-19,1.684,1.794,1.68,1.789,1.279222,20708000
2009-08-20,1.795,1.795,1.729,1.776,1.269925,18821000
2009-08-21,1.779,1.797,1.758,1.782,1.274216,8636000
2009-08-24,1.752,1.785,1.73,1.75,1.251335,10216000
2009-08-25,1.765,1.79,1.755,1.785,1.276361,5308000
2009-08-26,1.769,1.785,1.715,1.785,1.276361,7086000
2009-08-27,1.785,1.821,1.755,1.816,1.298528,11611000
2009-08-28,1.81,1.9,1.8,1.847,1.320694,12950000
2009-08-31,1.835,1.84,1.781,1.82,1.301387,10048000
2009-09-01,1.825,1.844,1.694,1.785,1.276361,13835000
2009-09-02,1.776,1.825,1.748,1.768,1.264206,12934000
2009-09-03,1.797,1.797,1.7,1.745,1.247759,36577000
2009-09-04,1.775,1.8,1.749,1.776,1.269925,11586000
2009-09-08,1.776,1.793,1.745,1.77,1.265635,5749000
2009-09-09,1.785,1.785,1.722,1.726,1.234173,5512000
2009-09-10,1.701,1.746,1.695,1.705,1.219158,4152000
2009-09-11,1.7,1.733,1.654,1.688,1.207001,6203000
2009-09-14,1.664,1.69,1.631,1.665,1.190556,16145000
2009-09-15,1.725,1.735,1.663,1.718,1.228453,19869000
2009-09-16,1.74,1.775,1.711,1.758,1.257055,20211000
2009-09-17,1.766,1.79,1.653,1.664,1.18984,14464000
2009-09-18,1.657,1.702,1.618,1.62,1.158378,8999000
2009-09-21,1.628,1.663,1.587,1.661,1.187695,5530000
2009-09-22,1.696,1.737,1.682,1.725,1.233459,11141000
2009-09-23,1.762,1.779,1.73,1.74,1.244184,5303000
2009-09-24,1.733,1.785,1.675,1.749,1.250619,7788000
2009-09-25,1.748,1.748,1.71,1.713,1.224877,4685000
2009-09-28,1.732,1.785,1.703,1.765,1.26206,2336000
2009-09-29,1.755,1.784,1.695,1.703,1.217727,3567000
2009-09-30,1.7,1.733,1.696,1.707,1.220587,5126000
2009-10-01,1.7,1.709,1.621,1.631,1.166244,6605000
2009-10-02,1.62,1.636,1.59,1.609,1.150513,6296000
2009-10-05,1.61,1.653,1.6,1.649,1.179115,1889000
2009-10-06,1.674,1.72,1.644,1.647,1.177685,4694000
2009-10-07,1.657,1.661,1.592,1.613,1.153373,2917000
2009-10-08,1.611,1.618,1.594,1.601,1.144792,5573000
2009-10-09,1.598,1.645,1.594,1.625,1.161953,8705000
2009-10-12,1.622,1.645,1.604,1.634,1.168389,12888000
2009-10-13,1.619,1.667,1.615,1.653,1.181975,5573000
2009-10-14,1.684,1.7,1.654,1.686,1.205572,6955000
2009-10-15,1.74,1.795,1.71,1.716,1.227023,20920000
2009-10-16,1.723,1.723,1.621,1.643,1.174825,12638000
2009-10-19,1.646,1.664,1.606,1.624,1.161238,21429000
2009-10-20,1.634,1.673,1.627,1.653,1.181975,4890000
2009-10-21,1.637,1.691,1.611,1.649,1.179115,2338000
2009-10-22,1.633,1.633,1.561,1.628,1.164098,9834000
