Date,Open,High,Low,Close,Adj Close,Volume
1998-07-10,10.000000,10.000000,9.625000,9.625000,7.079659,24800
1998-07-13,10.000000,10.000000,10.000000,10.000000,7.355491,2800
1998-07-14,9.750000,9.750000,9.750000,9.750000,7.171605,1800
1998-07-15,9.000000,9.000000,9.000000,9.000000,6.619938,3000
1998-07-16,9.500000,9.500000,9.000000,9.312500,6.849801,20800
1998-07-17,9.312500,9.687500,9.187500,9.437500,6.941741,13600
1998-07-20,9.312500,9.875000,8.500000,9.125000,6.711882,96800
1998-07-21,9.062500,9.625000,8.812500,8.875000,6.527997,168800
1998-07-22,9.125000,9.125000,8.812500,8.875000,6.527997,46200
1998-07-23,8.625000,9.000000,8.531250,8.531250,6.275153,28400
1998-07-24,8.625000,8.625000,7.656250,8.500000,6.252163,56200
1998-07-27,8.000000,8.500000,7.750000,8.062500,5.930363,73400
1998-07-28,8.125000,8.125000,7.375000,7.750000,5.700504,30400
1998-07-29,7.750000,7.750000,7.156250,7.375000,5.424673,18800
1998-07-30,7.750000,8.500000,7.750000,8.437500,6.206193,16400
1998-07-31,8.250000,8.375000,8.125000,8.375000,6.160220,11000
1998-08-03,8.437500,8.437500,8.125000,8.125000,5.976332,1600
1998-08-04,8.187500,8.187500,7.812500,7.812500,5.746476,76200
1998-08-05,7.750000,8.187500,7.750000,7.937500,5.838418,8400
1998-08-06,7.750000,7.750000,7.562500,7.687500,5.654534,59800
1998-08-07,8.500000,8.500000,8.062500,8.187500,6.022307,7200
1998-08-10,8.687500,8.687500,8.062500,8.062500,5.930363,3800
1998-08-11,7.500000,8.562500,7.500000,7.843750,5.769461,9000
1998-08-12,8.000000,8.000000,7.375000,7.437500,5.470645,42400
1998-08-13,7.250000,7.375000,6.500000,6.812500,5.010929,85600
1998-08-14,7.062500,7.062500,6.656250,7.000000,5.148841,100800
1998-08-17,7.000000,7.062500,6.968750,7.000000,5.148841,22000
1998-08-18,7.000000,7.218750,7.000000,7.125000,5.240786,9000
1998-08-19,7.218750,7.312500,7.062500,7.187500,5.286756,112400
1998-08-20,7.437500,7.437500,7.062500,7.218750,5.309746,7800
1998-08-21,7.062500,7.187500,6.937500,7.062500,5.194813,9800
1998-08-24,7.312500,7.312500,7.062500,7.062500,5.194813,9400
1998-08-25,7.625000,8.375000,7.500000,7.812500,5.746476,71200
1998-08-26,7.812500,7.875000,7.625000,7.875000,5.792449,10200
1998-08-27,7.500000,7.812500,7.500000,7.812500,5.746476,2600
1998-08-28,7.125000,7.812500,7.125000,7.312500,5.378701,6800
1998-08-31,7.500000,7.750000,6.937500,6.937500,5.102869,35400
1998-09-01,7.000000,7.500000,6.875000,7.187500,5.286756,17200
1998-09-02,7.187500,7.437500,6.875000,7.000000,5.148841,30800
1998-09-03,6.937500,7.062500,6.750000,7.062500,5.194813,5200
1998-09-04,7.062500,7.312500,7.000000,7.187500,5.286756,60800
1998-09-08,7.187500,7.187500,6.937500,7.000000,5.148841,7000
1998-09-09,7.062500,7.125000,6.812500,6.937500,5.102869,12400
1998-09-10,7.000000,7.000000,6.937500,6.937500,5.102869,43200
1998-09-11,7.062500,7.062500,7.062500,7.062500,5.194813,400
1998-09-14,7.000000,7.000000,6.875000,6.875000,5.056899,28200
1998-09-15,7.062500,7.062500,6.937500,7.000000,5.148841,35800
1998-09-16,7.062500,7.062500,7.000000,7.000000,5.148841,27600
1998-09-17,7.125000,7.125000,6.875000,7.062500,5.194813,60000
1998-09-18,6.750000,7.000000,6.750000,6.937500,5.102869,17200
1998-09-21,7.000000,7.062500,6.625000,6.875000,5.056899,14800
1998-09-22,6.875000,6.875000,6.750000,6.875000,5.056899,5600
1998-09-23,7.000000,7.187500,6.968750,7.187500,5.286756,80800
1998-09-24,7.000000,7.312500,7.000000,7.250000,5.332729,16800
1998-09-25,7.000000,7.000000,7.000000,7.000000,5.148841,200
1998-09-28,7.125000,7.250000,7.125000,7.250000,5.332729,5200
1998-09-29,7.375000,7.375000,7.000000,7.000000,5.148841,14000
1998-09-30,7.000000,7.250000,7.000000,7.250000,5.332729,1200
1998-10-01,7.000000,7.000000,7.000000,7.000000,5.148841,3400
1998-10-02,7.437500,7.437500,7.250000,7.250000,5.332729,2200
1998-10-05,7.437500,7.437500,6.812500,7.000000,5.148841,12800
1998-10-06,7.000000,7.000000,6.812500,6.812500,5.010929,15000
1998-10-07,6.125000,6.875000,6.125000,6.187500,4.551209,30000
1998-10-08,6.062500,6.062500,5.375000,5.500000,4.045516,17600
1998-10-09,5.562500,5.812500,5.562500,5.750000,4.229406,6400
1998-10-12,5.875000,6.562500,5.875000,6.562500,4.827039,19200
1998-10-13,6.625000,7.125000,6.625000,6.687500,4.918984,21800
1998-10-14,6.625000,7.125000,6.562500,7.125000,5.240786,36400
1998-10-15,7.250000,7.250000,7.125000,7.250000,5.332729,17600
1998-10-16,7.312500,7.500000,7.062500,7.062500,5.194813,45600
1998-10-19,7.437500,8.375000,7.437500,8.312500,6.114247,37000
1998-10-20,8.375000,8.875000,8.375000,8.750000,6.436053,39800
1998-10-21,8.875000,9.375000,8.500000,9.281250,6.826812,26000
1998-10-22,10.187500,10.500000,9.687500,10.000000,7.355491,130000
1998-10-23,10.375000,10.562500,9.968750,10.125000,7.447434,45000
1998-10-26,10.500000,10.562500,10.125000,10.125000,7.447434,54200
1998-10-27,10.062500,10.250000,9.750000,9.937500,7.309521,33400
1998-10-28,9.375000,9.500000,8.750000,9.125000,6.711882,55800
1998-10-29,9.250000,9.812500,9.000000,9.625000,7.079659,39600
1998-10-30,9.937500,11.000000,9.875000,10.687500,7.861182,36400
1998-11-02,10.687500,11.468750,10.437500,11.156250,8.205973,32600
1998-11-03,11.375000,11.625000,11.218750,11.625000,8.550754,30200
1998-11-04,12.000000,12.312500,11.437500,12.000000,8.826590,17400
1998-11-05,11.875000,12.437500,11.750000,11.937500,8.780617,46600
1998-11-06,11.937500,13.187500,11.937500,13.000000,9.562135,23600
1998-11-09,13.937500,13.937500,12.937500,12.937500,9.516164,25800
1998-11-10,12.937500,13.375000,12.937500,13.000000,9.562135,14800
1998-11-11,13.375000,13.531250,12.875000,13.156250,9.677071,77400
1998-11-12,12.937500,13.093750,12.500000,12.937500,9.516164,16800
1998-11-13,13.000000,13.500000,13.000000,13.375000,9.837968,50800
1998-11-16,13.562500,13.687500,13.125000,13.125000,9.654078,47400
1998-11-17,12.875000,13.125000,12.250000,12.937500,9.516164,54800
1998-11-18,12.750000,13.312500,12.750000,12.781250,9.401232,23200
1998-11-19,12.750000,13.000000,12.125000,12.125000,8.918531,26800
1998-11-20,12.062500,12.125000,11.250000,11.750000,8.642698,32200
1998-11-23,11.500000,11.750000,11.500000,11.625000,8.550754,29200
1998-11-24,11.250000,12.375000,11.250000,12.375000,9.102419,28000
1998-11-25,12.250000,12.375000,12.250000,12.250000,9.010477,81400
1998-11-27,12.312500,12.375000,12.250000,12.312500,9.056445,23000
1998-11-30,12.375000,12.375000,11.750000,11.750000,8.642698,7600
1998-12-01,11.687500,12.000000,11.625000,11.812500,8.688670,5600
1998-12-02,11.812500,11.875000,11.687500,11.875000,8.734645,2600
1998-12-03,11.875000,11.875000,11.625000,11.625000,8.550754,36400
1998-12-04,11.812500,11.875000,11.515625,11.531250,8.481800,70800
1998-12-07,11.562500,11.750000,11.500000,11.500000,8.458813,101200
1998-12-08,11.437500,12.500000,11.437500,12.125000,8.918531,106000
1998-12-09,11.875000,12.437500,11.875000,12.437500,9.148389,21600
1998-12-10,12.687500,12.937500,12.312500,12.312500,9.056445,13800
1998-12-11,12.312500,12.500000,12.250000,12.250000,9.010477,4600
1998-12-14,12.062500,12.625000,12.062500,12.625000,9.286303,12200
