Date,Open,High,Low,Close,Adj Close,Volume
2024-01-24,5.55,6.1,3.28,3.44,3.44,3718500
2024-01-25,3.72,3.907,3.09,3.21,3.21,2431500
2024-01-26,3.34,3.74,3.33,3.46,3.46,2312700
2024-01-29,3.54,3.58,3.28,3.45,3.45,2739200
2024-01-30,3.41,3.44,3.06,3.15,3.15,2549800
2024-01-31,3.25,3.25,2.88,2.94,2.94,2547900
2024-02-01,3.0,3.05,2.61,2.67,2.67,2118300
2024-02-02,2.7,2.98,2.635,2.98,2.98,2043800
2024-02-05,3.1,3.45,3.03,3.14,3.14,2675300
2024-02-06,3.14,3.41,3.085,3.27,3.27,2322100
2024-02-07,3.36,3.48,3.3,3.43,3.43,1778800
2024-02-08,3.55,3.769,3.43,3.6,3.6,3729100
2024-02-09,3.9,3.96,3.61,3.75,3.75,3697300
2024-02-12,3.8,4.11,3.79,4.04,4.04,5241600
2024-02-13,3.84,3.88,3.58,3.67,3.67,2513700
2024-02-14,3.93,3.96,3.65,3.8,3.8,3525200
2024-02-15,3.86,4.08,3.41,3.62,3.62,3455200
2024-02-16,3.65,3.84,3.47,3.73,3.73,2037800
2024-02-20,3.84,3.84,3.44,3.545,3.545,1618300
2024-02-21,3.47,3.5,3.135,3.24,3.24,1402300
2024-02-22,3.35,3.39,3.12,3.235,3.235,1153100
2024-02-23,3.19,3.34,3.1,3.14,3.14,1326400
2024-02-26,3.27,3.42,3.11,3.34,3.34,5718700
2024-02-27,3.73,3.74,3.46,3.69,3.69,5364700
2024-02-28,3.99,4.24,3.75,3.83,3.83,8736200
2024-02-29,3.97,4.09,3.47,3.76,3.76,4291200
2024-03-01,3.74,3.92,3.56,3.75,3.75,2422200
2024-03-04,3.95,4.29,3.86,4.0,4.0,7295100
2024-03-05,3.85,4.05,3.63,3.64,3.64,3851300
2024-03-06,3.86,3.985,3.73,3.84,3.84,3475600
2024-03-07,4.05,4.11,3.86,4.04,4.04,4319700
2024-03-08,4.05,4.14,3.94,4.03,4.03,4838900
2024-03-11,4.15,4.22,3.67,3.71,3.71,7572000
2024-03-12,3.73,3.74,3.45,3.54,3.54,4214400
2024-03-13,3.46,3.54,3.185,3.32,3.32,6818400
2024-03-14,3.26,3.26,2.95,3.05,3.05,3679600
2024-03-15,3.13,3.51,2.981,3.42,3.42,7915500
2024-03-18,3.44,3.44,3.145,3.22,3.22,3969600
2024-03-19,3.13,3.19,3.03,3.08,3.08,5246100
2024-03-20,3.17,3.38,3.01,3.34,3.34,3376300
2024-03-21,3.39,3.54,3.245,3.47,3.47,3342100
2024-03-22,3.48,3.5,3.23,3.39,3.39,1592400
2024-03-25,3.48,3.56,3.37,3.38,3.38,3633900
2024-03-26,3.45,3.48,3.22,3.24,3.24,2343900
2024-03-27,3.34,3.42,3.2,3.37,3.37,2500800
2024-03-28,3.47,3.54,3.37,3.54,3.54,3689500
2024-04-01,3.59,3.62,3.47,3.53,3.53,2793200
2024-04-02,3.36,3.39,3.17,3.37,3.37,2100300
2024-04-03,3.32,3.535,3.265,3.46,3.46,1957100
2024-04-04,3.51,3.66,3.47,3.49,3.49,2436900
2024-04-05,3.4,3.555,3.372,3.45,3.45,1857200
2024-04-08,3.57,3.58,3.32,3.38,3.38,1564300
2024-04-09,3.34,3.355,3.13,3.17,3.17,2029300
2024-04-10,3.08,3.18,3.04,3.13,3.13,1556100
2024-04-11,3.14,3.165,3.0,3.0,3.0,1029800
2024-04-12,3.052,3.09,2.94,3.01,3.01,1665800
2024-04-15,3.0,3.11,2.77,2.83,2.83,2392500
2024-04-16,2.75,2.805,2.65,2.72,2.72,2609400
2024-04-17,2.76,2.8,2.61,2.7,2.7,2164200
2024-04-18,2.75,2.91,2.7,2.88,2.88,1657000
2024-04-19,2.93,3.1,2.86,3.1,3.1,2780900
2024-04-22,3.3,3.36,3.1,3.27,3.27,7754100
2024-04-23,3.24,3.51,3.22,3.5,3.5,2871800
2024-04-24,3.45,3.51,3.29,3.42,3.42,2665800
2024-04-25,3.36,3.52,3.28,3.46,3.46,3194800
2024-04-26,3.46,3.51,3.37,3.48,3.48,1265100
2024-04-29,3.5,3.507,3.16,3.17,3.17,1948300
2024-04-30,3.11,3.19,2.919,2.93,2.93,2254600
2024-05-01,2.91,3.14,2.88,3.0,3.0,1544300
2024-05-02,3.11,3.288,3.05,3.2,3.2,2095800
2024-05-03,3.26,3.39,3.21,3.35,3.35,1739400
2024-05-06,3.43,3.5,3.37,3.43,3.43,1524700
2024-05-07,3.47,3.47,3.3,3.38,3.38,1326300
2024-05-08,3.3,3.495,3.29,3.48,3.48,2223200
2024-05-09,3.65,3.93,3.51,3.9,3.9,10843000
2024-05-10,4.0,4.04,3.46,3.64,3.64,8204700
2024-05-13,3.77,3.78,3.6,3.635,3.635,2281600
2024-05-14,3.57,3.605,3.46,3.58,3.58,3043500
2024-05-15,3.7,3.85,3.58,3.83,3.83,3294800
2024-05-16,3.8,3.84,3.67,3.7,3.7,3115200
2024-05-17,3.73,3.9,3.67,3.695,3.695,3020900
2024-05-20,3.7,4.0,3.68,3.92,3.92,3034700
2024-05-21,3.88,4.05,3.85,4.04,4.04,4935700
2024-05-22,4.05,4.21,3.95,4.15,4.15,6016900
2024-05-23,4.2,4.29,3.993,4.17,4.17,5461400
2024-05-24,4.19,4.82,4.1,4.82,4.82,8918900
2024-05-28,4.93,5.15,4.815,4.96,4.96,8164300
2024-05-29,5.12,5.34,4.95,5.23,5.23,7067800
2024-05-30,5.3,5.34,4.82,4.89,4.89,5852900
2024-05-31,4.89,4.92,4.46,4.75,4.75,5653900
2024-06-03,4.95,5.01,4.74,4.87,4.87,2535200
2024-06-04,6.25,7.06,6.04,6.83,6.83,68790600
2024-06-05,6.9,7.27,6.28,7.15,7.15,18606600
2024-06-06,7.33,8.36,7.1,7.85,7.85,29395100
2024-06-07,7.79,8.41,7.69,7.78,7.78,16940400
2024-06-10,7.825,8.59,7.8,8.21,8.21,14320100
2024-06-11,8.1,8.755,7.92,8.71,8.71,13160200
2024-06-12,9.0,9.75,8.57,9.57,9.57,28291800
2024-06-13,9.95,10.7,9.33,9.85,9.85,23410600
2024-06-14,9.9,10.36,9.54,10.33,10.33,12753800
2024-06-17,10.43,10.512,9.58,9.69,9.69,17401700
2024-06-18,9.6,9.61,8.6,8.91,8.91,14558400
2024-06-20,9.04,9.45,8.76,9.09,9.09,9724300
2024-06-21,8.89,9.07,8.31,8.97,8.97,21885000
2024-06-24,8.83,9.25,8.58,8.73,8.73,14045500
2024-06-25,9.37,9.67,9.08,9.27,9.27,16294100
2024-06-26,9.483,10.17,9.47,9.95,9.95,24171000
2024-06-27,9.88,10.11,9.2,9.55,9.55,14159100
2024-06-28,9.71,9.71,9.0,9.3,9.3,34888400
2024-07-01,9.345,9.97,9.11,9.85,9.85,11372300
2024-07-02,9.79,10.5,9.65,10.26,10.26,14474200
2024-07-03,10.0,10.52,9.92,10.12,10.12,7274100
2024-07-05,9.505,10.45,9.46,10.29,10.29,9804100
2024-07-08,10.29,11.0,9.2,10.36,10.36,19997200
2024-07-09,10.35,10.62,9.36,9.56,9.56,13179200
2024-07-10,9.97,10.2,9.67,9.77,9.77,10552600
2024-07-11,10.03,10.2,9.23,9.71,9.71,12600600
2024-07-12,9.49,10.13,9.42,10.1,10.1,11664700
2024-07-15,10.8,11.27,10.56,11.01,11.01,19346800
2024-07-16,11.1,11.81,11.08,11.7,11.7,13766500
2024-07-17,11.47,12.25,10.79,11.215,11.215,17466700
2024-07-18,11.58,11.58,10.01,10.16,10.16,13604800
2024-07-19,10.2,10.55,9.72,10.39,10.39,12762700
2024-07-22,10.63,11.1,10.0,11.05,11.05,9812000
2024-07-23,10.8,11.286,10.68,10.92,10.92,6473700
2024-07-24,10.93,11.02,10.075,10.11,10.11,6542300
2024-07-25,10.06,10.15,9.38,9.41,9.41,11345000
2024-07-26,9.72,10.23,9.48,10.21,10.21,9420900
2024-07-29,10.52,10.83,9.53,9.56,9.56,9047400
2024-07-30,9.57,9.7,9.015,9.22,9.22,7754800
2024-07-31,9.7,10.16,9.5,9.75,9.75,13160500
2024-08-01,9.8,10.115,9.31,9.46,9.46,6085600
2024-08-02,8.95,9.17,8.77,8.89,8.89,7989000
2024-08-05,7.06,8.48,6.71,8.22,8.22,13855700
2024-08-06,9.27,9.87,8.402,9.71,9.71,15398700
2024-08-07,9.78,10.06,9.48,9.82,9.82,10240500
2024-08-08,9.73,10.42,9.15,10.14,10.14,10613700
2024-08-09,10.0,10.025,9.4,9.7,9.7,7541200
2024-08-12,9.59,10.005,9.41,9.47,9.47,4319000
2024-08-13,8.55,8.97,8.285,8.46,8.46,51250600
2024-08-14,8.94,9.11,8.64,8.8,8.8,31624000
2024-08-15,8.824,9.45,8.8,9.26,9.26,13316800
2024-08-16,9.25,10.1,9.22,10.09,10.09,13589300
2024-08-19,10.13,10.4,9.64,10.39,10.39,10589000
2024-08-20,10.28,10.61,9.895,10.14,10.14,10758300
