Date,Open,High,Low,Close,Adj Close,Volume
2021-03-26,19.242001,19.75,18.0,18.0,14.577277,2063000
2021-03-29,18.1,19.540001,18.0,18.110001,14.666362,785100
2021-03-30,18.469999,19.290001,18.110001,18.76,15.192762,690900
2021-03-31,19.209999,20.790001,18.93,19.790001,16.026907,2357000
2021-04-01,19.959999,20.25,19.799999,20.0,16.196974,393100
2021-04-05,20.690001,20.92,19.42,19.700001,15.954021,229700
2021-04-06,19.85,20.1,19.65,19.99,16.188875,232400
2021-04-07,20.23,20.23,19.639999,20.01,16.205072,190900
2021-04-08,20.049999,20.18,19.85,20.01,16.205072,189100
2021-04-09,20.18,20.18,19.950001,20.0,16.196974,149200
2021-04-12,20.08,20.08,19.200001,19.85,16.075499,255600
2021-04-13,19.879999,20.139999,19.620001,19.98,16.180777,246100
2021-04-14,19.9,20.129999,19.4,20.02,16.213171,292600
2021-04-15,20.15,20.200001,19.690001,20.0,16.196974,166300
2021-04-16,19.860001,20.219999,19.719999,20.0,16.196974,132200
2021-04-19,20.85,24.4,20.565001,23.34,18.901871,2616900
2021-04-20,23.57,24.848,19.629999,20.35,16.480423,1504000
2021-04-21,20.52,22.459999,20.5,21.15,17.1283,498300
2021-04-22,21.02,23.68,21.02,22.959999,18.594128,1203500
2021-04-23,22.959999,23.57,22.219999,22.959999,18.594128,233000
2021-04-26,23.0,25.569,22.959999,23.950001,19.395878,523300
2021-04-27,25.0,26.110001,24.879999,25.43,20.594452,615500
2021-04-28,25.360001,26.24,25.33,26.049999,21.09656,324900
2021-04-29,26.5,26.959999,23.451,25.5,20.651142,642000
2021-04-30,25.4,27.35,24.83,26.5,21.460991,630300
2021-05-03,25.700001,26.24,25.049999,26.049999,21.09656,260700
2021-05-04,25.690001,26.120001,24.879999,25.27,20.464878,286800
2021-05-05,25.309999,25.950001,24.148001,24.389999,19.752211,271900
2021-05-06,24.280001,24.379999,22.73,22.969999,18.602226,508500
2021-05-07,23.01,25.0,21.83,22.91,18.553635,438500
2021-05-10,22.91,23.1,20.440001,20.59,16.674786,377800
2021-05-11,19.9,20.98,19.0,20.530001,16.626196,386800
2021-05-12,20.530001,20.83,19.370001,19.48,15.775854,433400
2021-05-13,19.620001,20.697001,19.524,20.0,16.196974,1617800
2021-05-14,22.440001,25.34,20.83,24.540001,19.873688,1272000
2021-05-17,25.120001,29.0,23.059999,23.530001,19.05574,1727100
2021-05-18,24.0,25.610001,23.514999,24.84,20.116644,381400
2021-05-19,23.85,27.68,23.58,27.68,22.416613,1213800
2021-05-20,28.459999,29.0,27.34,28.4,22.999704,637700
2021-05-21,28.4,30.049999,28.120001,29.57,23.947226,1578200
2021-05-24,29.976999,30.0,26.65,28.26,22.886326,1345500
