Date,Open,High,Low,Close,Adj Close,Volume
1997-03-06,190.0,207.5,185.0,206.25,158.506943,81350
1997-03-07,207.5,237.5,205.0,237.5,182.523148,19425
1997-03-10,230.0,240.0,225.0,232.5,178.680557,11795
1997-03-11,240.0,255.0,232.5,242.5,186.365738,3245
1997-03-12,237.5,245.0,230.0,235.0,180.601852,5485
1997-03-13,242.5,242.5,230.0,240.0,184.444443,5015
1997-03-14,230.0,242.5,230.0,240.0,184.444443,315
1997-03-17,245.0,247.5,237.5,240.0,184.444443,7940
1997-03-18,237.5,245.0,237.5,245.0,188.287033,7090
1997-03-19,245.0,245.0,237.5,238.75,183.483795,1415
1997-03-20,237.5,242.5,237.5,242.5,186.365738,1565
1997-03-21,242.5,242.5,237.5,240.0,184.444443,330
1997-03-24,237.5,237.5,230.0,230.0,176.759262,3305
1997-03-25,230.0,230.0,225.0,230.0,176.759262,3115
1997-03-26,232.5,232.5,227.5,232.5,178.680557,4935
1997-03-27,232.5,232.5,227.5,227.5,174.837967,335
1997-03-31,225.0,232.5,222.5,222.5,170.995361,265
1997-04-01,222.5,232.5,222.5,232.5,178.680557,5655
1997-04-02,232.5,232.5,227.5,228.75,175.798615,380
1997-04-03,225.0,225.0,225.0,225.0,172.916672,35
1997-04-04,232.5,232.5,225.0,225.0,172.916672,90
1997-04-07,225.0,232.5,225.0,227.5,174.837967,160
1997-04-08,225.0,232.5,225.0,232.5,178.680557,65
1997-04-09,235.0,235.0,225.0,227.5,174.837967,1210
1997-04-10,225.0,235.0,222.5,222.5,170.995361,1180
1997-04-11,220.0,220.0,220.0,220.0,169.074066,270
1997-04-14,220.0,230.0,220.0,230.0,176.759262,265
1997-04-15,230.0,230.0,220.0,222.5,170.995361,1090
1997-04-16,225.0,232.5,225.0,230.0,176.759262,365
1997-04-17,230.0,230.0,225.0,225.0,172.916672,95
1997-04-18,225.0,225.0,225.0,225.0,172.916672,0
1997-04-21,225.0,230.0,222.5,222.5,170.995361,435
1997-04-22,222.5,225.0,222.5,222.5,170.995361,495
1997-04-23,222.5,227.5,222.5,225.0,172.916672,225
1997-04-24,222.5,222.5,222.5,222.5,170.995361,30
1997-04-25,220.0,230.0,220.0,230.0,176.759262,405
1997-04-28,232.5,232.5,227.5,232.5,178.680557,190
1997-04-29,222.5,222.5,222.5,222.5,170.995361,100
1997-04-30,222.5,227.5,220.0,227.5,174.837967,370
