Date,Open,High,Low,Close,Adj Close,Volume
1990-10-01,2.625,2.875,2.375,2.625,1.800835,267200
1990-10-02,2.625,2.75,2.625,2.625,1.800835,53000
1990-10-03,2.625,2.75,2.25,2.375,1.629327,759600
1990-10-04,2.25,2.25,2.1875,2.1875,1.500696,50400
1990-10-05,2.125,2.125,1.875,2.0625,1.414942,386800
1990-10-08,2.0625,2.125,2.0,2.0,1.372065,34200
1990-10-09,2.0,2.0625,2.0,2.0625,1.414942,3400
1990-10-10,2.0,2.0,1.625,1.6875,1.15768,60200
1990-10-11,1.6875,1.75,1.5625,1.625,1.114803,82000
1990-10-12,1.625,1.75,1.625,1.75,1.200557,25800
1990-10-15,1.75,1.75,1.6875,1.6875,1.15768,7800
1990-10-16,1.625,1.875,1.625,1.875,1.286311,63800
1990-10-17,1.9375,2.1875,1.9375,2.125,1.457819,54200
1990-10-18,2.1875,2.375,2.1875,2.375,1.629327,9400
1990-10-19,2.5,2.5625,2.25,2.25,1.543573,354200
1990-10-22,2.3125,2.3125,2.0,2.0,1.372065,97000
1990-10-23,1.9375,2.0,1.875,1.9375,1.329188,329400
1990-10-24,1.9375,1.9375,1.4375,1.6875,1.15768,192200
1990-10-25,1.75,1.75,1.6875,1.6875,1.15768,95000
1990-10-26,1.625,1.75,1.5625,1.5625,1.071926,182000
1990-10-29,1.5625,1.625,1.4375,1.625,1.114803,189000
1990-10-30,1.5625,1.5625,1.3125,1.375,0.943295,531000
1990-10-31,1.375,1.6875,1.375,1.625,1.114803,1050600
1990-11-01,1.5625,1.8125,1.5625,1.6875,1.15768,460600
1990-11-02,1.75,1.9375,1.6875,1.8125,1.243434,397600
1990-11-05,1.6875,1.9375,1.6875,1.9375,1.329188,335800
1990-11-06,1.9375,2.0,1.875,1.9375,1.329188,324400
1990-11-07,1.9375,1.9375,1.875,1.875,1.286311,476800
1990-11-08,1.875,1.875,1.75,1.8125,1.243434,359600
1990-11-09,1.75,1.9375,1.75,1.9375,1.329188,495600
1990-11-12,1.9375,2.125,1.9375,2.125,1.457819,550200
1990-11-13,2.0625,2.125,1.9375,2.0,1.372065,606600
1990-11-14,2.0,2.1875,2.0,2.1875,1.500696,286000
1990-11-15,2.0625,2.3125,2.0625,2.1875,1.500696,530200
1990-11-16,2.1875,2.25,2.125,2.125,1.457819,113000
1990-11-19,2.125,2.1875,2.0,2.0625,1.414942,334600
1990-11-20,2.0625,2.125,1.875,2.0,1.372065,648600
1990-11-21,1.9375,1.9375,1.8125,1.875,1.286311,466400
1990-11-23,1.9375,1.9375,1.8125,1.875,1.286311,19200
1990-11-26,1.875,1.875,1.75,1.75,1.200557,222800
1990-11-27,1.75,1.8125,1.6875,1.75,1.200557,232400
1990-11-28,1.75,1.8125,1.6875,1.8125,1.243434,635000
1990-11-29,1.8125,1.9375,1.75,1.9375,1.329188,319000
1990-11-30,1.875,2.1875,1.875,2.0625,1.414942,460600
1990-12-03,2.0625,2.25,2.0,2.25,1.543573,377800
1990-12-04,2.1875,2.375,2.125,2.25,1.543573,323200
1990-12-05,2.25,2.375,2.25,2.25,1.543573,544200
1990-12-06,2.25,2.25,2.0,2.0625,1.414942,178200
1990-12-07,2.125,2.125,1.875,2.0625,1.414942,312200
1990-12-10,2.0625,2.125,2.0,2.0625,1.414942,171400
1990-12-11,2.125,2.125,2.0,2.0625,1.414942,218200
1990-12-12,2.125,2.3125,2.0625,2.25,1.543573,224200
1990-12-13,2.3125,2.5625,2.25,2.375,1.629327,326000
1990-12-14,2.375,2.4375,2.1875,2.3125,1.58645,304600
