Date,Open,High,Low,Close,Adj Close,Volume
2023-11-30,4.99,5.97,4.19,4.44,4.44,1011700
2023-12-01,5.06,5.45,4.44,5.01,5.01,1672300
2023-12-04,4.33,4.8,4.33,4.8,4.8,253200
2023-12-05,4.28,5.0,4.212,4.94,4.94,173300
2023-12-06,4.69,5.0,4.65,4.95,4.95,102800
2023-12-07,4.85,4.95,4.5,4.94,4.94,80300
2023-12-08,4.69,5.193,4.61,4.95,4.95,192700
2023-12-11,4.86,4.95,4.61,4.95,4.95,52000
2023-12-12,4.84,4.95,4.79,4.89,4.89,46500
2023-12-13,4.92,4.92,4.66,4.69,4.69,47500
2023-12-14,4.84,4.94,4.61,4.9,4.9,50800
2023-12-15,4.88,5.08,4.7,5.0,5.0,56400
2023-12-18,4.91,5.041,4.72,4.82,4.82,16200
2023-12-19,4.97,4.97,4.69,4.93,4.93,104200
2023-12-20,4.81,5.21,4.81,5.05,5.05,88800
2023-12-21,5.1,5.1,4.81,4.927,4.927,43400
2023-12-22,4.92,5.11,4.81,5.0,5.0,11000
2023-12-26,4.99,5.09,4.93,5.0,5.0,4800
2023-12-27,5.03,5.03,4.906,4.98,4.98,8200
2023-12-28,4.98,5.09,4.89,5.09,5.09,7500
2023-12-29,4.95,5.12,4.95,5.06,5.06,9100
2024-01-02,5.04,5.05,4.98,5.01,5.01,4100
2024-01-03,5.08,5.64,5.08,5.38,5.38,106000
2024-01-04,5.135,5.51,5.135,5.32,5.32,16000
2024-01-05,5.05,5.33,4.855,4.985,4.985,48400
2024-01-08,5.1,5.361,5.05,5.05,5.05,12900
2024-01-09,5.14,5.14,4.966,5.12,5.12,16400
2024-01-10,5.01,5.061,4.86,4.87,4.87,14800
2024-01-11,4.99,5.025,4.8,4.82,4.82,26800
2024-01-12,5.0,5.01,4.85,4.86,4.86,11700
2024-01-16,4.96,5.035,4.86,4.87,4.87,7800
2024-01-17,4.87,5.06,4.84,4.88,4.88,11500
2024-01-18,4.95,5.215,4.95,5.2,5.2,13300
2024-01-19,5.3,5.3,5.224,5.224,5.224,2200
2024-01-22,5.26,5.26,5.068,5.07,5.07,1100
2024-01-23,5.07,5.78,5.07,5.569,5.569,62400
2024-01-24,5.555,6.75,5.5,6.2,6.2,109500
2024-01-25,6.56,6.79,6.3,6.3,6.3,37100
2024-01-26,6.35,6.85,6.299,6.505,6.505,54100
2024-01-29,6.75,6.8,6.03,6.05,6.05,17100
2024-01-30,5.779,6.25,5.63,5.89,5.89,14400
2024-01-31,6.0,6.11,5.921,5.921,5.921,5400
2024-02-01,6.05,6.25,6.05,6.18,6.18,1300
2024-02-02,5.985,6.395,5.985,6.07,6.07,15500
2024-02-05,6.01,6.15,6.01,6.15,6.15,2600
2024-02-06,6.012,7.954,6.012,7.35,7.35,61400
2024-02-07,7.38,7.84,7.377,7.521,7.521,4600
2024-02-08,7.41,7.86,7.0,7.18,7.18,12200
2024-02-09,7.21,7.5,7.14,7.5,7.5,4600
2024-02-12,7.73,7.95,7.11,7.17,7.17,2600
2024-02-13,7.61,8.045,7.1,8.0,8.0,19400
2024-02-14,7.97,8.858,7.97,8.695,8.695,37100
2024-02-15,8.16,9.53,7.5,8.4,8.4,42500
2024-02-16,8.56,8.56,7.93,8.05,8.05,14000
2024-02-20,8.05,9.13,8.0,8.87,8.87,37300
2024-02-21,9.22,9.32,8.65,8.65,8.65,18900
2024-02-22,8.519,9.02,8.01,8.02,8.02,45900
2024-02-23,8.1,8.52,8.1,8.44,8.44,5200
2024-02-26,8.44,8.8,8.27,8.45,8.45,6700
2024-02-27,8.683,8.8,8.02,8.27,8.27,17000
2024-02-28,8.261,8.47,8.04,8.32,8.32,24400
2024-02-29,8.542,8.578,8.12,8.12,8.12,3900
2024-03-01,8.26,8.26,8.26,8.26,8.26,1900
2024-03-04,8.29,8.506,8.18,8.19,8.19,4400
2024-03-05,8.2,8.7,8.07,8.385,8.385,4700
2024-03-06,8.15,8.364,8.072,8.35,8.35,16100
2024-03-07,8.67,8.9,8.51,8.885,8.885,11600
2024-03-08,8.93,9.19,8.815,9.0,9.0,9400
2024-03-11,9.0,9.285,9.0,9.23,9.23,3600
2024-03-12,9.15,10.41,9.15,9.425,9.425,27400
2024-03-13,9.235,9.73,9.105,9.4,9.4,5500
2024-03-14,9.77,9.77,8.1,8.79,8.79,10000
2024-03-15,9.563,9.563,8.4,8.68,8.68,8300
2024-03-18,8.92,8.98,8.55,8.55,8.55,7400
2024-03-19,8.93,8.98,8.56,8.98,8.98,4400
2024-03-20,9.24,9.24,8.82,8.82,8.82,8300
2024-03-21,9.2,9.2,8.3,8.75,8.75,9700
2024-03-22,8.5,9.18,8.5,9.18,9.18,5400
2024-03-25,8.915,8.915,8.34,8.36,8.36,6500
2024-03-26,8.665,8.665,8.19,8.575,8.575,1900
2024-03-27,9.01,9.01,8.39,8.686,8.686,2300
2024-03-28,8.49,8.82,8.48,8.786,8.786,5300
2024-04-01,8.69,8.82,8.305,8.345,8.345,5100
2024-04-02,8.35,8.7,7.31,7.746,7.746,11100
2024-04-03,7.77,8.6,7.77,8.13,8.13,13500
2024-04-04,9.0,9.0,8.12,8.12,8.12,1400
2024-04-05,7.965,7.97,7.965,7.97,7.97,1400
2024-04-08,7.64,8.005,7.64,7.69,7.69,1500
2024-04-09,7.69,7.69,7.69,7.69,7.69,800
2024-04-10,7.98,8.3,7.98,8.065,8.065,3900
2024-04-11,8.295,8.295,8.02,8.02,8.02,1500
2024-04-12,7.95,8.936,7.95,8.158,8.158,21100
2024-04-15,8.574,9.275,8.574,8.715,8.715,19100
2024-04-16,9.74,9.89,8.97,9.278,9.278,9200
2024-04-17,10.19,10.19,8.478,8.478,8.478,19700
2024-04-18,8.68,9.3,8.68,8.73,8.73,10300
2024-04-19,9.28,9.99,9.28,9.55,9.55,12200
2024-04-22,10.044,10.147,9.751,10.006,10.006,13100
2024-04-23,10.3,11.59,10.23,11.247,11.247,21300
2024-04-24,11.02,12.991,10.86,11.35,11.35,51700
2024-04-25,11.56,12.06,10.5,11.73,11.73,27800
2024-04-26,11.34,11.8,10.98,10.98,10.98,18600
2024-04-29,10.79,15.8,10.79,14.3,14.3,193200
2024-04-30,14.14,14.2,13.51,13.68,13.68,13200
2024-05-01,13.84,14.499,13.51,14.02,14.02,16200
2024-05-02,13.77,13.77,11.805,12.37,12.37,20100
2024-05-03,12.1,12.68,12.05,12.64,12.64,3700
2024-05-06,12.06,13.7,10.85,12.7,12.7,64800
2024-05-07,12.19,13.425,11.82,12.18,12.18,47700
2024-05-08,11.84,12.738,11.832,12.61,12.61,41200
2024-05-09,12.85,12.99,12.501,12.501,12.501,4200
2024-05-10,12.7,13.77,12.4,13.435,13.435,43500
2024-05-13,13.4,15.18,13.4,14.76,14.76,39200
2024-05-14,14.77,15.258,14.13,14.965,14.965,31400
2024-05-15,15.1,15.14,12.911,13.29,13.29,22900
2024-05-16,13.29,14.05,12.86,12.86,12.86,22200
2024-05-17,13.06,13.06,12.5,13.0,13.0,3600
2024-05-20,12.82,13.441,11.5,12.24,12.24,12000
2024-05-21,12.28,13.015,12.01,12.59,12.59,28900
2024-05-22,13.4,13.5,12.332,12.332,12.332,7100
2024-05-23,12.5,12.77,12.0,12.0,12.0,5200
2024-05-24,12.6,12.6,12.29,12.3,12.3,4300
2024-05-28,12.52,12.875,12.136,12.875,12.875,8300
2024-05-29,12.2,12.5,11.755,12.5,12.5,13800
2024-05-30,12.08,12.201,12.0,12.16,12.16,6000
2024-05-31,12.18,12.19,11.825,12.14,12.14,4000
2024-06-03,11.94,11.94,10.85,11.49,11.49,1500
2024-06-04,11.42,11.42,9.58,10.33,10.33,13500
2024-06-05,10.894,10.894,9.566,10.61,10.61,19700
2024-06-06,10.5,10.7,9.52,10.56,10.56,1900
2024-06-07,10.6,12.375,10.405,12.15,12.15,17400
2024-06-10,12.26,12.26,11.95,11.99,11.99,700
2024-06-11,12.119,13.48,12.049,13.48,13.48,15000
2024-06-12,14.29,14.93,12.46,13.075,13.075,25900
2024-06-13,12.52,12.6,12.52,12.6,12.6,800
2024-06-14,13.12,13.12,11.091,12.57,12.57,15800
2024-06-17,13.0,13.98,12.51,12.87,12.87,25500
2024-06-18,12.63,12.63,12.51,12.51,12.51,1300
2024-06-20,12.5,12.896,12.2,12.2,12.2,5300
2024-06-21,12.0,12.4,12.0,12.0,12.0,3800
2024-06-24,11.79,12.0,10.07,11.37,11.37,8200
2024-06-25,11.67,12.47,11.515,12.47,12.47,2900
2024-06-26,11.9,11.9,11.9,11.9,11.9,500
2024-06-27,12.461,13.471,12.44,13.32,13.32,2500
2024-06-28,11.95,14.208,11.95,14.208,14.208,38500
2024-07-01,14.0,16.4,13.223,16.379999,16.379999,41800
2024-07-02,17.4,17.68,15.51,16.316999,16.316999,28600
2024-07-03,15.54,17.0,14.38,14.72,14.72,18000
2024-07-05,14.8,16.322001,13.51,13.55,13.55,111000
2024-07-08,12.85,14.312,12.85,13.92,13.92,51000
2024-07-09,14.25,15.08,13.32,13.975,13.975,22100
2024-07-10,13.8,15.0,13.105,14.2,14.2,48900
2024-07-11,13.9,15.052,13.38,13.395,13.395,74400
2024-07-12,13.545,14.61,13.41,14.54,14.54,36100
2024-07-15,14.77,14.98,12.51,13.47,13.47,78200
2024-07-16,13.27,14.4,13.094,14.01,14.01,45400
2024-07-17,13.7,14.3,13.355,14.05,14.05,22300
2024-07-18,13.52,14.365,12.91,13.89,13.89,76600
2024-07-19,13.89,14.0,13.06,13.591,13.591,26500
2024-07-22,13.505,14.0,12.51,13.55,13.55,58600
2024-07-23,13.27,14.23,12.0,12.151,12.151,94300
2024-07-24,12.725,13.3,10.37,11.02,11.02,71100
2024-07-25,11.5,11.89,11.41,11.88,11.88,9400
2024-07-26,11.81,13.7,11.235,12.785,12.785,95600
2024-07-29,13.07,13.98,12.2,12.2,12.2,22800
2024-07-30,12.28,13.5,10.84,12.921,12.921,98000
2024-07-31,12.605,15.484,11.99,14.02,14.02,85400
2024-08-01,13.99,14.941,13.01,13.22,13.22,16200
2024-08-02,13.55,14.5,12.317,13.14,13.14,26500
2024-08-05,12.48,13.67,11.11,13.02,13.02,69400
2024-08-06,13.608,14.49,13.09,13.95,13.95,31100
2024-08-07,13.95,15.38,13.1,14.47,14.47,517400
2024-08-08,14.07,14.34,9.16,10.2,10.2,301600
2024-08-09,10.24,11.29,8.21,8.46,8.46,86400
2024-08-12,7.44,7.44,1.99,4.31,4.31,786800
2024-08-13,4.26,6.4,3.81,6.0,6.0,362800
2024-08-14,5.99,7.05,4.145,4.41,4.41,191900
2024-08-15,4.42,5.49,4.42,4.99,4.99,188600
2024-08-16,4.89,6.75,4.89,6.5,6.5,169300
2024-08-19,6.5,7.79,5.785,6.17,6.17,118000
2024-08-20,6.16,6.16,5.56,5.79,5.79,96300
2024-08-21,5.75,5.88,5.311,5.42,5.42,120300
