Date,Open,High,Low,Close,Adj Close,Volume
1980-06-18,0.0,1.111111,0.962963,0.962963,0.614353,4050
1980-06-19,0.0,1.185185,1.037037,1.037037,0.661611,11475
1980-06-20,0.0,1.259259,1.111111,1.111111,0.708869,9450
1980-06-23,0.0,1.407407,1.259259,1.259259,0.803384,9450
1980-06-24,0.0,1.407407,1.259259,1.259259,0.803384,8775
1980-06-25,0.0,1.37037,1.222222,1.222222,0.779755,6750
1980-06-26,0.0,1.407407,1.259259,1.259259,0.803384,21600
1980-06-27,0.0,1.444444,1.296296,1.296296,0.827013,13500
1980-06-30,0.0,1.481481,1.333333,1.333333,0.850642,3375
1980-07-01,0.0,1.481481,1.333333,1.333333,0.850642,8775
1980-07-02,0.0,1.740741,1.592593,1.592593,1.016045,30375
1980-07-03,0.0,1.851852,1.62963,1.62963,1.039674,10125
1980-07-07,0.0,1.703704,1.555556,1.555556,0.992416,4050
1980-07-08,0.0,1.555556,1.407407,1.407407,0.8979,9450
1980-07-09,0.0,1.62963,1.407407,1.407407,0.8979,9450
1980-07-10,1.407407,1.407407,1.407407,1.407407,0.8979,0
1980-07-11,0.0,1.62963,1.481481,1.481481,0.945158,3375
1980-07-14,0.0,1.62963,1.481481,1.481481,0.945158,8775
1980-07-15,1.481481,1.481481,1.481481,1.481481,0.945158,0
1980-07-16,1.481481,1.481481,1.481481,1.481481,0.945158,0
1980-07-17,0.0,1.62963,1.444444,1.444444,0.921529,2025
1980-07-18,1.444444,1.444444,1.444444,1.444444,0.921529,0
1980-07-21,0.0,1.703704,1.518519,1.518519,0.968787,11475
1980-07-22,0.0,1.777778,1.555556,1.555556,0.992416,8775
1980-07-23,0.0,1.777778,1.592593,1.592593,1.016045,6075
1980-07-24,0.0,1.777778,1.592593,1.592593,1.016045,7425
1980-07-25,0.0,1.777778,1.592593,1.592593,1.016045,2025
1980-07-28,0.0,1.740741,1.555556,1.555556,0.992416,2700
1980-07-29,0.0,1.851852,1.62963,1.62963,1.039674,22950
1980-07-30,0.0,1.851852,1.62963,1.62963,1.039674,5400
1980-07-31,0.0,1.851852,1.62963,1.62963,1.039674,14175
1980-08-01,0.0,1.851852,1.703704,1.703704,1.086932,8100
1980-08-04,0.0,1.925926,1.777778,1.777778,1.13419,7425
1980-08-05,0.0,1.925926,1.703704,1.703704,1.086932,7425
1980-08-06,1.703704,1.703704,1.703704,1.703704,1.086932,0
1980-08-07,0.0,1.925926,1.703704,1.703704,1.086932,4050
1980-08-08,1.703704,1.703704,1.703704,1.703704,1.086932,0
1980-08-11,0.0,1.925926,1.703704,1.703704,1.086932,18225
