Date,Open,High,Low,Close,Adj Close,Volume
1987-07-22,0.0,1.407407,1.37037,1.37037,1.209527,2284875
1987-07-23,0.0,1.407407,1.37037,1.37037,1.209527,654750
1987-07-24,0.0,1.407407,1.37037,1.37037,1.209527,93825
1987-07-27,0.0,1.407407,1.37037,1.37037,1.209527,192375
1987-07-28,0.0,1.407407,1.37037,1.37037,1.209527,91125
1987-07-29,0.0,1.407407,1.333333,1.333333,1.176837,420525
1987-07-30,0.0,1.407407,1.333333,1.333333,1.176837,334800
1987-07-31,0.0,1.37037,1.333333,1.333333,1.176837,33075
1987-08-03,0.0,1.37037,1.296296,1.296296,1.144147,211275
1987-08-04,0.0,1.333333,1.259259,1.259259,1.111457,343575
1987-08-05,0.0,1.333333,1.259259,1.259259,1.111457,9450
1987-08-06,0.0,1.37037,1.259259,1.259259,1.111457,9450
1987-08-07,0.0,1.37037,1.259259,1.259259,1.111457,8100
1987-08-10,0.0,1.407407,1.333333,1.333333,1.176837,151200
1987-08-11,0.0,1.444444,1.37037,1.37037,1.209527,37125
1987-08-12,0.0,1.444444,1.407407,1.407407,1.242217,33750
1987-08-13,0.0,1.407407,1.37037,1.37037,1.209527,21600
1987-08-14,0.0,1.444444,1.37037,1.37037,1.209527,16875
1987-08-17,0.0,1.444444,1.37037,1.37037,1.209527,24975
1987-08-18,0.0,1.444444,1.37037,1.37037,1.209527,10800
1987-08-19,0.0,1.444444,1.37037,1.37037,1.209527,36450
1987-08-20,0.0,1.407407,1.37037,1.37037,1.209527,14175
1987-08-21,0.0,1.407407,1.37037,1.37037,1.209527,22275
1987-08-24,0.0,1.407407,1.37037,1.37037,1.209527,11475
1987-08-25,0.0,1.407407,1.37037,1.37037,1.209527,20250
1987-08-26,0.0,1.407407,1.37037,1.37037,1.209527,34425
1987-08-27,0.0,1.407407,1.37037,1.37037,1.209527,7425
1987-08-28,0.0,1.481481,1.407407,1.407407,1.242217,30375
1987-08-31,0.0,1.555556,1.444444,1.444444,1.274907,72225
1987-09-01,0.0,1.555556,1.444444,1.444444,1.274907,16200
1987-09-02,0.0,1.518519,1.444444,1.444444,1.274907,79650
1987-09-03,0.0,1.555556,1.481481,1.481481,1.307596,6750
1987-09-04,0.0,1.592593,1.481481,1.481481,1.307596,418500
1987-09-08,0.0,1.592593,1.481481,1.481481,1.307596,43875
1987-09-09,0.0,1.592593,1.481481,1.481481,1.307596,8100
1987-09-10,0.0,1.592593,1.481481,1.481481,1.307596,105975
1987-09-11,0.0,1.592593,1.481481,1.481481,1.307596,8775
1987-09-14,0.0,1.592593,1.481481,1.481481,1.307596,11475
1987-09-15,0.0,1.592593,1.481481,1.481481,1.307596,47250
1987-09-16,0.0,1.62963,1.555556,1.555556,1.372977,150525
1987-09-17,0.0,1.62963,1.555556,1.555556,1.372977,120825
1987-09-18,1.555556,1.555556,1.555556,1.555556,1.372977,0
1987-09-21,0.0,1.555556,1.444444,1.444444,1.274907,112050
1987-09-22,0.0,1.518519,1.407407,1.407407,1.242217,58725
1987-09-23,0.0,1.518519,1.407407,1.407407,1.242217,8775
1987-09-24,0.0,1.518519,1.407407,1.407407,1.242217,15525
1987-09-25,1.407407,1.407407,1.407407,1.407407,1.242217,0
1987-09-28,0.0,1.518519,1.444444,1.444444,1.274907,23625
1987-09-29,0.0,1.518519,1.481481,1.481481,1.307596,12825
1987-09-30,1.481481,1.481481,1.481481,1.481481,1.307596,0
1987-10-01,0.0,1.518519,1.481481,1.481481,1.307596,7425
1987-10-02,0.0,1.518519,1.481481,1.481481,1.307596,8775
1987-10-05,0.0,1.555556,1.481481,1.481481,1.307596,6750
1987-10-06,0.0,1.555556,1.481481,1.481481,1.307596,20250
1987-10-07,0.0,1.555556,1.481481,1.481481,1.307596,28350
1987-10-08,0.0,1.555556,1.481481,1.481481,1.307596,41850
1987-10-09,0.0,1.555556,1.481481,1.481481,1.307596,48600
1987-10-12,0.0,1.555556,1.518519,1.518519,1.340288,14850
1987-10-13,0.0,1.555556,1.481481,1.481481,1.307596,94500
1987-10-14,0.0,1.555556,1.481481,1.481481,1.307596,33750
1987-10-15,0.0,1.518519,1.407407,1.407407,1.242217,8775
1987-10-16,1.407407,1.407407,1.407407,1.407407,1.242217,0
1987-10-19,0.0,1.333333,1.296296,1.296296,1.144147,49950
1987-10-20,1.296296,1.296296,1.296296,1.296296,1.144147,0
1987-10-21,0.0,1.296296,1.185185,1.185185,1.046077,37800
1987-10-22,0.0,1.296296,1.185185,1.185185,1.046077,1350
1987-10-23,0.0,1.185185,1.074074,1.074074,0.948008,33075
1987-10-26,0.0,1.037037,0.925926,0.925926,0.817248,21600
1987-10-27,0.0,0.925926,0.814815,0.814815,0.719179,6750
1987-10-28,0.0,0.703704,0.592593,0.592593,0.523039,43875
1987-10-29,0.0,0.703704,0.555556,0.555556,0.490349,122175
1987-10-30,0.0,1.037037,0.888889,0.888889,0.784558,16200
1987-11-02,0.0,0.962963,0.814815,0.814815,0.719179,35100
1987-11-03,0.0,0.962963,0.814815,0.814815,0.719179,8100
1987-11-04,0.0,0.962963,0.814815,0.814815,0.719179,2025
1987-11-05,0.0,0.962963,0.814815,0.814815,0.719179,17550
1987-11-06,0.0,0.962963,0.814815,0.814815,0.719179,6750
1987-11-09,0.814815,0.814815,0.814815,0.814815,0.719179,0
1987-11-10,0.814815,0.814815,0.814815,0.814815,0.719179,0
1987-11-11,0.0,0.888889,0.777778,0.777778,0.686489,87075
1987-11-12,0.0,0.962963,0.851852,0.851852,0.751869,81000
1987-11-13,0.851852,0.851852,0.851852,0.851852,0.751869,0
1987-11-16,0.0,0.925926,0.814815,0.814815,0.719179,675
1987-11-17,0.814815,0.814815,0.814815,0.814815,0.719179,0
1987-11-18,0.0,0.888889,0.740741,0.740741,0.653799,675
1987-11-19,0.0,0.888889,0.740741,0.740741,0.653799,5400
1987-11-20,0.0,0.740741,0.592593,0.592593,0.523039,140400
1987-11-23,0.0,0.740741,0.592593,0.592593,0.523039,12825
1987-11-24,0.0,0.703704,0.592593,0.592593,0.523039,274725
1987-11-25,0.0,0.740741,0.592593,0.592593,0.523039,3375
1987-11-27,0.0,0.777778,0.62963,0.62963,0.555729,228825
1987-11-30,0.0,0.777778,0.62963,0.62963,0.555729,52650
1987-12-01,0.0,0.777778,0.62963,0.62963,0.555729,118125
1987-12-02,0.0,0.777778,0.62963,0.62963,0.555729,675
1987-12-03,0.62963,0.62963,0.62963,0.62963,0.555729,0
1987-12-04,0.0,0.777778,0.62963,0.62963,0.555729,20250
1987-12-07,0.62963,0.62963,0.62963,0.62963,0.555729,0
1987-12-08,0.0,0.777778,0.62963,0.62963,0.555729,13500
1987-12-09,0.0,0.740741,0.62963,0.62963,0.555729,4050
1987-12-10,0.62963,0.62963,0.62963,0.62963,0.555729,0
1987-12-11,0.62963,0.62963,0.62963,0.62963,0.555729,0
1987-12-14,0.0,0.740741,0.62963,0.62963,0.555729,33750
1987-12-15,0.0,0.814815,0.666667,0.666667,0.588419,68850
1987-12-16,0.0,0.814815,0.666667,0.666667,0.588419,6750
1987-12-17,0.0,0.851852,0.703704,0.703704,0.621109,67500
1987-12-18,0.0,0.851852,0.703704,0.703704,0.621109,23625
1987-12-21,0.0,0.851852,0.703704,0.703704,0.621109,1350
1987-12-22,0.0,0.851852,0.703704,0.703704,0.621109,22950
1987-12-23,0.0,0.851852,0.703704,0.703704,0.621109,177525
1987-12-24,0.0,0.851852,0.703704,0.703704,0.621109,1350
1987-12-28,0.0,0.814815,0.703704,0.703704,0.621109,173475
1987-12-29,0.0,0.814815,0.703704,0.703704,0.621109,173475
1987-12-30,0.0,0.814815,0.703704,0.703704,0.621109,35775
1987-12-31,0.0,0.851852,0.703704,0.703704,0.621109,74250
1988-01-04,0.0,0.851852,0.703704,0.703704,0.621109,16200
1988-01-05,0.0,0.851852,0.703704,0.703704,0.621109,18900
1988-01-06,0.0,0.851852,0.703704,0.703704,0.621109,3375
1988-01-07,0.0,0.851852,0.703704,0.703704,0.621109,20250
1988-01-08,0.0,0.851852,0.703704,0.703704,0.621109,77625
1988-01-11,0.0,0.851852,0.703704,0.703704,0.621109,11475
1988-01-12,0.703704,0.703704,0.703704,0.703704,0.621109,0
1988-01-13,0.0,0.851852,0.703704,0.703704,0.621109,6750
1988-01-14,0.0,0.851852,0.740741,0.740741,0.653799,6750
1988-01-15,0.0,0.888889,0.777778,0.777778,0.686489,6750
1988-01-18,0.777778,0.777778,0.777778,0.777778,0.686489,0
1988-01-19,0.0,0.962963,0.814815,0.814815,0.719179,30375
1988-01-20,0.0,0.925926,0.814815,0.814815,0.719179,3375
1988-01-21,0.814815,0.814815,0.814815,0.814815,0.719179,0
1988-01-22,0.0,0.888889,0.814815,0.814815,0.719179,355725
1988-01-25,0.0,0.888889,0.814815,0.814815,0.719179,33750
1988-01-26,0.0,0.888889,0.814815,0.814815,0.719179,6750
1988-01-27,0.814815,0.814815,0.814815,0.814815,0.719179,0
1988-01-28,0.0,0.814815,0.740741,0.740741,0.653799,283500
1988-01-29,0.0,0.851852,0.740741,0.740741,0.653799,30375
1988-02-01,0.0,0.851852,0.703704,0.703704,0.621109,144450
1988-02-02,0.703704,0.703704,0.703704,0.703704,0.621109,0
1988-02-03,0.703704,0.703704,0.703704,0.703704,0.621109,0
1988-02-04,0.703704,0.703704,0.703704,0.703704,0.621109,0
1988-02-05,0.0,0.777778,0.703704,0.703704,0.621109,171450
1988-02-08,0.0,0.777778,0.703704,0.703704,0.621109,1350
1988-02-09,0.703704,0.703704,0.703704,0.703704,0.621109,0
1988-02-10,0.703704,0.703704,0.703704,0.703704,0.621109,0
1988-02-11,0.703704,0.703704,0.703704,0.703704,0.621109,0
1988-02-12,0.0,0.851852,0.703704,0.703704,0.621109,224100
1988-02-16,0.0,0.851852,0.703704,0.703704,0.621109,675
