Date,Open,High,Low,Close,Adj Close,Volume
1994-03-18,1.436511,1.436511,1.342313,1.365863,1.365863,20359365
1994-03-21,1.342313,1.389412,1.342313,1.342313,1.342313,3259112
1994-03-22,1.318764,1.365863,1.318764,1.318764,1.318764,1302583
1994-03-23,1.318764,1.365863,1.318764,1.318764,1.318764,814247
1994-03-24,1.318764,1.342313,1.295215,1.295215,1.295215,1590277
1994-03-25,1.295215,1.342313,1.295215,1.306989,1.306989,35033
1994-03-28,1.295215,1.318764,1.295215,1.295215,1.295215,464981
1994-03-29,1.295215,1.295215,1.271665,1.271665,1.271665,2664616
1994-03-30,1.271665,1.271665,1.201017,1.201017,1.201017,550970
1994-03-31,1.201017,1.201017,1.177468,1.177468,1.177468,179410
1994-04-04,1.153919,1.153919,1.130369,1.130369,1.130369,66881
1994-04-05,1.165693,1.165693,1.130369,1.130369,1.130369,333342
1994-04-06,1.153919,1.153919,1.130369,1.130369,1.130369,362006
1994-04-07,1.130369,1.153919,1.130369,1.153919,1.153919,37156
1994-04-08,1.153919,1.165693,1.130369,1.130369,1.130369,373683
1994-04-11,1.130369,1.153919,1.130369,1.153919,1.153919,164548
1994-04-12,1.201017,1.248116,1.201017,1.201017,1.201017,575387
1994-04-13,1.224567,1.248116,1.177468,1.224567,1.224567,3916242
1994-04-14,1.201017,1.224567,1.177468,1.177468,1.177468,180472
1994-04-15,1.224567,1.224567,1.177468,1.201017,1.201017,45649
1994-04-18,1.177468,1.212792,1.153919,1.153919,1.153919,156055
1994-04-19,1.130369,1.130369,1.012622,1.036172,1.036172,132700
1994-04-20,1.036172,1.036172,0.824228,0.90665,0.90665,822740
1994-04-21,0.894876,0.941974,0.871326,0.894876,0.894876,336527
1994-04-22,0.918425,0.918425,0.871326,0.918425,0.918425,597681
1994-04-25,0.918425,0.941974,0.918425,0.941974,0.941974,32910
1994-04-26,1.012622,1.036172,1.000848,1.036172,1.036172,132700
1994-04-28,0.989073,1.036172,0.989073,1.036172,1.036172,6370
1994-04-29,1.059721,1.059721,1.012622,1.036172,1.036172,53080
1994-05-02,1.059721,1.248116,1.036172,1.130369,1.130369,442687
1994-05-03,1.201017,1.224567,1.177468,1.224567,1.224567,239922
1994-05-04,1.201017,1.318764,1.201017,1.295215,1.295215,424640
1994-05-05,1.318764,1.318764,1.271665,1.318764,1.318764,180472
1994-05-06,1.248116,1.248116,1.153919,1.201017,1.201017,505322
1994-05-09,1.201017,1.224567,1.130369,1.130369,1.130369,989411
1994-05-10,1.130369,1.177468,1.130369,1.177468,1.177468,74312
1994-05-11,1.177468,1.177468,1.153919,1.153919,1.153919,21232
1994-05-12,1.130369,1.130369,1.130369,1.130369,1.130369,28663
1994-05-13,1.177468,1.201017,1.130369,1.177468,1.177468,337589
1994-05-16,1.142144,1.177468,1.10682,1.130369,1.130369,971364
1994-05-17,1.177468,1.201017,1.153919,1.171581,1.171581,484090
1994-05-18,1.153919,1.177468,1.130369,1.130369,1.130369,922530
1994-05-19,1.177468,1.177468,1.130369,1.130369,1.130369,42464
1994-05-20,1.130369,1.130369,1.130369,1.130369,1.130369,20170
1994-05-23,1.177468,1.177468,1.130369,1.153919,1.153919,372622
1994-05-24,1.130369,1.177468,1.130369,1.177468,1.177468,392792
1994-05-25,1.177468,1.177468,1.083271,1.130369,1.130369,131638
1994-05-26,1.10682,1.153919,1.10682,1.130369,1.130369,98729
1994-05-27,1.153919,1.153919,1.089158,1.118595,1.118595,44587
1994-05-31,1.083271,1.130369,1.083271,1.130369,1.130369,39279
1994-06-01,1.083271,1.083271,1.000848,1.012622,1.012622,468166
1994-06-02,1.012622,1.036172,1.012622,1.012622,1.012622,80682
1994-06-03,1.059721,1.059721,0.99496,1.012622,1.012622,138008
1994-06-06,1.059721,1.059721,0.989073,0.989073,0.989073,63696
1994-06-07,1.036172,1.036172,0.989073,0.989073,0.989073,10616
1994-06-08,1.059721,1.059721,0.989073,0.989073,0.989073,92359
1994-06-09,1.000848,1.083271,0.989073,1.083271,1.083271,2036149
1994-06-10,1.083271,1.130369,1.083271,1.10682,1.10682,675178
1994-06-13,1.083271,1.095045,1.083271,1.083271,1.083271,217628
1994-06-14,1.10682,1.153919,1.10682,1.10682,1.10682,94482
1994-06-15,1.153919,1.153919,1.118595,1.130369,1.130369,72189
1994-06-16,1.118595,1.153919,1.118595,1.153919,1.153919,41402
1994-06-17,1.118595,1.153919,1.10682,1.153919,1.153919,13801
1994-06-20,1.10682,1.153919,1.10682,1.153919,1.153919,31848
1994-06-21,1.10682,1.10682,1.036172,1.036172,1.036172,222936
1994-06-22,1.047946,1.083271,1.036172,1.083271,1.083271,55203
1994-06-23,1.036172,1.036172,0.989073,0.989073,0.989073,53080
1994-06-24,0.965524,0.965524,0.918425,0.965524,0.965524,185780
1994-06-27,0.918425,0.947862,0.824228,0.824228,0.824228,740997
1994-06-28,0.871326,0.883101,0.847777,0.871326,0.871326,6853690
1994-06-29,0.871326,0.953749,0.847777,0.918425,0.918425,727196
1994-06-30,0.941974,0.941974,0.883101,0.883101,0.883101,322726
1994-07-01,0.918425,0.918425,0.871326,0.894876,0.894876,40341
1994-07-05,0.894876,0.918425,0.894876,0.918425,0.918425,90236
1994-07-06,0.9302,0.941974,0.894876,0.941974,0.941974,566894
1994-07-07,0.941974,0.989073,0.918425,0.977298,0.977298,314234
1994-07-08,0.989073,0.989073,0.941974,0.941974,0.941974,2123
1994-07-11,0.941974,0.941974,0.941974,0.941974,0.941974,5308
1994-07-12,0.989073,0.989073,0.941974,0.965524,0.965524,214443
1994-07-13,0.965524,0.989073,0.965524,0.977298,0.977298,113591
1994-07-14,0.989073,0.989073,0.936087,0.965524,0.965524,855650
1994-07-15,0.965524,1.036172,0.965524,1.024397,1.024397,575387
1994-07-18,1.059721,1.10682,1.012622,1.059721,1.059721,687917
1994-07-19,1.036172,1.036172,0.965524,1.012622,1.012622,303618
1994-07-20,0.965524,1.036172,0.965524,1.036172,1.036172,7431
1994-07-21,1.036172,1.036172,0.989073,1.036172,1.036172,69004
1994-07-22,1.036172,1.059721,1.036172,1.036172,1.036172,111468
1994-07-25,1.059721,1.059721,1.012622,1.059721,1.059721,46710
1994-07-26,1.059721,1.083271,1.036172,1.047946,1.047946,785584
1994-07-27,1.083271,1.083271,1.036172,1.047946,1.047946,76435
1994-07-28,1.036172,1.059721,1.012622,1.059721,1.059721,102975
1994-07-29,1.012622,1.059721,1.012622,1.012622,1.012622,375806
1994-08-01,1.036172,1.036172,0.977298,0.989073,0.989073,71127
1994-08-02,0.965524,0.989073,0.965524,0.965524,0.965524,648638
1994-08-03,1.012622,1.012622,0.965524,0.965524,0.965524,33971
1994-08-04,0.965524,0.965524,0.965524,0.965524,0.965524,0
1994-08-05,0.965524,0.965524,0.965524,0.965524,0.965524,32910
1994-08-08,0.965524,0.965524,0.871326,0.871326,0.871326,745243
1994-08-09,0.871326,0.871326,0.847777,0.847777,0.847777,15924
