Date,Open,High,Low,Close,Adj Close,Volume
1998-05-28,15.5,16.625,15.25,15.9375,12.468728,2494300
1998-05-29,15.875,16.125,15.25,15.4375,12.07755,955400
1998-06-01,15.5,15.875,15.375,15.375,12.028653,207000
1998-06-02,15.5,15.75,15.25,15.375,12.028653,260700
1998-06-03,15.375,15.5,15.375,15.375,12.028653,85300
1998-06-04,15.5,15.5,15.125,15.25,11.930859,271100
1998-06-05,15.25,15.375,15.25,15.3125,11.979754,149400
1998-06-08,15.25,15.375,15.125,15.1875,11.881963,127100
1998-06-09,15.25,17.5,15.125,16.5,12.908798,230600
1998-06-10,16.5,17.0,16.375,16.8125,13.153284,171100
1998-06-11,17.0,17.125,15.875,16.0,12.517623,54700
1998-06-12,16.25,16.25,15.375,15.75,12.322035,75500
1998-06-15,15.875,16.0,15.375,15.625,12.224241,145800
1998-06-16,15.75,16.5,15.5,16.0,12.517623,100200
1998-06-17,16.125,16.375,16.125,16.125,12.615417,70500
1998-06-18,16.25,16.6875,16.125,16.6875,13.05549,115200
1998-06-19,16.5,18.375,16.5,18.375,14.375711,86300
1998-06-22,18.125,21.5,17.875,20.25,15.84262,431900
1998-06-23,20.375,21.75,19.3125,19.75,15.451441,299200
1998-06-24,20.125,21.0625,19.625,20.75,16.233793,149300
1998-06-25,21.0,21.5,20.5,20.75,16.233793,309100
1998-06-26,21.375,21.75,21.0,21.5,16.820559,191000
1998-06-29,21.75,22.0,21.5,21.75,17.016142,107300
1998-06-30,21.875,22.0,21.375,21.5,16.820559,239000
1998-07-01,21.5,21.5,19.875,20.0,15.64703,159300
1998-07-02,20.0,21.125,20.0,20.875,16.331585,149800
1998-07-06,21.25,22.0,21.125,22.0,17.211731,205600
1998-07-07,21.875,22.875,21.625,22.8125,17.847391,391800
1998-07-08,22.6875,22.8125,22.5,22.75,17.798494,83300
1998-07-09,22.8125,23.125,22.625,22.625,17.700701,68900
1998-07-10,22.5,23.0,21.75,22.375,17.505116,119700
1998-07-13,22.625,22.625,22.125,22.25,17.407322,71200
1998-07-14,22.125,22.875,22.125,22.875,17.896286,165100
1998-07-15,22.625,23.0,22.625,22.875,17.896286,101900
1998-07-16,22.75,23.0,22.375,22.75,17.798494,147800
1998-07-17,22.5,22.875,22.5,22.875,17.896286,65300
1998-07-20,22.875,23.875,22.75,23.375,18.287468,182100
1998-07-21,23.8125,24.125,23.5,24.0,18.776442,120000
1998-07-22,24.0,24.25,23.625,24.125,18.874224,52500
1998-07-23,24.25,26.0,24.25,25.5,19.949959,170600
1998-07-24,25.5,28.5,25.5,28.0,21.905836,174600
1998-07-27,27.875,28.0,23.5,25.125,19.656578,424300
1998-07-28,24.25,24.375,21.0,21.4375,16.771658,553000
1998-07-29,21.375,22.625,21.375,22.125,17.309528,206400
1998-07-30,22.375,22.5,21.75,21.75,17.016142,67200
1998-07-31,22.25,22.5,21.625,21.625,16.91835,52700
1998-08-03,22.0,22.0,19.25,20.25,15.84262,95300
1998-08-04,20.25,20.8125,19.625,20.625,16.136,110100
1998-08-05,20.125,20.5,19.5,20.5,16.038204,54900
1998-08-06,20.5,21.25,20.5,21.125,16.527174,51300
1998-08-07,21.125,21.125,19.875,21.125,16.527174,136300
1998-08-10,21.0,22.125,20.625,21.875,17.113941,57900
1998-08-11,21.0,21.5,19.0,19.5,15.255855,104600
1998-08-12,20.375,20.75,19.75,19.75,15.451441,53400
1998-08-13,19.875,20.5,19.75,20.0625,15.695922,121600
1998-08-14,20.0625,20.25,19.9375,20.125,15.74482,7600
1998-08-17,20.25,20.25,19.3125,19.75,15.451441,29100
1998-08-18,20.125,20.125,19.75,19.875,15.549235,140400
1998-08-19,20.125,20.125,19.625,19.6875,15.402549,29800
1998-08-20,19.75,19.9375,19.5,19.9375,15.598129,54500
1998-08-21,19.5,20.0,19.5,19.9375,15.598129,43400
1998-08-24,19.75,20.625,19.75,20.0,15.64703,48900
1998-08-25,20.25,20.5,19.75,19.75,15.451441,46200
1998-08-26,19.5,19.75,19.375,19.625,15.353646,10800
1998-08-27,19.25,19.375,17.25,18.25,14.277916,101800
1998-08-28,18.25,19.25,18.25,18.6875,14.620186,72200
1998-08-31,18.5,18.5,16.5,17.25,13.495562,65000
1998-09-01,17.125,17.6875,16.75,17.6875,13.837844,130900
1998-09-02,17.25,17.25,16.6875,17.0,13.299976,23300
1998-09-03,17.0,17.0,16.375,16.375,12.811006,2000
1998-09-04,16.375,17.0,15.1875,15.75,12.322035,73900
1998-09-08,17.0,17.75,16.625,17.5,13.691152,39700
1998-09-09,17.25,17.25,17.0,17.125,13.397769,8800
1998-09-10,17.25,17.25,16.875,17.0,13.299976,19100
1998-09-11,17.375,17.5,16.75,17.375,13.59336,14100
1998-09-14,17.625,18.5,17.625,18.5,14.4735,8300
1998-09-15,18.5,19.625,17.75,19.5,15.255855,46200
1998-09-16,19.75,20.75,18.5,18.5,14.4735,47400
1998-09-17,18.125,18.375,17.8125,18.0,14.082324,118200
1998-09-18,18.375,18.375,18.0,18.0625,14.131219,47900
1998-09-21,17.875,18.25,17.375,18.0,14.082324,59800
1998-09-22,19.25,19.25,18.5,18.5,14.4735,108400
1998-09-23,19.0625,21.125,19.0625,20.75,16.233793,361900
1998-09-24,20.875,22.375,20.875,21.625,16.91835,140300
1998-09-25,21.5,21.625,19.875,20.375,15.940408,153200
1998-09-28,20.25,20.5,19.75,19.75,15.451441,18700
