Date,Open,High,Low,Close,Adj Close,Volume
2006-03-31,9.120000,9.340000,8.500000,8.750000,3.565809,24694300
2006-04-03,8.750000,9.100000,8.700000,9.050000,3.688066,6571500
2006-04-04,9.090000,9.450000,9.000000,9.150000,3.728817,1529200
2006-04-05,9.150000,9.290000,9.000000,9.010000,3.671764,1186100
2006-04-06,9.200000,9.420000,9.000000,9.250000,3.769569,2304200
2006-04-07,9.310000,9.330000,9.000000,9.180000,3.741044,1963900
2006-04-10,9.050000,9.170000,8.950000,9.050000,3.688066,1143100
2006-04-11,9.080000,9.100000,8.060000,8.250000,3.362048,1995200
2006-04-12,8.200000,8.490000,8.100000,8.200000,3.341672,861400
2006-04-13,8.480000,8.480000,8.100000,8.210000,3.345747,303600
2006-04-17,8.250000,8.300000,8.110000,8.150000,3.321296,178900
2006-04-18,8.260000,8.800000,8.190000,8.510000,3.468004,598300
2006-04-19,8.510000,9.000000,8.500000,9.000000,3.667689,333600
2006-04-20,8.920000,9.050000,8.790000,9.050000,3.688066,1024400
2006-04-21,9.100000,9.100000,8.260000,8.350000,3.402801,635600
2006-04-24,8.500000,8.580000,8.380000,8.460000,3.447628,1099200
2006-04-25,8.450000,8.650000,8.450000,8.500000,3.463928,196600
2006-04-26,8.480000,9.040000,8.480000,8.940000,3.643237,693900
2006-04-27,8.860000,8.990000,8.740000,8.940000,3.643237,2263500
2006-04-28,9.000000,9.000000,8.750000,8.900000,3.626937,459400
2006-05-01,8.960000,8.960000,8.750000,8.850000,3.606561,175800
2006-05-02,8.600000,8.650000,8.500000,8.600000,3.504681,497700
2006-05-03,8.650000,8.700000,8.450000,8.570000,3.492456,751700
2006-05-04,8.540000,8.830000,8.540000,8.810000,3.590260,474900
2006-05-05,8.660000,8.720000,8.500000,8.600000,3.504681,622300
2006-05-08,8.600000,8.730000,8.520000,8.650000,3.525056,277400
2006-05-09,8.850000,8.950000,8.650000,8.790000,3.582110,510400
2006-05-10,8.950000,8.980000,8.600000,8.700000,3.545433,765000
2006-05-11,8.700000,8.880000,8.500000,8.500000,3.463928,467300
2006-05-12,8.460000,8.640000,8.230000,8.270000,3.370199,596200
2006-05-15,8.400000,8.500000,8.210000,8.300000,3.382425,145100
