Date,Open,High,Low,Close,Adj Close,Volume
1992-05-21,400.0,400.0,355.0,360.0,360.0,12410
1992-05-22,360.0,370.0,360.0,360.0,360.0,3458
1992-05-26,360.0,370.0,330.0,340.0,340.0,4235
1992-05-27,350.0,350.0,320.0,340.0,340.0,865
1992-05-28,330.0,350.0,330.0,340.0,340.0,2010
1992-05-29,340.0,370.0,340.0,370.0,370.0,2828
1992-06-01,370.0,375.0,360.0,360.0,360.0,2350
1992-06-02,370.0,370.0,360.0,360.0,360.0,6558
1992-06-03,360.0,370.0,360.0,360.0,360.0,1213
1992-06-04,350.0,370.0,350.0,370.0,370.0,10
1992-06-05,370.0,370.0,350.0,360.0,360.0,1010
1992-06-08,370.0,370.0,350.0,350.0,350.0,290
1992-06-09,350.0,360.0,330.0,330.0,330.0,1650
1992-06-10,360.0,360.0,330.0,330.0,330.0,1403
1992-06-11,350.0,350.0,330.0,335.0,335.0,173
1992-06-12,350.0,350.0,320.0,340.0,340.0,2258
1992-06-15,320.0,340.0,320.0,320.0,320.0,90
1992-06-16,320.0,350.0,320.0,350.0,350.0,258
1992-06-17,330.0,350.0,320.0,320.0,320.0,595
1992-06-18,350.0,350.0,340.0,340.0,340.0,105
1992-06-19,340.0,360.0,340.0,360.0,360.0,893
1992-06-22,340.0,360.0,340.0,340.0,340.0,338
1992-06-23,360.0,360.0,350.0,360.0,360.0,13
1992-06-24,340.0,360.0,340.0,340.0,340.0,198
1992-06-25,340.0,340.0,340.0,340.0,340.0,190
1992-06-26,340.0,360.0,340.0,350.0,350.0,235
1992-06-29,360.0,360.0,340.0,360.0,360.0,183
1992-06-30,340.0,340.0,340.0,340.0,340.0,38
1992-07-01,340.0,360.0,340.0,340.0,340.0,140
1992-07-02,360.0,360.0,350.0,360.0,360.0,78
1992-07-06,360.0,360.0,340.0,340.0,340.0,113
1992-07-07,360.0,360.0,340.0,350.0,350.0,318
1992-07-08,340.0,360.0,340.0,360.0,360.0,83
1992-07-09,340.0,400.0,340.0,380.0,380.0,3775
1992-07-10,430.0,430.0,390.0,400.0,400.0,4658
1992-07-13,420.0,420.0,390.0,390.0,390.0,1545
1992-07-14,420.0,420.0,400.0,415.0,415.0,1278
1992-07-15,420.0,450.0,410.0,450.0,450.0,3050
1992-07-16,450.0,480.0,440.0,460.0,460.0,3710
1992-07-17,470.0,470.0,450.0,470.0,470.0,2045
1992-07-20,450.0,500.0,450.0,480.0,480.0,790
1992-07-21,500.0,500.0,470.0,470.0,470.0,2085
1992-07-22,500.0,500.0,440.0,470.0,470.0,1770
1992-07-23,470.0,470.0,450.0,450.0,450.0,558
1992-07-24,450.0,470.0,450.0,460.0,460.0,335
1992-07-27,450.0,450.0,450.0,450.0,450.0,55
1992-07-28,450.0,500.0,450.0,500.0,500.0,4458
1992-07-29,500.0,570.0,470.0,570.0,570.0,5108
1992-07-30,580.0,580.0,530.0,560.0,560.0,1623
1992-07-31,560.0,560.0,540.0,550.0,550.0,3653
1992-08-03,560.0,560.0,540.0,560.0,560.0,843
1992-08-04,570.0,570.0,550.0,550.0,550.0,125
1992-08-05,550.0,550.0,550.0,550.0,550.0,8
1992-08-06,550.0,560.0,550.0,560.0,560.0,203
1992-08-07,560.0,560.0,520.0,520.0,520.0,825
1992-08-10,540.0,540.0,520.0,540.0,540.0,610
1992-08-11,550.0,550.0,550.0,550.0,550.0,20
1992-08-12,550.0,550.0,520.0,520.0,520.0,130
1992-08-13,520.0,550.0,520.0,550.0,550.0,30
1992-08-14,550.0,550.0,530.0,530.0,530.0,93
1992-08-17,540.0,550.0,530.0,550.0,550.0,395
1992-08-18,530.0,550.0,530.0,530.0,530.0,165
1992-08-19,550.0,550.0,530.0,545.0,545.0,605
1992-08-20,550.0,550.0,530.0,530.0,530.0,143
1992-08-21,530.0,570.0,530.0,560.0,560.0,9390
1992-08-24,580.0,580.0,550.0,570.0,570.0,1960
1992-08-25,580.0,580.0,560.0,570.0,570.0,593
1992-08-26,580.0,580.0,560.0,570.0,570.0,258
1992-08-27,580.0,660.0,570.0,640.0,640.0,3943
1992-08-28,640.0,695.0,620.0,680.0,680.0,2253
1992-08-31,680.0,700.0,660.0,690.0,690.0,2225
1992-09-01,660.0,690.0,650.0,690.0,690.0,2325
1992-09-02,660.0,690.0,660.0,680.0,680.0,1363
1992-09-03,680.0,680.0,660.0,670.0,670.0,625
1992-09-04,660.0,680.0,660.0,670.0,670.0,1623
1992-09-08,680.0,680.0,660.0,660.0,660.0,565
1992-09-09,650.0,670.0,640.0,650.0,650.0,123
1992-09-10,640.0,670.0,640.0,660.0,660.0,1250
1992-09-11,670.0,690.0,640.0,690.0,690.0,1105
1992-09-14,690.0,810.0,690.0,780.0,780.0,2553
1992-09-15,790.0,790.0,700.0,720.0,720.0,3300
1992-09-16,700.0,730.0,680.0,730.0,730.0,508
1992-09-17,730.0,730.0,700.0,725.0,725.0,573
1992-09-18,720.0,745.0,720.0,745.0,745.0,743
1992-09-21,760.0,800.0,730.0,780.0,780.0,1398
1992-09-22,790.0,790.0,710.0,710.0,710.0,918
1992-09-23,710.0,740.0,710.0,735.0,735.0,2208
1992-09-24,750.0,750.0,670.0,710.0,710.0,1810
1992-09-25,680.0,710.0,660.0,660.0,660.0,2325
1992-09-28,690.0,690.0,630.0,655.0,655.0,1188
1992-09-29,630.0,650.0,630.0,630.0,630.0,98
1992-09-30,670.0,670.0,630.0,640.0,640.0,153
1992-10-01,670.0,690.0,630.0,670.0,670.0,360
1992-10-02,650.0,655.0,650.0,650.0,650.0,70
1992-10-05,670.0,680.0,580.0,680.0,680.0,1780
1992-10-06,680.0,690.0,660.0,680.0,680.0,88
1992-10-07,660.0,710.0,660.0,700.0,700.0,285
1992-10-08,740.0,780.0,720.0,770.0,770.0,2500
1992-10-09,740.0,770.0,740.0,770.0,770.0,313
1992-10-12,760.0,780.0,750.0,750.0,750.0,610
1992-10-13,780.0,780.0,750.0,780.0,780.0,735
1992-10-14,740.0,770.0,690.0,695.0,695.0,3178
1992-10-15,640.0,680.0,540.0,590.0,590.0,11355
1992-10-16,590.0,590.0,550.0,550.0,550.0,6483
1992-10-19,550.0,610.0,550.0,610.0,610.0,8828
1992-10-20,635.0,640.0,610.0,620.0,620.0,7183
1992-10-21,640.0,640.0,570.0,585.0,585.0,1583
1992-10-22,590.0,610.0,570.0,600.0,600.0,4418
1992-10-23,600.0,620.0,600.0,600.0,600.0,625
1992-10-26,580.0,600.0,550.0,570.0,570.0,1470
1992-10-27,590.0,590.0,550.0,560.0,560.0,878
1992-10-28,560.0,610.0,560.0,610.0,610.0,2203
1992-10-29,620.0,660.0,600.0,650.0,650.0,1713
1992-10-30,650.0,670.0,620.0,650.0,650.0,1050
