Date,Open,High,Low,Close,Adj Close,Volume
2024-05-15,4.800000,5.400000,3.595000,4.070000,4.070000,2366200
2024-05-16,6.000000,11.520000,4.320000,8.320000,8.320000,11826600
2024-05-17,8.370000,15.080000,8.300000,11.680000,11.680000,5757400
2024-05-20,12.950000,14.870000,9.740000,11.960000,11.960000,2262400
2024-05-21,11.910000,11.910000,10.800000,11.500000,11.500000,834700
2024-05-22,11.580000,11.840000,11.030000,11.590000,11.590000,421200
2024-05-23,11.700000,12.500000,11.250000,12.070000,12.070000,942400
2024-05-24,12.070000,12.450000,11.112000,12.340000,12.340000,906800
2024-05-28,12.300000,12.970000,12.130000,12.300000,12.300000,399900
2024-05-29,12.050000,12.700000,12.000000,12.500000,12.500000,707900
2024-05-30,12.550000,12.650000,11.760000,12.500000,12.500000,900600
2024-05-31,12.210000,13.240000,10.640000,12.970000,12.970000,1480000
2024-06-03,12.880000,13.390000,12.420000,12.470000,12.470000,2247000
2024-06-04,12.350000,12.350000,1.380000,1.750000,1.750000,14662200
2024-06-05,1.490000,1.520000,1.300000,1.390000,1.390000,4354400
2024-06-06,1.250000,1.290000,1.120000,1.150000,1.150000,2273900
2024-06-07,1.050000,1.240000,1.010000,1.090000,1.090000,1506700
2024-06-10,1.060000,1.080000,1.010000,1.030000,1.030000,515500
2024-06-11,1.010000,1.030000,0.860000,0.900000,0.900000,789500
2024-06-12,0.889000,1.320000,0.870000,1.250000,1.250000,5611500
2024-06-13,1.230000,1.270000,1.030000,1.080000,1.080000,1204500
2024-06-14,1.040000,1.060000,0.940000,0.989000,0.989000,554100
2024-06-17,0.989000,1.020000,0.910000,0.910000,0.910000,499800
2024-06-18,0.911000,0.951000,0.890000,0.920000,0.920000,1096300
2024-06-20,0.920000,0.920000,0.820000,0.846000,0.846000,579500
2024-06-21,0.845000,0.930000,0.760000,0.880000,0.880000,718700
2024-06-24,0.880000,0.898000,0.851000,0.880000,0.880000,217300
2024-06-25,0.880000,0.890000,0.853000,0.860000,0.860000,232000
2024-06-26,0.841000,0.870000,0.820000,0.846000,0.846000,217600
2024-06-27,0.820000,0.835000,0.796000,0.809000,0.809000,223200
2024-06-28,0.785000,0.830000,0.775000,0.830000,0.830000,97900
2024-07-01,0.819000,0.841000,0.790000,0.803000,0.803000,166100
2024-07-02,0.798000,0.870000,0.796000,0.850000,0.850000,365000
2024-07-03,0.870000,0.884000,0.840000,0.840000,0.840000,171200
2024-07-05,0.815000,0.840000,0.780000,0.799000,0.799000,214500
2024-07-08,0.800000,0.830000,0.781000,0.788000,0.788000,153900
2024-07-09,0.782000,0.810000,0.781000,0.782000,0.782000,106500
2024-07-10,0.790000,0.795000,0.761000,0.779000,0.779000,182100
2024-07-11,0.780000,0.800000,0.779000,0.800000,0.800000,81700
2024-07-12,0.799000,0.800000,0.780000,0.789000,0.789000,137600
2024-07-15,0.800000,0.850000,0.800000,0.849000,0.849000,270800
2024-07-16,0.830000,0.870000,0.830000,0.851000,0.851000,173300
2024-07-17,0.851000,0.851000,0.810000,0.835000,0.835000,54500
2024-07-18,0.812000,0.849000,0.790000,0.819000,0.819000,119800
2024-07-19,0.808000,0.845000,0.780000,0.830000,0.830000,73700
2024-07-22,0.831000,0.850000,0.791000,0.801000,0.801000,110000
2024-07-23,0.790000,0.803000,0.785000,0.785000,0.785000,79600
2024-07-24,0.790000,0.822000,0.761000,0.770000,0.770000,73200
2024-07-25,0.770000,0.800000,0.728000,0.779000,0.779000,104100
2024-07-26,0.760000,0.784000,0.572000,0.638000,0.638000,757600
2024-07-29,0.626000,0.644000,0.615000,0.631000,0.631000,143300
2024-07-30,0.619000,0.622000,0.563000,0.580000,0.580000,101600
2024-07-31,0.573000,0.611000,0.573000,0.591000,0.591000,35200
2024-08-01,0.610000,0.610000,0.560000,0.560000,0.560000,90500
2024-08-02,0.575000,0.575000,0.525000,0.534000,0.534000,142300
2024-08-05,0.500000,0.528000,0.449000,0.470000,0.470000,260200
2024-08-06,0.505000,0.515000,0.478000,0.493000,0.493000,83100
2024-08-07,0.510000,0.530000,0.482000,0.484000,0.484000,59700
2024-08-08,0.490000,0.510000,0.485000,0.509000,0.509000,94300
2024-08-09,0.452000,0.600000,0.451000,0.557000,0.557000,200900
2024-08-12,0.537000,0.570000,0.515000,0.523000,0.523000,99000
2024-08-13,0.521000,0.550000,0.520000,0.550000,0.550000,434300
2024-08-14,0.555000,0.569000,0.510000,0.510000,0.510000,361600
2024-08-15,0.510000,0.520000,0.500000,0.500000,0.500000,54500
2024-08-16,0.500000,0.519000,0.500000,0.506000,0.506000,36200
