Date,Open,High,Low,Close,Adj Close,Volume
1991-08-30,2.916667,3.125,2.916667,3.083333,1.536147,723600
1991-09-03,3.083333,3.083333,2.791667,2.833333,1.411595,506100
1991-09-04,2.791667,2.875,2.791667,2.833333,1.411595,398100
1991-09-05,2.833333,2.833333,2.75,2.791667,1.390837,453300
1991-09-06,2.791667,2.791667,2.708333,2.708333,1.349319,117300
1991-09-09,2.791667,2.791667,2.666667,2.666667,1.32856,44700
1991-09-10,2.666667,2.75,2.666667,2.708333,1.349319,72000
1991-09-11,2.666667,2.708333,2.666667,2.708333,1.349319,240300
1991-09-12,2.708333,2.791667,2.666667,2.791667,1.390837,86400
1991-09-13,2.791667,2.875,2.75,2.875,1.432353,118800
1991-09-16,2.916667,3.0,2.791667,2.916667,1.453113,446100
1991-09-17,2.916667,3.083333,2.916667,2.916667,1.453113,141300
1991-09-18,3.041667,3.333333,2.958333,3.291667,1.639942,431700
1991-09-19,3.208333,3.458333,3.083333,3.458333,1.722976,1057500
1991-09-20,3.541667,3.666667,3.333333,3.375,1.681458,236400
1991-09-23,3.541667,3.541667,3.25,3.25,1.619182,127800
1991-09-24,3.291667,3.416667,3.25,3.25,1.619182,166800
1991-09-25,3.416667,3.416667,3.166667,3.333333,1.6607,61800
1991-09-26,3.375,3.375,3.25,3.25,1.619182,48600
1991-09-27,3.375,3.416667,3.291667,3.291667,1.639942,121200
1991-09-30,3.208333,3.333333,3.208333,3.25,1.619182,51900
1991-10-01,3.375,3.375,3.166667,3.333333,1.6607,21300
1991-10-02,3.375,3.416667,3.291667,3.416667,1.702218,81600
1991-10-03,3.375,3.458333,3.333333,3.333333,1.6607,119700
1991-10-04,3.458333,3.458333,3.333333,3.416667,1.702218,57900
1991-10-07,3.5,3.541667,3.291667,3.333333,1.6607,71400
1991-10-08,3.458333,3.458333,3.291667,3.333333,1.6607,36000
1991-10-09,3.375,3.375,3.166667,3.166667,1.577665,50400
1991-10-10,3.25,3.25,3.083333,3.166667,1.577665,49200
1991-10-11,3.25,3.25,3.083333,3.083333,1.536147,33600
1991-10-14,3.166667,3.291667,3.083333,3.291667,1.639942,23100
1991-10-15,3.291667,3.291667,3.083333,3.166667,1.577665,40200
1991-10-16,3.25,3.25,3.166667,3.166667,1.577665,4500
1991-10-17,3.125,3.291667,3.125,3.25,1.619182,164100
1991-10-18,3.166667,3.333333,3.166667,3.25,1.619182,17700
1991-10-21,3.166667,3.25,3.166667,3.166667,1.577665,39900
1991-10-22,3.125,3.458333,3.125,3.458333,1.722976,311100
1991-10-23,3.291667,3.375,3.208333,3.208333,1.598424,78900
1991-10-24,3.291667,3.291667,3.125,3.125,1.556906,71100
1991-10-25,3.25,3.333333,3.125,3.125,1.556906,6000
1991-10-28,3.333333,3.333333,3.125,3.166667,1.577665,50400
1991-10-29,3.208333,3.208333,3.083333,3.208333,1.598424,17100
1991-10-30,3.25,3.291667,3.166667,3.291667,1.639942,115800
1991-10-31,3.166667,3.333333,3.166667,3.333333,1.6607,35700
1991-11-01,3.25,3.25,3.166667,3.25,1.619182,21000
1991-11-04,3.291667,3.333333,3.25,3.25,1.619182,34200
1991-11-05,3.375,3.375,3.208333,3.208333,1.598424,31200
1991-11-06,3.25,3.25,3.083333,3.083333,1.536147,12900
1991-11-07,3.25,3.25,3.083333,3.125,1.556906,31800
1991-11-08,3.166667,3.166667,3.041667,3.125,1.556906,8700
1991-11-11,3.041667,3.166667,3.041667,3.041667,1.515389,11700
1991-11-12,3.125,3.25,3.125,3.25,1.619182,27000
1991-11-13,3.25,3.291667,3.166667,3.291667,1.639942,45900
1991-11-14,3.166667,3.25,3.083333,3.083333,1.536147,36300
1991-11-15,3.083333,3.083333,2.833333,3.0,1.49463,119100
1991-11-18,3.0,3.0,2.75,3.0,1.49463,66000
1991-11-19,2.833333,3.0,2.791667,2.916667,1.453113,12000
1991-11-20,2.916667,2.916667,2.666667,2.666667,1.32856,67200
1991-11-21,2.75,2.833333,2.708333,2.75,1.370077,159900
1991-11-22,2.833333,2.833333,2.666667,2.708333,1.349319,28200
1991-11-25,2.833333,2.833333,2.708333,2.708333,1.349319,5100
1991-11-26,2.666667,2.833333,2.666667,2.666667,1.32856,105900
1991-11-27,2.666667,2.833333,2.625,2.625,1.307801,19500
1991-11-29,2.541667,2.708333,2.5,2.541667,1.266284,51600
1991-12-02,2.5,2.583333,2.458333,2.583333,1.287042,42300
1991-12-03,2.583333,2.583333,2.416667,2.416667,1.204008,3300
1991-12-04,2.416667,2.5,2.083333,2.25,1.120973,282300
1991-12-05,2.25,2.333333,2.25,2.291667,1.141732,110700
1991-12-06,2.333333,2.333333,2.166667,2.25,1.120973,81300
1991-12-09,2.166667,2.375,1.958333,2.333333,1.16249,245700
1991-12-10,2.5,2.541667,2.416667,2.5,1.245525,123000
1991-12-11,2.541667,2.541667,2.541667,2.541667,1.266284,2100
1991-12-12,2.541667,2.541667,2.541667,2.541667,1.266284,6000
1991-12-13,2.541667,2.541667,2.541667,2.541667,1.266284,0
1991-12-16,2.541667,2.791667,2.541667,2.791667,1.390837,155700
1991-12-17,2.791667,2.791667,2.583333,2.583333,1.287042,42600
1991-12-18,2.75,2.75,2.583333,2.583333,1.287042,34500
1991-12-19,2.541667,2.666667,2.416667,2.416667,1.204008,81000
1991-12-20,2.5,2.5,2.375,2.5,1.245525,5100
1991-12-23,2.333333,2.416667,2.291667,2.333333,1.16249,39900
1991-12-24,2.291667,2.291667,2.291667,2.291667,1.141732,2400
1991-12-26,2.416667,2.416667,2.333333,2.333333,1.16249,42900
1991-12-27,2.333333,2.5,2.333333,2.333333,1.16249,14100
1991-12-30,2.333333,2.5,2.333333,2.416667,1.204008,42900
1991-12-31,2.5,2.625,2.5,2.583333,1.287042,37500
1992-01-02,2.625,2.666667,2.5,2.666667,1.32856,76800
1992-01-03,2.916667,2.916667,2.833333,2.916667,1.453113,64500
1992-01-06,2.916667,2.916667,2.75,2.75,1.370077,26400
1992-01-07,2.916667,2.916667,2.75,2.916667,1.453113,12000
1992-01-08,2.833333,3.166667,2.833333,2.875,1.432353,63600
1992-01-09,2.916667,3.041667,2.916667,2.958333,1.473871,41400
1992-01-10,2.958333,3.083333,2.958333,3.083333,1.536147,68100
1992-01-13,3.125,3.125,3.0,3.041667,1.515389,37200
1992-01-14,3.083333,3.083333,2.833333,2.875,1.432353,67500
1992-01-15,2.958333,2.958333,2.958333,2.958333,1.473871,9900
1992-01-16,2.916667,3.0,2.875,2.916667,1.453113,20100
1992-01-17,3.0,3.0,3.0,3.0,1.49463,600
1992-01-20,3.0,3.0,2.875,2.875,1.432353,12600
1992-01-21,2.958333,2.958333,2.833333,2.833333,1.411595,11700
1992-01-22,2.958333,2.958333,2.958333,2.958333,1.473871,2700
1992-01-23,2.833333,2.958333,2.833333,2.916667,1.453113,52200
1992-01-24,3.0,3.0,2.875,2.958333,1.473871,9600
1992-01-27,2.875,3.125,2.875,3.0,1.49463,169800
1992-01-28,3.0,3.041667,2.958333,2.958333,1.473871,142500
1992-01-29,3.0,3.0,3.0,3.0,1.49463,600
1992-01-30,3.0,3.0,2.916667,3.0,1.49463,642300
1992-01-31,2.958333,3.083333,2.958333,3.083333,1.536147,22800
1992-02-03,2.916667,2.916667,2.916667,2.916667,1.453113,6000
1992-02-04,3.0,3.0,2.958333,2.958333,1.473871,9300
1992-02-05,3.0,3.0,2.916667,2.916667,1.453113,29400
1992-02-06,2.916667,2.958333,2.875,2.916667,1.453113,201600
1992-02-07,2.958333,3.0,2.916667,2.958333,1.473871,172500
1992-02-10,3.041667,3.041667,2.958333,2.958333,1.473871,43800
1992-02-11,3.041667,3.041667,2.833333,2.875,1.432353,196500
1992-02-12,2.916667,3.083333,2.875,2.958333,1.473871,30900
1992-02-13,3.0,3.0,2.875,2.875,1.432353,59400
1992-02-14,2.875,2.875,2.833333,2.833333,1.411595,28800
1992-02-18,2.958333,2.958333,2.791667,2.791667,1.390837,33000
1992-02-19,2.916667,2.916667,2.75,2.791667,1.390837,75300
1992-02-20,2.833333,2.875,2.833333,2.875,1.432353,64800
1992-02-21,2.958333,2.958333,2.833333,2.833333,1.411595,6300
1992-02-24,2.958333,2.958333,2.791667,2.791667,1.390837,32400
1992-02-25,2.791667,2.916667,2.791667,2.916667,1.453113,59100
1992-02-26,2.958333,2.958333,2.791667,2.791667,1.390837,8400
1992-02-27,2.875,2.916667,2.875,2.916667,1.453113,71700
1992-02-28,2.875,2.958333,2.875,2.875,1.432353,26100
1992-03-02,2.958333,2.958333,2.75,2.75,1.370077,197100
1992-03-03,2.875,2.916667,2.708333,2.75,1.370077,28500
1992-03-04,2.833333,3.0,2.708333,3.0,1.49463,758400
1992-03-05,3.083333,3.166667,3.083333,3.125,1.556906,77100
1992-03-06,3.0,3.125,2.916667,3.041667,1.515389,77100
1992-03-09,3.083333,3.125,2.916667,3.125,1.556906,306600
1992-03-10,3.083333,3.083333,3.0,3.0,1.49463,48300
1992-03-11,3.125,3.125,3.083333,3.083333,1.536147,6000
1992-03-12,3.083333,3.083333,2.958333,2.958333,1.473871,13200
1992-03-13,3.083333,3.083333,3.0,3.041667,1.515389,2100
1992-03-16,2.958333,3.041667,2.958333,2.958333,1.473871,63300
1992-03-17,3.0,3.041667,2.916667,3.0,1.49463,25200
1992-03-18,3.041667,3.041667,2.958333,2.958333,1.473871,12600
1992-03-19,3.041667,3.041667,3.041667,3.041667,1.515389,3000
1992-03-20,3.0,3.083333,3.0,3.041667,1.515389,72000
1992-03-23,3.083333,3.083333,2.958333,2.958333,1.473871,33000
1992-03-24,2.958333,2.958333,2.958333,2.958333,1.473871,4200
1992-03-25,3.083333,3.083333,3.0,3.083333,1.536147,18300
1992-03-26,3.083333,3.083333,3.0,3.0,1.49463,9000
