Date,Open,High,Low,Close,Adj Close,Volume
2022-07-12,7.610000,13.390000,7.510000,12.050000,12.050000,1486800
2022-07-13,9.770000,12.000000,8.800000,8.800000,8.800000,264400
2022-07-14,8.010000,8.260000,6.321000,7.350000,7.350000,134100
2022-07-15,7.640000,7.820000,6.800000,6.800000,6.800000,47000
2022-07-18,6.450000,8.490000,6.300000,6.700000,6.700000,69400
2022-07-19,6.720000,7.515000,6.710000,7.420000,7.420000,39200
2022-07-20,6.540000,8.300000,6.330000,7.730000,7.730000,190700
2022-07-21,7.700000,8.000000,7.080000,8.000000,8.000000,28000
2022-07-22,7.910000,7.910000,6.688000,6.790000,6.790000,37500
2022-07-25,7.100000,13.000000,7.010000,10.560000,10.560000,4532500
2022-07-26,9.600000,11.352000,8.870000,9.250000,9.250000,328700
2022-07-27,9.590000,10.500000,8.800000,8.900000,8.900000,176900
2022-07-28,8.970000,9.205000,7.007000,7.800000,7.800000,185500
2022-07-29,7.810000,12.490000,7.350000,9.620000,9.620000,858000
2022-08-01,9.420000,11.193000,9.130000,10.870000,10.870000,434900
2022-08-02,11.530000,13.950000,8.070000,9.200000,9.200000,978100
2022-08-03,9.220000,9.900000,6.800000,7.150000,7.150000,291900
2022-08-04,7.830000,7.830000,7.000000,7.120000,7.120000,90500
2022-08-05,6.800000,7.900000,6.800000,7.090000,7.090000,406800
2022-08-08,7.200000,7.250000,6.133000,6.335000,6.335000,178400
2022-08-09,6.190000,6.650000,6.125000,6.140000,6.140000,79700
2022-08-10,6.100000,6.680000,6.100000,6.400000,6.400000,75200
2022-08-11,6.400000,6.870000,6.152000,6.470000,6.470000,74800
2022-08-12,6.530000,6.690000,6.259000,6.370000,6.370000,32300
2022-08-15,6.110000,6.570000,6.110000,6.540000,6.540000,36200
2022-08-16,6.540000,6.850000,6.240000,6.470000,6.470000,70300
2022-08-17,6.470000,6.720000,6.321000,6.690000,6.690000,34400
2022-08-18,6.560000,6.654000,6.230000,6.550000,6.550000,31600
2022-08-19,6.320000,6.320000,6.000000,6.050000,6.050000,35300
2022-08-22,6.100000,6.150000,5.680000,5.835000,5.835000,64200
2022-08-23,5.720000,5.830000,5.400000,5.450000,5.450000,53900
2022-08-24,5.440000,5.500000,5.231000,5.280000,5.280000,14600
2022-08-25,5.290000,5.558000,5.280000,5.390000,5.390000,16500
2022-08-26,5.200000,5.790000,5.200000,5.300000,5.300000,54900
2022-08-29,5.390000,5.780000,5.060000,5.270000,5.270000,24800
2022-08-30,5.182000,5.646000,5.030000,5.110000,5.110000,52600
2022-08-31,5.132000,5.430000,4.800000,4.850000,4.850000,43100
2022-09-01,4.860000,5.000000,4.140000,4.490000,4.490000,49700
2022-09-02,4.700000,6.950000,4.430000,4.470000,4.470000,3932700
2022-09-06,4.470000,4.585000,3.800000,4.040000,4.040000,202000
2022-09-07,3.810000,4.210000,3.660000,3.930000,3.930000,85100
2022-09-08,3.840000,4.160000,3.810000,4.060000,4.060000,52200
2022-09-09,3.970000,4.190000,3.570000,4.040000,4.040000,131700
2022-09-12,4.200000,4.477000,3.910000,4.300000,4.300000,141000
2022-09-13,4.480000,4.770000,4.070000,4.420000,4.420000,79300
2022-09-14,4.420000,4.860000,4.352000,4.850000,4.850000,132100
2022-09-15,5.030000,5.030000,4.420000,4.645000,4.645000,103900
2022-09-16,4.240000,5.740000,4.240000,5.560000,5.560000,244500
2022-09-19,5.460000,5.550000,4.800000,5.290000,5.290000,62600
2022-09-20,5.110000,5.361000,4.844000,5.097000,5.097000,58000
2022-09-21,5.000000,5.100000,4.700000,4.860000,4.860000,50100
2022-09-22,4.760000,4.762000,3.740000,3.895000,3.895000,227000
2022-09-23,3.860000,4.325000,3.700000,3.966000,3.966000,140200
2022-09-26,3.860000,4.072000,3.650000,3.778000,3.778000,150200
2022-09-27,3.960000,4.150000,3.080000,3.180000,3.180000,263800
2022-09-28,2.230000,2.250000,1.910000,2.100000,2.100000,1588100
2022-09-29,2.000000,2.030000,1.650000,1.730000,1.730000,377300
2022-09-30,1.710000,1.721000,1.550000,1.610000,1.610000,235500
2022-10-03,1.580000,1.750000,1.570000,1.750000,1.750000,248700
2022-10-04,1.690000,1.790000,1.650000,1.770000,1.770000,128300
2022-10-05,1.660000,1.730000,1.630000,1.660000,1.660000,86700
2022-10-06,1.630000,1.680000,1.610000,1.640000,1.640000,89000
