Date,Open,High,Low,Close,Adj Close,Volume
2023-10-16,21.500000,21.500000,20.110001,20.940001,20.940001,35900
2023-10-17,20.500000,22.820000,19.750000,21.340000,21.340000,15487600
2023-10-18,20.700001,21.430000,20.400000,21.309999,21.309999,3327500
2023-10-19,21.809999,23.660000,21.500000,22.100000,22.100000,2352900
2023-10-20,22.000000,22.995001,21.385000,22.700001,22.700001,2591500
2023-10-23,23.270000,23.910000,22.080000,22.160000,22.160000,1758500
2023-10-24,22.110001,24.410000,22.110001,23.580000,23.580000,2376100
2023-10-25,23.410000,24.379999,21.600000,22.010000,22.010000,1252000
2023-10-26,22.200001,22.969999,21.490000,22.260000,22.260000,1245500
2023-10-27,21.370001,23.150000,21.370001,22.459999,22.459999,1484700
2023-10-30,22.650000,23.510000,21.750000,22.049999,22.049999,919300
2023-10-31,22.190001,23.190001,22.040001,22.059999,22.059999,347300
2023-11-01,21.870001,22.520000,21.530001,22.090000,22.090000,833900
2023-11-02,22.469999,23.129999,22.290001,23.120001,23.120001,703200
2023-11-03,23.400000,23.950001,22.629999,23.420000,23.420000,552200
2023-11-06,23.120001,24.910000,23.120001,24.549999,24.549999,829100
2023-11-07,24.420000,24.700001,23.690001,24.150000,24.150000,697500
2023-11-08,23.910000,24.459999,23.540001,23.930000,23.930000,395700
2023-11-09,23.590000,24.110001,22.969999,23.129999,23.129999,635300
2023-11-10,23.139999,23.750000,23.139999,23.490000,23.490000,519900
2023-11-13,23.219999,24.770000,22.969999,24.400000,24.400000,651700
2023-11-14,24.700001,25.180000,24.150000,24.320000,24.320000,809100
2023-11-15,23.959999,25.150000,23.209999,24.799999,24.799999,702600
2023-11-16,24.370001,24.930000,23.059999,23.080000,23.080000,636000
2023-11-17,22.480000,23.280001,22.305000,22.440001,22.440001,931800
2023-11-20,22.350000,22.629999,21.770000,22.150000,22.150000,917700
2023-11-21,21.790001,23.450001,21.670000,22.730000,22.730000,622300
2023-11-22,22.700001,23.110001,22.389999,22.830000,22.830000,359200
2023-11-24,22.650000,23.660000,22.650000,23.299999,23.299999,136400
2023-11-27,22.830000,23.469999,22.600000,23.340000,23.340000,506700
2023-11-28,23.150000,23.840000,22.959999,23.240000,23.240000,304200
2023-11-29,23.170000,23.410000,21.855000,22.450001,22.450001,663600
2023-11-30,22.559999,22.719999,21.790001,22.209999,22.209999,556000
2023-12-01,22.000000,22.650000,21.695000,22.379999,22.379999,365900
2023-12-04,22.170000,22.700001,21.750000,22.309999,22.309999,432200
2023-12-05,22.270000,22.629999,22.110001,22.629999,22.629999,431100
2023-12-06,22.680000,23.225000,22.120001,22.250000,22.250000,342600
2023-12-07,22.160000,22.299999,21.570000,21.860001,21.860001,459300
2023-12-08,21.730000,22.000000,21.290001,21.879999,21.879999,479400
2023-12-11,21.940001,22.000000,21.441999,21.570000,21.570000,557200
2023-12-12,21.549999,21.920000,21.230000,21.910000,21.910000,439800
