Date,Open,High,Low,Close,Adj Close,Volume
2024-07-25,5.2,7.5,5.0,5.7,5.7,3867500
2024-07-26,5.52,6.39,5.52,5.53,5.53,311100
2024-07-29,5.57,5.902,5.414,5.42,5.42,138100
2024-07-30,5.47,5.65,5.3,5.37,5.37,43300
2024-07-31,5.49,5.49,5.0,5.06,5.06,83200
2024-08-01,4.93,5.43,4.508,5.43,5.43,76700
2024-08-02,5.42,5.59,5.3,5.399,5.399,16800
2024-08-05,5.35,5.38,5.0,5.13,5.13,79000
2024-08-06,5.225,5.295,5.05,5.16,5.16,17400
2024-08-07,5.394,5.4,5.24,5.359,5.359,20900
2024-08-08,5.4,5.4,5.1,5.22,5.22,54400
2024-08-09,5.38,5.5,5.38,5.5,5.5,7900
2024-08-12,5.5,7.2,5.5,6.28,6.28,338000
2024-08-13,6.4,6.96,5.9,6.45,6.45,176600
2024-08-14,6.45,6.7,5.7,5.985,5.985,109900
2024-08-15,6.35,6.35,5.22,5.3,5.3,149400
2024-08-16,5.55,5.95,4.1,4.6,4.6,2720000
2024-08-19,4.83,5.5,4.75,5.5,5.5,123900
2024-08-20,5.27,5.73,5.05,5.46,5.46,279200
