Date,Open,High,Low,Close,Adj Close,Volume
2024-04-25,38.599998,40.0,35.935001,37.0,37.0,18580300
2024-04-26,38.299999,38.880001,35.880001,38.0,38.0,5101600
2024-04-29,36.169998,36.939999,34.900002,35.0,35.0,2873600
2024-04-30,35.0,35.099998,32.0,32.02,32.02,4722200
2024-05-01,32.18,33.630001,31.959999,32.84,32.84,4473400
2024-05-02,33.02,34.220001,32.0,33.91,33.91,859600
2024-05-03,34.540001,34.950001,32.029999,32.75,32.75,1125700
2024-05-06,32.810001,34.869999,31.98,34.869999,34.869999,1306000
2024-05-07,34.59,35.299999,33.439999,33.77,33.77,1150900
2024-05-08,33.470001,33.75,33.220001,33.57,33.57,705000
2024-05-09,33.419998,33.830002,32.810001,33.599998,33.599998,506300
2024-05-10,33.900002,34.529999,33.470001,33.52,33.52,611200
2024-05-13,33.34,33.73,32.669998,32.790001,32.790001,488700
2024-05-14,33.200001,34.271999,32.880001,33.98,33.98,687600
2024-05-15,34.18,34.889999,33.720001,34.360001,34.360001,568600
2024-05-16,34.400002,35.709999,34.110001,34.860001,34.860001,743400
2024-05-17,34.860001,36.57,34.509998,36.57,36.57,1090500
2024-05-20,36.700001,37.400002,35.514999,36.07,36.07,1097400
2024-05-21,36.099998,36.208,35.049999,35.380001,35.380001,451700
2024-05-22,35.459999,35.939999,33.799999,33.970001,33.970001,654700
2024-05-23,34.220001,34.381001,32.650002,32.759998,32.759998,782100
2024-05-24,32.82,34.259998,32.82,33.560001,33.560001,475800
2024-05-28,33.849998,34.537998,32.264999,32.459999,32.459999,694200
2024-05-29,32.200001,33.279999,31.839001,33.02,33.02,593400
2024-05-30,32.75,32.91,29.4,30.26,30.26,1200100
2024-05-31,30.700001,30.98,29.240999,30.48,30.48,1187700
2024-06-03,30.5,31.594999,30.5,30.809999,30.809999,642400
2024-06-04,30.540001,31.799999,30.4,30.75,30.75,607300
2024-06-05,31.02,31.469999,30.4,31.4,31.4,422400
2024-06-06,32.0,33.669998,31.75,33.279999,33.279999,1136900
2024-06-07,33.279999,34.130001,32.68,33.830002,33.830002,656200
2024-06-10,33.880001,36.189999,33.869999,35.759998,35.759998,956000
2024-06-11,35.619999,36.41,35.09,35.259998,35.259998,1896800
2024-06-12,36.57,36.900002,31.691,32.119999,32.119999,4066600
2024-06-13,32.759998,33.439999,30.780001,31.110001,31.110001,1273700
2024-06-14,30.49,32.549999,29.65,32.5,32.5,1255000
2024-06-17,32.209999,32.27,30.809999,31.07,31.07,922200
2024-06-18,30.99,31.16,30.52,30.65,30.65,553100
2024-06-20,30.57,30.57,29.52,29.67,29.67,1188400
2024-06-21,29.940001,30.25,28.34,28.65,28.65,3284600
2024-06-24,28.540001,30.51,28.35,30.16,30.16,1111000
2024-06-25,29.98,30.959999,29.51,30.370001,30.370001,631900
2024-06-26,30.049999,30.540001,29.120001,29.719999,29.719999,877600
2024-06-27,29.48,30.73,29.23,30.65,30.65,550000
2024-06-28,30.65,31.5,30.110001,30.66,30.66,1610400
2024-07-01,31.01,31.5,29.75,30.0,30.0,1118500
2024-07-02,30.15,30.52,29.540001,29.9,29.9,730900
2024-07-03,30.299999,30.719999,29.9,29.93,29.93,1159600
2024-07-05,30.0,32.799999,30.0,32.759998,32.759998,1627800
2024-07-08,32.639999,32.990002,31.85,32.009998,32.009998,792000
2024-07-09,32.220001,33.0,31.450001,32.650002,32.650002,1038400
2024-07-10,32.900002,33.220001,32.16,33.189999,33.189999,571000
2024-07-11,33.509998,34.119999,32.799999,32.990002,32.990002,814800
2024-07-12,33.0,33.889999,32.52,33.849998,33.849998,582400
2024-07-15,34.470001,35.459999,34.09,34.290001,34.290001,1226500
2024-07-16,34.360001,34.623001,33.73,34.0,34.0,1082100
2024-07-17,33.48,34.860001,33.299999,34.740002,34.740002,842700
2024-07-18,34.950001,35.25,33.575001,34.0,34.0,735100
2024-07-19,34.0,34.419998,33.32,33.860001,33.860001,761200
2024-07-22,34.0,34.560001,33.511002,34.540001,34.540001,329300
2024-07-23,34.560001,36.424999,34.32,36.41,36.41,807800
2024-07-24,36.09,36.474998,34.610001,35.0,35.0,1019000
2024-07-25,34.650002,35.476002,33.66,34.419998,34.419998,860900
2024-07-26,35.0,35.27,34.040001,34.709999,34.709999,541500
2024-07-29,35.0,36.16,34.529999,34.599998,34.599998,589000
2024-07-30,34.639999,36.845001,34.639999,36.610001,36.610001,1029700
2024-07-31,36.93,38.5,36.759998,37.200001,37.200001,1156000
2024-08-01,37.139999,37.459999,34.52,34.580002,34.580002,1199200
2024-08-02,33.880001,33.939999,30.809999,31.049999,31.049999,1166800
2024-08-05,28.99,30.75,28.6,30.049999,30.049999,1197900
2024-08-06,30.809999,31.065001,29.66,30.959999,30.959999,866700
2024-08-07,31.59,31.860001,30.709999,31.09,31.09,944500
2024-08-08,31.469999,32.029999,30.280001,31.49,31.49,561400
2024-08-09,31.26,32.459999,30.969999,31.75,31.75,648300
2024-08-12,31.75,31.940001,31.01,31.290001,31.290001,351800
2024-08-13,31.98,32.73,31.52,32.110001,32.110001,604100
2024-08-14,32.299999,32.59,31.690001,31.709999,31.709999,815200
2024-08-15,32.110001,33.645,32.0,33.619999,33.619999,1266000
2024-08-16,33.66,34.860001,33.150002,33.41,33.41,969000
