Date,Open,High,Low,Close,Adj Close,Volume
1983-10-28,0.0,6.222222,6.111111,6.111111,2.742713,127125
1983-10-31,0.0,6.222222,6.166667,6.166667,2.767647,70875
1983-11-01,0.0,6.222222,6.111111,6.111111,2.742713,32850
1983-11-02,0.0,6.111111,6.0,6.0,2.692843,54450
1983-11-03,0.0,5.777778,5.555556,5.555556,2.493374,55125
1983-11-04,0.0,5.555556,5.444444,5.444444,2.443507,33075
1983-11-07,0.0,5.555556,5.444444,5.444444,2.443507,41175
1983-11-08,0.0,5.666667,5.555556,5.555556,2.493374,31050
1983-11-09,0.0,5.888889,5.777778,5.777778,2.593109,48825
1983-11-10,0.0,6.111111,5.666667,5.666667,2.543242,22275
1983-11-11,0.0,6.111111,5.777778,5.777778,2.593109,10350
1983-11-14,0.0,6.111111,5.777778,5.777778,2.593109,7650
1983-11-15,0.0,6.333333,6.0,6.0,2.692843,11250
1983-11-16,0.0,6.444444,6.111111,6.111111,2.742713,25200
1983-11-17,0.0,6.444444,6.111111,6.111111,2.742713,8550
1983-11-18,0.0,6.222222,6.111111,6.111111,2.742713,10800
1983-11-21,0.0,6.444444,6.111111,6.111111,2.742713,11700
1983-11-22,0.0,6.444444,6.222222,6.222222,2.79258,21150
1983-11-23,0.0,6.888889,6.777778,6.777778,3.041917,54000
1983-11-25,0.0,6.888889,6.666667,6.666667,2.992052,14850
1983-11-28,0.0,6.888889,6.666667,6.666667,2.992052,5400
1983-11-29,0.0,6.777778,6.555556,6.555556,2.942184,15750
1983-11-30,0.0,6.777778,6.666667,6.666667,2.992052,5850
1983-12-01,0.0,6.888889,6.666667,6.666667,2.992052,4725
1983-12-02,0.0,6.833333,6.666667,6.666667,2.992052,1800
1983-12-05,0.0,6.944444,6.666667,6.666667,2.992052,8550
1983-12-06,0.0,7.055556,6.777778,6.777778,3.041917,38025
1983-12-07,0.0,7.0,6.888889,6.888889,3.091783,72900
1983-12-08,0.0,7.111111,6.777778,6.777778,3.041917,25875
1983-12-09,0.0,7.055556,6.888889,6.888889,3.091783,78975
1983-12-12,0.0,7.055556,6.888889,6.888889,3.091783,1125
1983-12-13,0.0,7.055556,6.888889,6.888889,3.091783,5625
1983-12-14,0.0,7.055556,6.888889,6.888889,3.091783,5850
1983-12-15,0.0,7.222222,7.0,7.0,3.141653,19125
1983-12-16,0.0,7.222222,7.0,7.0,3.141653,1125
1983-12-19,0.0,7.222222,7.111111,7.111111,3.191519,12375
1983-12-20,0.0,7.555556,7.333333,7.333333,3.291253,22725
1983-12-21,0.0,7.888889,7.555556,7.555556,3.390989,17550
1983-12-22,0.0,7.666667,7.333333,7.333333,3.291253,22275
1983-12-23,0.0,7.555556,7.333333,7.333333,3.291253,2925
1983-12-27,0.0,7.555556,7.333333,7.333333,3.291253,1800
1983-12-28,0.0,7.5,7.333333,7.333333,3.291253,7200
1983-12-29,0.0,7.5,7.444444,7.444444,3.341123,8325
1983-12-30,0.0,7.555556,7.444444,7.444444,3.341123,4950
1984-01-03,0.0,7.666667,7.444444,7.444444,3.341123,2025
1984-01-04,0.0,7.444444,7.222222,7.222222,3.241388,6300
1984-01-05,0.0,7.444444,7.222222,7.222222,3.241388,3150
1984-01-06,0.0,7.388889,7.222222,7.222222,3.241388,6750
1984-01-09,0.0,7.277778,7.111111,7.111111,3.191519,2925
1984-01-10,0.0,7.277778,7.111111,7.111111,3.191519,28350
1984-01-11,0.0,7.333333,7.111111,7.111111,3.191519,2250
1984-01-12,0.0,7.333333,7.111111,7.111111,3.191519,2250
1984-01-13,0.0,7.555556,7.333333,7.333333,3.291253,18675
1984-01-16,0.0,7.555556,7.444444,7.444444,3.341123,6525
1984-01-17,0.0,7.888889,7.777778,7.777778,3.490724,33975
1984-01-18,0.0,8.444444,8.222222,8.222222,3.690196,82350
1984-01-19,0.0,8.444444,8.333333,8.333333,3.740061,26325
1984-01-20,0.0,8.444444,8.333333,8.333333,3.740061,4725
1984-01-23,0.0,8.444444,8.333333,8.333333,3.740061,12150
1984-01-24,0.0,8.333333,8.111111,8.111111,3.640325,16875
1984-01-25,0.0,8.222222,8.111111,8.111111,3.640325,2700
1984-01-26,0.0,8.333333,8.166667,8.166667,3.665261,17550
1984-01-27,0.0,8.444444,8.333333,8.333333,3.740061,22275
1984-01-30,0.0,8.277778,8.055556,8.055556,3.615393,11025
1984-01-31,0.0,8.277778,8.055556,8.055556,3.615393,4050
1984-02-01,0.0,8.0,7.833333,7.833333,3.515659,20925
1984-02-02,0.0,7.888889,7.666667,7.666667,3.440856,8775
1984-02-03,0.0,7.722222,7.555556,7.555556,3.390989,4725
1984-02-06,0.0,7.666667,7.444444,7.444444,3.341123,2925
1984-02-07,0.0,7.722222,7.611111,7.611111,3.415923,1125
1984-02-08,0.0,7.611111,7.333333,7.333333,3.291253,4950
1984-02-09,0.0,7.555556,7.277778,7.277778,3.266322,6750
1984-02-10,0.0,7.722222,7.555556,7.555556,3.390989,35100
1984-02-13,0.0,7.666667,7.444444,7.444444,3.341123,2475
