Date,Open,High,Low,Close,Adj Close,Volume
2023-09-13,4.9,5.7,4.83,4.9,4.9,2332300
2023-09-14,4.5,4.8,4.2,4.69,4.69,412000
2023-09-15,4.72,5.57,4.7,4.89,4.89,1048800
2023-09-18,5.0,5.05,4.61,4.89,4.89,131300
2023-09-19,4.74,5.0,4.69,4.83,4.83,110200
2023-09-20,4.75,4.9,4.69,4.719,4.719,45000
2023-09-21,4.67,4.95,4.65,4.7,4.7,98200
2023-09-22,4.7,4.887,4.65,4.83,4.83,17000
2023-09-25,4.74,4.87,4.7,4.87,4.87,10900
2023-09-26,4.94,5.035,4.9,4.97,4.97,22200
2023-09-27,4.97,5.19,4.9,4.98,4.98,86000
2023-09-28,4.9,4.94,4.8,4.9,4.9,11600
2023-09-29,4.89,4.9,4.8,4.9,4.9,8000
2023-10-02,4.71,5.0,4.71,4.9,4.9,4500
2023-10-03,4.85,4.89,4.659,4.844,4.844,12000
2023-10-04,4.75,4.94,4.75,4.87,4.87,5200
2023-10-05,4.81,4.93,4.81,4.89,4.89,20700
2023-10-06,4.88,4.95,4.85,4.91,4.91,12100
2023-10-09,4.96,5.15,4.96,5.12,5.12,42000
2023-10-10,5.15,5.15,5.005,5.02,5.02,13300
2023-10-11,5.1,5.1,4.95,4.97,4.97,22100
2023-10-12,4.98,5.15,4.87,4.885,4.885,13200
2023-10-13,5.14,5.14,4.89,5.01,5.01,28000
2023-10-16,5.12,5.2,4.8,4.99,4.99,35700
2023-10-17,5.0,5.19,5.0,5.01,5.01,45300
2023-10-18,5.07,5.07,4.95,4.98,4.98,9000
2023-10-19,4.98,5.15,4.84,5.02,5.02,28700
2023-10-20,5.04,5.18,4.97,5.18,5.18,19600
2023-10-23,5.08,5.08,4.9,5.0,5.0,2600
2023-10-24,5.093,5.093,4.91,5.0,5.0,9000
2023-10-25,5.0,5.05,4.9,4.9,4.9,20400
2023-10-26,5.153,5.153,4.9,4.95,4.95,15100
2023-10-27,5.001,5.15,4.83,4.85,4.85,18500
2023-10-30,4.85,4.953,4.8,4.93,4.93,27200
2023-10-31,4.985,4.992,4.9,4.99,4.99,7400
2023-11-01,5.0,5.0,4.9,4.99,4.99,7100
2023-11-02,4.96,5.14,4.96,5.14,5.14,13500
2023-11-03,5.14,5.15,5.053,5.1,5.1,5600
2023-11-06,5.15,5.15,5.0,5.09,5.09,29700
2023-11-07,5.07,5.15,5.0,5.01,5.01,13800
2023-11-08,5.01,5.15,5.0,5.105,5.105,37100
2023-11-09,5.1,5.64,5.1,5.64,5.64,80800
2023-11-10,6.06,6.54,5.8,6.05,6.05,119500
2023-11-13,6.45,7.46,6.4,7.31,7.31,198200
2023-11-14,7.31,7.671,7.0,7.24,7.24,74500
2023-11-15,9.17,9.17,7.67,7.97,7.97,69500
2023-11-16,8.0,8.09,7.0,7.88,7.88,40200
2023-11-17,7.8,8.05,7.8,7.95,7.95,15400
2023-11-20,7.51,7.695,7.0,7.37,7.37,22300
2023-11-21,7.2,7.63,7.2,7.62,7.62,35900
2023-11-22,7.556,7.556,7.21,7.21,7.21,14700
2023-11-24,7.226,7.71,7.21,7.65,7.65,41300
2023-11-27,7.72,7.72,7.36,7.47,7.47,23600
2023-11-28,7.5,7.684,7.31,7.5,7.5,44200
2023-11-29,7.33,7.485,7.01,7.05,7.05,73600
2023-11-30,7.2,7.25,7.0,7.0,7.0,14500
2023-12-01,7.002,7.02,6.52,6.81,6.81,22300
2023-12-04,6.98,7.2,6.85,7.2,7.2,16700
2023-12-05,7.2,7.35,7.1,7.31,7.31,28400
2023-12-06,7.3,7.301,7.07,7.15,7.15,11200
2023-12-07,7.134,7.134,6.82,6.84,6.84,11000
2023-12-08,6.84,6.96,6.155,6.28,6.28,29700
2023-12-11,6.55,6.7,6.12,6.66,6.66,30700
2023-12-12,6.502,7.35,6.502,7.35,7.35,33200
2023-12-13,7.33,7.47,6.9,7.028,7.028,8500
2023-12-14,7.33,8.27,7.29,8.18,8.18,28700
2023-12-15,8.2,9.5,7.92,9.44,9.44,71400
2023-12-18,9.47,9.685,7.06,8.97,8.97,110900
2023-12-19,8.71,8.91,7.0,7.35,7.35,85700
2023-12-20,6.82,7.287,6.0,6.0,6.0,71500
2023-12-21,6.1,6.1,5.47,5.85,5.85,42700
2023-12-22,5.925,6.13,5.705,5.71,5.71,15600
2023-12-26,5.71,6.51,5.71,6.027,6.027,24200
2023-12-27,5.925,6.16,5.91,5.92,5.92,7100
2023-12-28,6.0,6.285,5.9,5.9,5.9,2900
2023-12-29,6.234,6.72,5.9,5.91,5.91,24200
2024-01-02,6.09,6.1,5.69,5.73,5.73,21000
2024-01-03,5.73,5.82,5.55,5.58,5.58,15900
2024-01-04,5.55,5.65,5.47,5.47,5.47,4300
2024-01-05,5.36,5.69,5.31,5.5,5.5,14500
2024-01-08,5.523,5.55,5.21,5.55,5.55,6200
2024-01-09,5.4,5.472,5.26,5.3,5.3,6700
2024-01-10,5.33,5.4,5.244,5.335,5.335,11900
2024-01-11,5.3,5.3,5.11,5.11,5.11,3400
2024-01-12,5.3,6.0,5.3,5.77,5.77,33400
2024-01-16,5.6,5.7,5.5,5.69,5.69,7200
2024-01-17,5.72,5.72,5.52,5.52,5.52,2300
2024-01-18,5.5,6.63,5.5,6.32,6.32,98200
2024-01-19,6.695,6.695,5.59,5.59,5.59,11400
2024-01-22,6.2,6.2,5.9,6.1,6.1,10800
2024-01-23,6.153,6.32,5.921,5.95,5.95,7600
2024-01-24,6.313,6.313,5.815,6.3,6.3,14700
2024-01-25,6.29,6.4,6.18,6.347,6.347,18800
2024-01-26,6.2,6.2,6.013,6.158,6.158,10500
2024-01-29,6.275,6.298,6.005,6.155,6.155,7200
2024-01-30,5.9,6.15,5.8,6.13,6.13,8600
2024-01-31,5.91,6.05,5.91,6.04,6.04,4600
2024-02-01,6.03,6.1,5.9,5.95,5.95,10600
2024-02-02,6.0,6.0,5.8,5.98,5.98,4500
2024-02-05,5.8,5.99,5.5,5.5,5.5,4000
2024-02-06,5.78,5.78,5.45,5.45,5.45,2500
2024-02-07,5.6,5.6,4.5,4.5,4.5,6800
2024-02-08,4.47,4.99,4.47,4.72,4.72,10600
2024-02-09,4.76,4.784,4.3,4.72,4.72,12900
2024-02-12,4.87,4.87,4.34,4.86,4.86,4900
2024-02-13,5.1,5.19,4.54,4.9,4.9,27100
2024-02-14,4.975,4.975,4.74,4.96,4.96,2900
2024-02-15,4.96,5.0,4.785,4.99,4.99,5500
2024-02-16,4.74,4.97,4.705,4.97,4.97,4300
2024-02-20,4.9,4.9,4.49,4.8,4.8,9100
2024-02-21,4.8,4.8,4.8,4.8,4.8,0
2024-02-22,4.798,4.798,4.13,4.5,4.5,8800
2024-02-23,4.5,4.645,4.0,4.25,4.25,8000
2024-02-26,4.03,4.05,3.7,4.0,4.0,20100
2024-02-27,4.07,4.2,3.73,3.99,3.99,15400
2024-02-28,4.0,4.0,3.676,3.97,3.97,4600
2024-02-29,3.94,3.94,3.378,3.378,3.378,3000
2024-03-01,3.79,3.804,3.51,3.745,3.745,7000
2024-03-04,3.991,4.11,3.703,4.1,4.1,6300
2024-03-05,4.12,5.11,4.1,5.11,5.11,58000
2024-03-06,5.2,5.7,4.95,5.517,5.517,614800
2024-03-07,5.7,5.8,4.85,5.53,5.53,568900
2024-03-08,5.75,5.84,4.48,5.65,5.65,122900
2024-03-11,5.89,5.89,5.36,5.67,5.67,240300
2024-03-12,5.53,5.89,1.05,1.24,1.24,9599800
2024-03-13,1.3,1.36,1.15,1.21,1.21,1981100
2024-03-14,1.15,1.18,0.84,0.989,0.989,1714200
2024-03-15,1.02,1.05,0.926,0.99,0.99,361700
2024-03-18,0.988,1.0,0.852,0.899,0.899,383800
2024-03-19,0.88,0.899,0.78,0.874,0.874,542800
2024-03-20,0.88,0.94,0.85,0.92,0.92,170200
2024-03-21,0.93,0.95,0.75,0.878,0.878,251400
2024-03-22,0.852,0.877,0.84,0.877,0.877,73400
2024-03-25,0.876,0.89,0.83,0.87,0.87,120500
2024-03-26,0.85,0.869,0.81,0.822,0.822,129300
