Date,Open,High,Low,Close,Adj Close,Volume
2010-03-31,8.0,8.17,7.505,7.54,6.871345,15194200
2010-04-01,7.625,7.745,7.55,7.56,6.889572,1416200
2010-04-05,7.645,7.645,7.4,7.525,6.857675,1336200
2010-04-06,7.515,7.645,7.515,7.645,6.967031,391800
2010-04-07,7.63,7.635,7.55,7.55,6.880457,610000
2010-04-08,7.565,7.875,7.55,7.86,7.162966,640200
2010-04-09,7.805,8.145,7.7,8.0,7.29055,812800
2010-04-12,8.09,8.285,7.935,8.255,7.522934,498000
2010-04-13,8.15,8.25,8.0,8.21,7.481927,841400
2010-04-14,8.19,8.32,8.105,8.225,7.495599,246400
2010-04-15,8.225,8.32,8.125,8.28,7.545719,378600
2010-04-16,8.165,8.595,8.035,8.5,7.746212,403600
2010-04-19,8.5,8.5,8.2,8.27,7.536606,171400
2010-04-20,8.25,8.46,8.165,8.24,7.509265,235000
2010-04-21,8.265,8.315,8.175,8.175,7.450034,237600
2010-04-22,8.18,8.26,7.9,8.005,7.295108,362000
2010-04-23,7.985,8.195,7.955,8.05,7.336117,303000
2010-04-26,8.145,8.305,8.0,8.225,7.495599,291400
2010-04-27,7.955,8.315,7.955,8.275,7.541165,232200
2010-04-28,8.225,8.325,7.99,8.26,7.527491,198000
2010-04-29,8.3,8.475,8.165,8.4,7.655077,591800
2010-04-30,8.41,8.475,8.295,8.39,7.645966,328600
2010-05-03,8.35,8.5,8.11,8.365,7.623182,217000
2010-05-04,8.305,8.42,8.22,8.32,7.582171,564800
2010-05-05,8.26,8.36,8.05,8.165,7.440919,235600
2010-05-06,8.1,8.18,7.85,7.95,7.244985,255800
2010-05-07,7.985,8.175,7.615,7.875,7.176636,245200
2010-05-10,8.27,8.27,7.59,7.655,6.976147,559600
2010-05-11,7.71,7.71,7.225,7.665,6.985259,1133200
2010-05-12,7.72,8.215,7.72,8.06,7.345229,386000
2010-05-13,8.14,8.4,8.075,8.355,7.614068,496000
2010-05-14,8.265,8.465,8.25,8.345,7.604955,310800
2010-05-17,8.325,8.385,8.115,8.235,7.504711,206200
2010-05-18,8.25,8.38,8.24,8.29,7.554832,197000
2010-05-19,8.25,8.325,8.15,8.17,7.445475,115400
2010-05-20,8.1,8.19,7.675,7.695,7.012599,226800
2010-05-21,7.625,7.81,7.45,7.525,6.857675,145600
2010-05-24,7.505,7.965,7.5,7.875,7.176636,175400
2010-05-25,7.83,7.925,7.655,7.835,7.140182,140800
2010-05-26,7.855,8.145,7.85,8.125,7.404466,208400
2010-05-27,8.185,8.25,8.055,8.245,7.513823,234000
2010-05-28,8.185,8.25,7.78,8.16,7.436361,258000
2010-06-01,8.1,8.215,8.005,8.175,7.450034,187600
2010-06-02,8.105,8.375,8.1,8.375,7.632295,521200
2010-06-03,8.32,8.495,8.32,8.39,7.645966,354800
2010-06-04,8.33,8.415,8.125,8.22,7.491042,234000
2010-06-07,8.175,8.245,7.875,8.095,7.377126,507600
2010-06-08,8.065,8.19,8.05,8.15,7.427248,410400
2010-06-09,8.115,8.25,8.07,8.115,7.395352,127600
2010-06-10,8.18,8.365,8.1,8.205,7.477371,156400
2010-06-11,8.145,8.375,8.145,8.375,7.632295,56400
2010-06-14,8.38,8.85,8.32,8.675,7.905693,378000
2010-06-15,8.85,9.12,8.675,9.0,8.20187,450200
2010-06-16,9.0,9.2,8.975,9.12,8.311229,354000
2010-06-17,9.15,9.205,8.665,8.775,7.996824,217200
2010-06-18,8.835,8.85,8.255,8.495,7.741656,333400
2010-06-21,8.565,8.8,8.325,8.33,7.591285,191600
2010-06-22,8.305,8.64,8.045,8.15,7.427248,171200
2010-06-23,8.11,8.245,7.68,8.045,7.33156,531600
2010-06-24,8.045,8.425,7.9,8.075,7.358898,408400
2010-06-25,8.09,8.335,7.95,8.28,7.545719,3583200
2010-06-28,8.25,8.54,8.08,8.445,7.696086,284000
2010-06-29,8.375,8.65,8.1,8.23,7.500154,390000
2010-06-30,8.19,8.455,8.0,8.015,7.304219,199200
2010-07-01,8.055,8.145,7.965,7.985,7.276881,242000
2010-07-02,8.045,8.31,7.86,8.235,7.504711,255600
2010-07-06,8.305,8.375,8.11,8.285,7.550276,189600
2010-07-07,8.295,8.62,8.25,8.58,7.819116,599600
2010-07-08,8.62,8.91,8.335,8.88,8.092506,377000
2010-07-09,8.85,9.14,8.71,9.1,8.293004,333400
2010-07-12,9.095,9.18,9.04,9.055,8.251994,242800
2010-07-13,9.13,9.13,8.81,8.815,8.033277,837800
2010-07-14,8.77,8.795,8.385,8.525,7.768994,130800
2010-07-15,8.51,8.51,8.39,8.465,7.714315,139200
2010-07-16,8.375,8.4,8.045,8.12,7.39991,220800
2010-07-19,8.065,8.365,8.05,8.24,7.509265,156400
2010-07-20,8.155,8.405,8.11,8.285,7.550276,178000
2010-07-21,8.355,8.49,8.025,8.03,7.31789,95800
2010-07-22,8.155,8.355,8.145,8.25,7.518383,325200
2010-07-23,8.2,8.42,8.16,8.39,7.645966,128000
2010-07-26,8.455,8.7,8.36,8.465,7.714315,235400
2010-07-27,8.535,8.61,8.43,8.5,7.746212,250800
2010-07-28,8.475,8.52,8.33,8.37,7.627737,132400
2010-07-29,8.47,8.47,8.25,8.345,7.604955,48600
2010-07-30,8.3,8.575,8.25,8.55,7.791777,170400
2010-08-02,8.61,8.68,8.47,8.525,7.768994,119000
2010-08-03,8.495,8.655,8.375,8.38,7.63685,89000
2010-08-04,8.405,8.55,8.405,8.515,7.759881,88400
2010-08-05,8.47,8.505,8.265,8.275,7.541165,74000
2010-08-06,8.19,8.37,8.1,8.335,7.595843,84600
2010-08-09,8.4,8.495,8.12,8.4,7.655077,103000
2010-08-10,8.31,8.31,8.085,8.135,7.41358,66400
2010-08-11,8.0,8.04,7.635,7.67,6.989816,171400
2010-08-12,7.555,7.605,7.25,7.4,6.74376,280200
2010-08-13,7.35,7.585,7.25,7.555,6.885015,212000
2010-08-16,7.54,7.54,7.315,7.53,6.862232,111600
2010-08-17,7.595,7.65,7.36,7.635,6.95792,86200
2010-08-18,7.645,7.645,7.395,7.44,6.780212,59800
2010-08-19,7.39,7.51,7.04,7.22,6.579722,142800
2010-08-20,7.165,7.21,7.05,7.09,6.461251,227000
2010-08-23,7.09,7.16,6.685,6.76,6.160516,153800
2010-08-24,6.69,6.855,6.635,6.775,6.174186,127800
2010-08-25,6.745,6.89,6.65,6.87,6.260758,169000
2010-08-26,6.875,7.115,6.85,6.88,6.269874,55800
2010-08-27,6.965,7.38,6.77,7.38,6.725532,89000
2010-08-30,7.325,7.475,7.0,7.16,6.525043,188600
2010-08-31,7.21,7.21,7.01,7.045,6.420241,85200
2010-09-01,7.15,7.215,7.04,7.205,6.566053,73800
2010-09-02,7.23,7.305,7.05,7.16,6.525043,131400
2010-09-03,7.25,7.295,7.165,7.23,6.588835,112200
2010-09-07,7.22,7.33,7.14,7.255,6.611618,337000
