Date,Open,High,Low,Close,Adj Close,Volume
2010-03-11,18.0,19.0,18.0,18.5,17.969912,13231400
2010-03-12,18.5,18.690001,17.120001,18.139999,17.620226,2412200
2010-03-15,18.08,18.120001,17.639999,17.9,17.387102,2596800
2010-03-16,17.9,17.9,17.299999,17.9,17.387102,1019300
2010-03-17,18.0,18.26,17.65,18.15,17.629938,484400
2010-03-18,18.200001,18.440001,18.110001,18.370001,17.843636,58200
2010-03-19,18.33,18.360001,18.129999,18.280001,17.756218,492900
2010-03-22,18.26,18.35,18.059999,18.290001,17.765928,347800
2010-03-23,18.309999,18.309999,18.07,18.16,17.63965,198900
2010-03-24,18.08,18.110001,18.0,18.0,17.484238,284000
2010-03-25,18.15,18.290001,17.93,18.0,17.484238,648900
2010-03-26,18.040001,18.25,18.0,18.0,17.484238,154400
2010-03-29,18.030001,18.200001,18.01,18.120001,17.600801,305700
2010-03-30,18.08,18.139999,17.99,18.0,17.484238,464400
2010-03-31,18.01,18.08,17.950001,17.959999,17.445381,615700
2010-04-01,18.01,18.1,17.950001,18.049999,17.532804,269100
2010-04-05,18.040001,18.049999,17.91,18.02,17.503664,301800
2010-04-06,17.969999,18.0,17.9,17.959999,17.445381,929300
2010-04-07,17.940001,18.4,17.940001,18.309999,17.785357,380800
2010-04-08,18.26,18.57,18.139999,18.5,17.969912,1898200
2010-04-09,18.5,19.0,18.379999,19.0,18.455585,557000
2010-04-12,18.65,19.139999,18.43,19.0,18.455585,510700
2010-04-13,18.9,19.08,18.84,19.040001,18.49444,301600
2010-04-14,19.049999,19.379999,18.99,19.309999,18.756704,370700
2010-04-15,19.110001,19.5,19.110001,19.42,18.863548,254100
2010-04-16,19.280001,19.34,19.049999,19.24,18.688709,58800
2010-04-19,19.120001,19.23,18.950001,19.07,18.523579,277600
2010-04-20,19.34,19.9,19.200001,19.85,19.281231,720600
2010-04-21,19.950001,20.879999,19.889999,20.5,19.912605,912100
2010-04-22,20.35,20.969999,20.219999,20.790001,20.194296,481700
2010-04-23,20.950001,21.120001,20.15,20.469999,19.883465,373100
2010-04-26,20.58,20.82,19.91,20.120001,19.543491,568000
2010-04-27,20.049999,20.5,20.040001,20.24,19.660053,291800
2010-04-28,20.4,20.5,20.0,20.35,19.766899,162100
2010-04-29,20.52,20.790001,20.41,20.6,20.009739,397700
2010-04-30,20.68,20.68,19.950001,20.0,19.426929,141000
2010-05-03,20.129999,20.129999,19.450001,19.92,19.349224,660800
2010-05-04,19.83,20.040001,19.59,19.719999,19.154957,476400
2010-05-05,19.5,19.65,19.09,19.610001,19.048105,138400
2010-05-06,19.5,19.530001,17.719999,19.0,18.455585,414700
2010-05-07,18.950001,19.01,17.860001,18.24,17.71736,175300
2010-05-10,19.059999,20.209999,18.51,19.139999,18.59157,245200
2010-05-11,18.91,19.0,18.719999,18.870001,18.329309,90600
2010-05-12,18.950001,19.389999,18.940001,19.09,18.543007,287000
2010-05-13,19.16,19.67,18.98,19.49,18.931543,419600
2010-05-14,19.440001,19.52,19.16,19.25,18.69842,220300
2010-05-17,19.299999,19.299999,18.9,19.18,18.630426,167100
2010-05-18,19.299999,19.299999,18.950001,19.15,18.601284,138400
2010-05-19,19.0,19.24,18.309999,19.0,18.455585,452600
2010-05-20,18.6,18.6,17.16,17.799999,17.289972,1078300
2010-05-21,17.65,17.82,17.18,17.719999,17.212259,243400
2010-05-24,17.67,17.67,16.950001,17.200001,16.707161,215900
2010-05-25,17.0,17.0,16.219999,16.59,16.114641,673000
2010-05-26,16.860001,17.120001,16.33,16.469999,15.998077,1365700
2010-05-27,16.6,16.98,16.440001,16.83,16.347765,241500
2010-05-28,16.790001,16.790001,15.92,16.629999,16.153492,480800
2010-06-01,16.459999,16.84,16.26,16.440001,15.96894,261500
2010-06-02,16.58,16.790001,16.35,16.790001,16.308908,406500
2010-06-03,16.690001,16.950001,16.59,16.83,16.347765,668000
2010-06-04,16.52,16.75,16.35,16.549999,16.075785,785800
2010-06-07,16.629999,16.700001,16.370001,16.51,16.03693,330200
2010-06-08,16.549999,16.559999,15.3,15.55,15.104438,797100
2010-06-09,15.71,16.93,15.69,16.4,15.930082,436800
2010-06-10,16.49,17.549999,16.49,17.209999,16.716873,335300
2010-06-11,17.25,17.67,17.200001,17.469999,16.969423,474400
2010-06-14,17.469999,17.469999,17.209999,17.280001,16.784868,101700
2010-06-15,17.389999,17.530001,17.25,17.299999,16.804295,194200
2010-06-16,17.24,17.950001,17.24,17.52,17.017992,328800
2010-06-17,17.59,17.6,17.200001,17.549999,17.047132,270600
2010-06-18,17.6,18.200001,17.450001,18.059999,17.542519,455900
2010-06-21,18.360001,18.940001,18.24,18.34,17.814497,303900
2010-06-22,18.26,18.58,18.059999,18.1,17.581373,156200
2010-06-23,18.09,18.1,17.9,18.0,17.484238,186400
2010-06-24,17.91,17.91,17.43,17.49,16.988852,231600
2010-06-25,17.4,17.610001,16.6,17.049999,16.56146,276300
2010-06-28,16.98,17.32,16.950001,17.15,16.658594,106700
2010-06-29,16.950001,17.040001,15.9,15.96,15.502692,339700
2010-06-30,16.01,16.24,15.99,15.99,15.531831,220700
2010-07-01,16.049999,16.200001,15.25,15.96,15.502692,200800
2010-07-02,15.98,16.120001,15.63,16.0,15.541544,109100
2010-07-06,16.25,16.92,16.25,16.5,16.027218,117700
2010-07-07,16.57,16.75,15.54,16.27,15.803808,372000
2010-07-08,16.469999,16.469999,15.97,16.08,15.619253,233200
2010-07-09,16.0,16.200001,15.46,16.1,15.63868,190700
2010-07-12,16.139999,16.370001,15.88,16.059999,15.599825,310200
2010-07-13,16.139999,16.889999,16.059999,16.76,16.279766,192800
2010-07-14,16.84,16.84,16.440001,16.549999,16.075785,122700
2010-07-15,16.620001,16.93,16.030001,16.84,16.357477,144900
2010-07-16,16.709999,16.889999,16.290001,16.58,16.104925,135800
2010-07-19,16.549999,16.73,16.15,16.26,15.794095,107400
2010-07-20,16.120001,16.68,16.049999,16.6,16.124352,207200
2010-07-21,16.799999,17.4,16.34,16.6,16.124352,558900
2010-07-22,16.68,16.860001,16.24,16.360001,15.89123,555900
2010-07-23,16.25,16.65,16.25,16.459999,15.988364,289000
2010-07-26,16.450001,16.59,16.299999,16.35,15.881517,159800
2010-07-27,16.309999,16.450001,16.280001,16.299999,15.832949,126400
2010-07-28,16.25,16.309999,15.98,16.02,15.560973,552300
2010-07-29,16.1,16.1,15.95,16.0,15.541544,515300
2010-07-30,16.0,16.209999,15.98,16.200001,15.735815,1335900
2010-08-02,16.41,16.700001,16.299999,16.51,16.03693,408600
2010-08-03,16.549999,17.030001,16.440001,16.58,16.104925,235200
2010-08-04,16.690001,16.91,16.65,16.75,16.270056,338600
2010-08-05,16.639999,16.82,16.530001,16.66,16.182631,193800
2010-08-06,16.389999,16.620001,16.280001,16.57,16.095211,267200
2010-08-09,16.540001,17.82,16.540001,17.75,17.2414,497500
2010-08-10,17.530001,17.65,16.99,17.459999,16.959707,151400
2010-08-11,17.219999,17.4,16.790001,16.93,16.444899,233300
2010-08-12,16.67,17.040001,16.459999,16.549999,16.075785,191000
2010-08-13,16.459999,17.02,16.459999,16.75,16.270056,191300
2010-08-16,16.639999,17.469999,16.639999,17.059999,16.571171,189600
2010-08-17,17.110001,17.559999,16.959999,17.42,16.92086,269700
2010-08-18,17.32,17.68,17.15,17.51,17.008276,98600
2010-08-19,17.469999,17.610001,17.24,17.4,16.90143,142600
2010-08-20,17.32,17.35,16.959999,17.309999,16.814011,115500
2010-08-23,17.290001,17.35,17.040001,17.1,16.610027,103300
2010-08-24,16.92,16.92,16.389999,16.76,16.279766,131500
2010-08-25,16.610001,16.700001,16.33,16.379999,15.910654,187600
2010-08-26,16.52,16.52,16.25,16.309999,15.842662,75200
2010-08-27,16.450001,16.940001,16.379999,16.9,16.415754,92600
2010-08-30,16.959999,16.969999,16.790001,16.870001,16.386616,60600
2010-08-31,16.9,17.24,16.77,16.870001,16.386616,176900
2010-09-01,17.129999,17.799999,16.879999,17.690001,17.183119,195100
