Date,Open,High,Low,Close,Adj Close,Volume
2024-01-12,3.99,4.0,3.26,3.61,3.61,711400
2024-01-16,3.49,3.8,3.4,3.65,3.65,58500
2024-01-17,3.16,3.72,3.16,3.72,3.72,46400
2024-01-18,3.9,3.9,3.43,3.54,3.54,88400
2024-01-19,3.48,3.597,3.07,3.07,3.07,55000
2024-01-22,2.98,3.0,2.821,2.91,2.91,18600
2024-01-23,3.41,3.41,2.91,2.96,2.96,74900
2024-01-24,3.11,3.11,2.881,2.881,2.881,11200
2024-01-25,2.94,3.05,2.91,2.99,2.99,24900
2024-01-26,3.01,3.15,2.97,3.0,3.0,26700
2024-01-29,3.2,3.2,3.06,3.2,3.2,3500
2024-01-30,3.2,3.2,3.15,3.15,3.15,2800
2024-01-31,3.11,3.15,3.04,3.05,3.05,7500
2024-02-01,3.04,3.2,3.0,3.01,3.01,37000
2024-02-02,3.02,3.09,3.0,3.002,3.002,2800
2024-02-05,3.3,3.39,3.0,3.24,3.24,65000
2024-02-06,3.21,3.4,3.06,3.4,3.4,22100
2024-02-07,3.31,3.31,3.17,3.17,3.17,16200
2024-02-08,3.17,3.17,3.17,3.17,3.17,2500
2024-02-09,3.34,3.34,3.2,3.2,3.2,3600
2024-02-12,3.4,3.6,3.151,3.21,3.21,18700
2024-02-13,3.33,3.65,3.28,3.59,3.59,31200
2024-02-14,3.62,3.7,3.55,3.57,3.57,14000
2024-02-15,3.5,3.58,3.35,3.4,3.4,9400
2024-02-16,3.4,3.55,3.37,3.37,3.37,3500
2024-02-20,3.63,3.64,3.4,3.4,3.4,2900
2024-02-21,3.8,3.8,3.512,3.53,3.53,17000
2024-02-22,4.0,4.0,3.46,3.49,3.49,2600
2024-02-23,3.593,3.663,3.37,3.552,3.552,2800
2024-02-26,3.62,3.62,3.5,3.5,3.5,6100
2024-02-27,3.73,3.73,3.51,3.572,3.572,7000
2024-02-28,3.69,3.69,3.5,3.55,3.55,18200
2024-02-29,3.51,3.65,3.5,3.62,3.62,17700
2024-03-01,3.65,3.673,3.41,3.545,3.545,7100
2024-03-04,3.7,3.7,3.6,3.65,3.65,12500
2024-03-05,3.6,3.72,3.51,3.7,3.7,14700
2024-03-06,3.77,3.8,3.705,3.705,3.705,10100
2024-03-07,3.66,4.0,3.66,3.93,3.93,21900
2024-03-08,4.0,4.0,3.721,3.83,3.83,5000
2024-03-11,3.8,4.0,3.788,4.0,4.0,12000
