Date,Open,High,Low,Close,Adj Close,Volume
2007-06-14,37.0,39.259998,37.0,38.849998,27.472849,662600
2007-06-15,39.099998,39.099998,38.25,38.799999,27.437508,1150000
2007-06-18,39.049999,39.099998,37.150002,37.150002,26.270716,853600
2007-06-19,37.150002,37.700001,36.099998,36.700001,25.952475,951000
2007-06-20,36.830002,36.830002,35.330002,35.950001,25.422127,1721800
2007-06-21,36.0,36.700001,35.75,36.700001,25.952475,537700
2007-06-22,37.0,39.5,36.799999,38.950001,27.543573,250300
2007-06-25,39.099998,40.0,38.25,39.25,27.755718,203200
2007-06-26,39.310001,39.799999,39.200001,39.5,27.932529,119600
2007-06-27,39.5,39.799999,39.0,39.75,28.109301,270700
2007-06-28,39.75,39.950001,39.5,39.599998,28.003233,151200
2007-06-29,39.830002,39.900002,38.75,39.060001,27.621361,1701900
2007-07-02,39.200001,40.630001,38.98,39.970001,28.264868,2000500
2007-07-03,39.98,40.610001,39.080002,39.66,28.045654,3752400
2007-07-05,39.599998,41.279999,39.240002,39.450001,27.897154,4277800
2007-07-06,39.400002,39.919998,38.799999,39.82,28.158804,3950700
2007-07-09,39.549999,40.400002,38.48,40.299999,28.498253,5369500
2007-07-10,39.5,39.5,38.48,39.0,27.578932,5483200
2007-07-11,39.0,39.25,38.700001,39.060001,27.621361,5964800
2007-07-12,38.950001,39.060001,38.310001,39.009998,27.586006,4094400
2007-07-13,38.299999,39.889999,38.0,39.470001,27.911289,2064600
2007-07-16,38.0,39.849998,37.07,39.299999,27.791086,2514800
2007-07-17,39.02,39.5,38.27,38.860001,27.47994,3913400
2007-07-18,36.950001,38.860001,36.599998,37.939999,26.82935,4909400
2007-07-19,38.040001,38.450001,37.630001,38.099998,26.942495,2078400
2007-07-20,38.099998,38.18,37.869999,38.029999,26.893003,3406800
2007-07-23,35.099998,39.0,35.099998,38.91,27.515293,2164400
2007-07-24,38.720001,39.220001,38.130001,38.400002,27.15465,2119000
2007-07-25,38.25,38.57,38.0,38.470001,27.204144,2421500
2007-07-26,38.0,38.299999,36.720001,37.560001,26.560642,3610800
