Date,Open,High,Low,Close,Adj Close,Volume
1999-10-27,54.6875,81.25,54.6875,81.25,80.047859,714
1999-10-28,81.25,81.25,75.0,78.125,76.969093,306
1999-10-29,65.625,75.0,65.625,71.875,70.811569,160
1999-11-01,65.625,70.3125,64.0625,64.0625,63.114662,74
1999-11-02,64.0625,81.25,64.0625,75.0,73.89032,468
1999-11-03,71.875,76.5625,71.875,71.875,70.811569,72
1999-11-04,73.4375,78.125,71.875,75.0,73.89032,388
1999-11-05,78.125,81.25,71.875,71.875,70.811569,168
1999-11-08,79.6875,79.6875,64.0625,64.0625,63.114662,36
1999-11-09,64.0625,78.90625,64.0625,65.625,64.654037,122
1999-11-10,65.625,76.5625,65.625,75.0,73.89032,362
1999-11-11,65.625,76.5625,64.0625,64.0625,63.114662,70
1999-11-12,64.0625,65.625,64.0625,64.0625,63.114662,136
1999-11-15,64.0625,100.0,64.0625,96.875,95.441681,2838
1999-11-16,103.125,115.625,95.3125,112.5,110.835495,4514
1999-11-17,118.75,134.375,103.125,114.0625,112.374893,10788
1999-11-18,125.0,128.125,115.625,126.5625,124.689926,2818
1999-11-19,129.6875,137.5,128.125,134.375,132.386856,2240
1999-11-22,137.5,137.5,106.25,112.5,110.835495,1338
1999-11-23,112.5,112.5,103.125,104.6875,103.138596,498
1999-11-24,103.125,110.9375,81.25,87.5,86.205391,1512
1999-11-26,81.25,87.5,81.25,87.5,86.205391,162
1999-11-29,81.25,87.5,76.5625,87.5,86.205391,734
1999-11-30,90.625,90.625,75.0,87.5,86.205391,342
1999-12-01,87.5,90.625,82.8125,90.625,89.284149,156
1999-12-02,90.625,90.625,75.0,75.0,73.89032,986
1999-12-03,76.5625,78.125,75.0,75.0,73.89032,398
1999-12-06,73.4375,78.125,68.75,75.0,73.89032,876
1999-12-07,78.125,104.6875,71.875,100.0,98.520447,2074
1999-12-08,103.125,103.125,81.25,81.25,80.047859,872
1999-12-09,87.5,93.75,81.25,87.5,86.205391,304
1999-12-10,103.125,103.125,82.8125,85.15625,83.896317,242
1999-12-13,96.875,96.875,84.375,96.875,95.441681,86
1999-12-14,84.375,96.875,84.375,87.5,86.205391,300
1999-12-15,81.25,92.1875,81.25,87.5,86.205391,86
1999-12-16,96.875,96.875,82.8125,87.5,86.205391,398
1999-12-17,84.375,87.5,79.6875,84.375,83.126617,546
1999-12-20,87.5,87.5,75.0,84.375,83.126617,240
1999-12-21,76.5625,82.8125,67.1875,75.0,73.89032,1642
1999-12-22,75.0,75.0,62.5,64.0625,63.114662,776
1999-12-23,73.4375,73.4375,59.375,62.5,61.575272,1040
1999-12-27,60.9375,70.3125,53.125,59.375,58.49651,1106
1999-12-28,59.375,73.4375,56.25,65.625,64.654037,518
1999-12-29,60.9375,71.875,59.375,68.75,67.732811,1124
1999-12-30,71.875,71.875,59.375,68.75,67.732811,1094
1999-12-31,60.9375,62.5,58.59375,62.5,61.575272,740
2000-01-03,59.375,68.75,59.375,68.75,67.732811,596
2000-01-04,68.75,90.625,65.625,82.8125,81.587234,3470
2000-01-05,82.8125,82.8125,65.625,65.625,64.654037,490
2000-01-06,75.0,75.0,65.625,65.625,64.654037,366
2000-01-07,65.625,71.875,65.625,68.75,67.732811,182
2000-01-10,87.5,93.75,82.8125,87.5,86.205391,3690
2000-01-11,87.5,92.1875,81.25,82.8125,81.587234,562
2000-01-12,87.5,87.5,78.125,82.8125,81.587234,720
2000-01-13,81.25,85.9375,78.125,78.125,76.969093,418
2000-01-14,82.8125,82.8125,68.75,68.75,67.732811,160
2000-01-18,70.3125,79.6875,70.3125,71.875,70.811569,220
2000-01-19,71.875,79.6875,71.875,75.0,73.89032,84
2000-01-20,70.3125,75.0,68.75,68.75,67.732811,396
2000-01-21,68.75,73.4375,68.75,73.4375,72.350952,210
2000-01-24,68.75,73.4375,67.1875,67.1875,66.193428,446
2000-01-25,75.0,76.5625,68.75,71.875,70.811569,178
2000-01-26,68.75,68.75,67.1875,68.75,67.732811,224
2000-01-27,67.1875,76.5625,67.1875,67.1875,66.193428,350
2000-01-28,64.0625,65.625,64.0625,64.0625,63.114662,202
2000-01-31,73.4375,73.4375,60.9375,65.625,64.654037,682
2000-02-01,59.375,66.40625,59.375,66.40625,65.423737,414
2000-02-02,65.625,65.625,59.375,59.375,58.49651,148
2000-02-03,65.625,65.625,59.375,65.625,64.654037,62
2000-02-04,59.375,65.625,59.375,64.0625,63.114662,128
2000-02-07,64.0625,64.0625,59.375,60.9375,60.035892,318
2000-02-08,59.375,78.125,59.375,73.4375,72.350952,2956
2000-02-09,73.4375,81.25,73.4375,77.34375,76.199402,2124
2000-02-10,78.125,87.5,68.75,75.0,73.89032,4400
2000-02-11,75.0,87.5,68.75,82.8125,81.587234,810
2000-02-14,87.5,87.5,81.25,84.375,83.126617,2050
2000-02-15,85.9375,85.9375,70.3125,70.3125,69.272186,1008
2000-02-16,70.3125,75.0,64.0625,64.0625,63.114662,512
2000-02-17,68.75,71.875,64.0625,71.875,70.811569,618
2000-02-18,71.875,71.875,64.0625,71.875,70.811569,884
2000-02-22,73.4375,87.5,72.65625,76.5625,75.429718,1878
2000-02-23,84.375,84.375,75.0,76.5625,75.429718,940
2000-02-24,73.4375,81.25,68.75,68.75,67.732811,754
2000-02-25,78.125,78.125,67.1875,71.875,70.811569,1240
2000-02-28,67.1875,75.0,61.71875,68.75,67.732811,596
2000-02-29,62.5,75.0,62.5,63.28125,62.344963,342
2000-03-01,75.0,75.0,62.5,75.0,73.89032,320
