Date,Open,High,Low,Close,Adj Close,Volume
1996-08-01,16.25,18.0,15.5,16.875,13.987453,3440500
1996-08-02,17.0,18.5,17.0,18.5,15.334391,356400
1996-08-05,18.0,20.5,18.0,19.5,16.163275,336100
1996-08-06,20.0,20.0,18.5,19.0,15.748833,227300
1996-08-07,19.0,19.5,19.0,19.25,15.956059,90600
1996-08-08,19.5,19.5,18.75,19.125,15.852443,115600
1996-08-09,18.75,19.5,18.75,19.25,15.956059,74500
1996-08-12,19.0,19.5,19.0,19.5,16.163275,148000
1996-08-13,19.5,19.5,18.25,19.0,15.748833,73600
1996-08-14,19.0,19.0,18.0,18.375,15.230781,144200
1996-08-15,18.0,18.5,18.0,18.0,14.919949,85500
1996-08-16,18.25,20.75,18.0,20.75,17.199385,108300
1996-08-19,21.0,21.5,20.0,20.0,16.577723,144800
1996-08-20,20.0,20.5,19.5,20.375,16.888554,172900
1996-08-21,20.5,20.5,19.75,20.0,16.577723,112800
1996-08-22,20.25,23.0,19.75,22.75,18.857157,192500
1996-08-23,23.0,26.0,22.375,25.875,21.447428,191100
1996-08-26,26.0,27.75,25.25,25.25,20.929375,297300
1996-08-27,25.875,25.875,23.25,24.0,19.893265,202200
1996-08-28,25.25,25.75,24.625,25.0,20.722155,161500
1996-08-29,25.25,27.25,25.0,27.0,22.379925,87900
1996-08-30,27.0,27.0,26.25,26.375,21.861868,56700
1996-09-03,25.625,27.0,24.875,26.875,22.27631,120200
1996-09-04,27.25,27.25,25.25,26.25,21.758261,88500
1996-09-05,26.5,26.75,25.75,26.5,21.965481,53500
1996-09-06,26.75,26.75,26.0,26.0,21.551035,42400
1996-09-09,25.875,27.25,25.875,27.125,22.483532,75600
1996-09-10,27.25,29.0,26.5,29.0,24.037697,196200
1996-09-11,29.0,29.25,28.5,29.0,24.037697,291200
1996-09-12,29.0,29.25,28.5,29.25,24.244917,32400
1996-09-13,29.25,31.875,28.75,31.625,26.213518,102800
1996-09-16,31.5,33.5,31.375,32.875,27.249628,292000
1996-09-17,33.625,33.625,31.75,33.0,27.353241,358200
1996-09-18,33.375,35.25,33.0,35.0,29.011011,166500
1996-09-19,35.5,40.375,35.125,38.0,31.497665,409200
1996-09-20,38.75,40.0,32.125,34.0,28.182125,635000
1996-09-23,34.125,34.75,30.25,30.5,25.281025,216600
1996-09-24,28.75,31.25,28.25,31.125,25.799076,220100
1996-09-25,31.25,31.25,30.5,30.625,25.384636,88400
1996-09-26,31.0,31.0,30.625,31.0,25.695469,178300
1996-09-27,31.75,35.75,31.25,35.125,29.114616,197500
1996-09-30,35.5,38.0,35.0,36.5,30.254343,326700
1996-10-01,35.75,36.0,33.75,34.875,28.9074,235900
1996-10-02,35.25,35.25,34.5,35.25,29.218239,98800
1996-10-03,35.25,36.75,34.25,36.125,29.943506,97200
1996-10-04,37.0,38.0,36.5,36.5,30.254343,103900
1996-10-07,37.25,37.25,34.5,35.875,29.736284,63300
1996-10-08,35.75,36.625,34.625,34.625,28.70018,96600
1996-10-09,35.25,35.25,31.75,32.75,27.146021,169500
1996-10-10,33.0,33.25,30.0,30.25,25.073807,184800
1996-10-11,30.625,31.0,28.25,28.75,23.830475,321100
1996-10-14,28.25,31.0,28.25,31.0,25.695469,499900
1996-10-15,32.0,33.0,31.75,32.875,27.249628,264300
1996-10-16,32.875,33.0,32.25,32.5,26.938795,151900
1996-10-17,32.5,32.5,31.75,32.125,26.62796,34000
1996-10-18,32.5,34.25,31.75,34.0,28.182125,106300
1996-10-21,33.5,34.25,33.5,33.5,27.767687,36200
1996-10-22,34.0,34.0,32.25,32.5,26.938795,117900
1996-10-23,32.25,32.75,31.0,31.5,26.109911,92400
1996-10-24,31.75,31.75,30.625,30.625,25.384636,24400
1996-10-25,31.0,32.5,30.75,31.75,26.317135,165500
1996-10-28,32.5,32.5,31.75,32.0,26.524357,85700
1996-10-29,32.25,33.0,32.0,33.0,27.353241,71000
1996-10-30,32.0,32.75,31.5,32.125,26.62796,58400
1996-10-31,31.875,32.0,30.5,32.0,26.524357,22400
1996-11-01,31.375,32.25,31.0,31.25,25.902691,1836900
1996-11-04,31.5,31.75,31.125,31.1875,25.850883,97200
1996-11-05,31.125,31.75,31.0,31.25,25.902691,431200
1996-11-06,31.25,35.125,31.25,33.75,27.974907,264500
1996-11-07,33.25,34.0,32.75,33.75,27.974907,215800
1996-11-08,33.0,33.75,32.25,32.25,26.731577,159300
1996-11-11,32.25,33.75,32.25,33.75,27.974907,229200
1996-11-12,33.75,33.75,33.0,33.25,27.560467,323000
1996-11-13,33.5,35.25,33.5,34.875,28.9074,289500
1996-11-14,35.25,37.0,34.75,36.125,29.943506,436600
1996-11-15,36.25,36.25,35.0,35.25,29.218239,443800
1996-11-18,35.25,35.5,31.5,32.0,26.524357,675000
1996-11-19,32.0,32.5,31.75,31.75,26.317135,378400
1996-11-20,31.75,32.0,26.0,27.25,22.587147,995600
1996-11-21,27.0,30.25,27.0,30.0,24.866581,1056800
1996-11-22,30.25,31.25,29.25,30.375,25.177412,202000
1996-11-25,30.75,31.75,30.75,31.75,26.317135,351500
1996-11-26,31.0,31.75,31.0,31.25,25.902691,177900
1996-11-27,31.75,31.75,31.25,31.25,25.902691,164700
1996-11-29,31.25,32.25,31.25,31.5,26.109911,61400
1996-12-02,31.5,33.75,31.5,33.0,27.353241,137100
1996-12-03,34.5,35.25,34.25,34.5625,28.648373,572000
1996-12-04,34.375,34.75,33.0,33.25,27.560467,240200
1996-12-05,33.25,33.75,33.25,33.25,27.560467,129500
1996-12-06,31.5,33.25,31.25,32.5,26.938795,420500
1996-12-09,32.75,32.75,32.0,32.125,26.62796,32100
1996-12-10,32.75,33.75,32.0625,33.75,27.974907,183500
1996-12-11,32.0,33.25,31.5,33.25,27.560467,164900
1996-12-12,33.75,35.0,33.0,34.125,28.285742,348200
1996-12-13,33.875,34.25,33.0,33.125,27.456848,79900
1996-12-16,33.125,34.75,33.125,34.5,28.596569,120300
1996-12-17,33.375,33.375,29.5,29.75,24.659363,312000
1996-12-18,30.0,31.5,29.875,30.375,25.177412,314500
1996-12-19,30.5,30.5,24.125,28.25,23.416033,1152500
1996-12-20,28.75,29.0,25.75,26.5,21.965481,217400
1996-12-23,26.75,26.75,25.875,26.0,21.551035,162800
1996-12-24,26.25,27.0,26.0,26.25,21.758261,110800
1996-12-26,27.0,27.875,26.5,27.0,22.379925,80600
