Date,Open,High,Low,Close,Adj Close,Volume
2024-02-26,1.39,1.8,1.13,1.635,1.635,2444600
2024-02-27,2.23,2.71,1.47,1.72,1.72,10196900
2024-02-28,1.71,1.84,1.52,1.67,1.67,1554300
2024-02-29,1.75,1.75,1.22,1.38,1.38,1853300
2024-03-01,1.45,1.539,1.35,1.48,1.48,943700
2024-03-04,1.57,1.57,1.33,1.42,1.42,1011900
2024-03-05,1.36,1.4,1.07,1.14,1.14,1300500
2024-03-06,1.16,1.19,1.04,1.09,1.09,1007200
2024-03-07,1.14,1.15,0.95,1.0,1.0,1184000
2024-03-08,1.09,1.14,1.0,1.1,1.1,801700
2024-03-11,1.13,1.13,0.96,1.06,1.06,1117500
2024-03-12,1.03,1.05,0.977,1.01,1.01,540000
2024-03-13,0.99,1.25,0.935,1.06,1.06,4746800
2024-03-14,1.06,1.09,0.97,0.97,0.97,1802500
2024-03-15,1.02,1.19,0.98,1.14,1.14,2712400
2024-03-18,1.17,1.176,1.03,1.08,1.08,1435300
2024-03-19,1.0,1.05,0.944,0.98,0.98,1163100
2024-03-20,0.955,0.98,0.81,0.88,0.88,1655000
2024-03-21,0.885,0.9,0.77,0.814,0.814,1759200
2024-03-22,0.822,0.94,0.8,0.895,0.895,1398300
2024-03-25,0.93,0.993,0.9,0.967,0.967,1635100
2024-03-26,0.97,0.97,0.85,0.881,0.881,1067100
2024-03-27,0.908,0.908,0.79,0.819,0.819,1212600
2024-03-28,0.87,0.895,0.777,0.798,0.798,2026300
2024-04-01,0.783,0.792,0.682,0.7,0.7,1543400
2024-04-02,0.695,0.73,0.55,0.6,0.6,1489400
2024-04-03,0.572,0.58,0.43,0.499,0.499,2074400
2024-04-04,0.48,0.53,0.431,0.448,0.448,1061600
2024-04-05,0.45,0.47,0.38,0.397,0.397,1028200
2024-04-08,0.4,0.414,0.35,0.375,0.375,1107900
2024-04-09,0.39,0.449,0.365,0.398,0.398,1458400
2024-04-10,0.39,0.44,0.355,0.363,0.363,1180100
2024-04-11,0.369,0.389,0.316,0.333,0.333,896900
2024-04-12,0.339,0.36,0.287,0.297,0.297,1368900
2024-04-15,0.299,0.304,0.27,0.279,0.279,662500
2024-04-16,0.277,0.34,0.275,0.275,0.275,4116600
2024-04-17,0.28,0.289,0.203,0.235,0.235,2887800
2024-04-18,0.219,0.235,0.2,0.207,0.207,2248400
2024-04-19,0.22,0.23,0.201,0.227,0.227,1973100
2024-04-22,0.23,0.235,0.204,0.216,0.216,2578500
2024-04-23,0.23,0.239,0.211,0.226,0.226,3170800
2024-04-24,0.22,0.223,0.205,0.216,0.216,2355800
2024-04-25,0.21,0.21,0.178,0.189,0.189,2436200
2024-04-26,0.19,0.192,0.174,0.184,0.184,2070300
2024-04-29,0.18,0.185,0.162,0.169,0.169,2598800
2024-04-30,0.17,0.171,0.154,0.164,0.164,1383200
2024-05-01,0.165,0.174,0.155,0.169,0.169,2061500
2024-05-02,0.17,0.17,0.156,0.163,0.163,725600
2024-05-03,0.159,0.167,0.156,0.161,0.161,860800
2024-05-06,0.163,0.163,0.132,0.139,0.139,3575700
2024-05-07,0.134,0.14,0.121,0.134,0.134,3485300
2024-05-08,0.144,0.144,0.13,0.142,0.142,1327400
2024-05-09,0.141,0.141,0.131,0.134,0.134,818400
2024-05-10,0.134,0.14,0.122,0.125,0.125,1530600
2024-05-13,0.124,0.127,0.112,0.119,0.119,2135600
2024-05-14,0.12,0.145,0.113,0.129,0.129,5253600
2024-05-15,0.134,0.134,0.113,0.125,0.125,2491100
2024-05-16,0.125,0.176,0.122,0.13,0.13,29878900
2024-05-17,0.197,0.22,0.132,0.18,0.18,96595600
2024-05-20,0.16,0.16,0.134,0.143,0.143,31810900
2024-05-21,0.133,0.14,0.112,0.12,0.12,36529200
2024-05-22,0.116,0.14,0.101,0.12,0.12,46741900
2024-05-23,0.138,0.155,0.115,0.126,0.126,66912800
2024-05-24,0.13,0.16,0.121,0.156,0.156,56581000
2024-05-28,0.162,0.231,0.155,0.193,0.193,193254600
2024-05-29,0.215,0.218,0.15,0.176,0.176,107301000
2024-05-30,0.15,0.151,0.126,0.129,0.129,56911000
2024-05-31,0.14,0.14,0.12,0.13,0.13,41110800
2024-06-03,0.142,0.145,0.13,0.137,0.137,39332100
2024-06-04,0.137,0.144,0.12,0.123,0.123,41470900
2024-06-05,0.117,0.117,0.105,0.11,0.11,29589900
2024-06-06,0.114,0.119,0.107,0.112,0.112,18486100
2024-06-07,0.108,0.113,0.104,0.105,0.105,14254200
2024-06-10,0.106,0.113,0.102,0.105,0.105,13192500
2024-06-11,0.122,0.154,0.118,0.14,0.14,154355000
2024-06-12,0.12,0.121,0.105,0.114,0.114,30134900
2024-06-13,0.11,0.111,0.096,0.109,0.109,17013400
2024-06-14,0.105,0.107,0.095,0.095,0.095,19547900
2024-06-17,0.095,0.095,0.075,0.079,0.079,24218300
2024-06-18,0.075,0.086,0.068,0.086,0.086,42844500
2024-06-20,0.09,0.104,0.08,0.102,0.102,38671000
2024-06-21,0.092,0.098,0.086,0.097,0.097,36170200
2024-06-24,0.076,0.088,0.073,0.08,0.08,25783100
2024-06-25,0.077,0.077,0.066,0.074,0.074,13778600
2024-06-26,0.072,0.073,0.067,0.071,0.071,18520500
2024-06-27,0.09,0.09,0.075,0.077,0.077,53065400
2024-06-28,0.073,0.075,0.07,0.071,0.071,12641700
2024-07-01,0.076,0.076,0.069,0.074,0.074,8155000
2024-07-02,0.074,0.074,0.069,0.073,0.073,7021100
2024-07-03,0.07,0.073,0.064,0.068,0.068,14594400
2024-07-05,0.068,0.085,0.068,0.077,0.077,46471700
2024-07-08,0.073,0.074,0.068,0.071,0.071,11868000
2024-07-09,0.068,0.072,0.068,0.07,0.07,6977200
2024-07-10,0.073,0.073,0.064,0.067,0.067,13195100
2024-07-11,0.067,0.072,0.065,0.069,0.069,15559100
2024-07-12,0.071,0.075,0.068,0.074,0.074,22519700
2024-07-15,0.066,0.071,0.066,0.069,0.069,9822700
2024-07-16,0.07,0.07,0.066,0.068,0.068,8200600
2024-07-17,0.067,0.069,0.063,0.067,0.067,9668700
2024-07-18,0.068,0.068,0.061,0.063,0.063,10528800
2024-07-19,0.061,0.062,0.056,0.057,0.057,11899400
2024-07-22,0.061,0.127,0.06,0.081,0.081,354665700
2024-07-23,0.07,0.075,0.061,0.062,0.062,66585700
2024-07-24,0.061,0.083,0.061,0.071,0.071,63917400
2024-07-25,0.062,0.07,0.062,0.067,0.067,14446200
2024-07-26,0.065,0.073,0.061,0.069,0.069,16680500
2024-07-29,0.066,0.082,0.066,0.07,0.07,31241800
2024-07-30,0.072,0.072,0.065,0.068,0.068,13964000
2024-07-31,0.061,0.069,0.061,0.065,0.065,7520900
2024-08-01,0.068,0.071,0.065,0.068,0.068,8961500
2024-08-02,0.064,0.068,0.057,0.061,0.061,17819500
2024-08-05,0.055,0.057,0.05,0.052,0.052,13066700
2024-08-06,0.054,0.058,0.053,0.056,0.056,10198800
2024-08-07,0.052,0.056,0.049,0.051,0.051,17081600
2024-08-08,0.049,0.051,0.042,0.043,0.043,15151300
