Date,Open,High,Low,Close,Adj Close,Volume
1999-07-30,450.0,457.5,375.0,390.0,105.652512,8530
1999-08-02,405.0,405.0,390.0,390.0,105.652512,1668
1999-08-03,397.5,397.5,390.0,397.5,107.684296,1303
1999-08-04,397.5,397.5,390.0,393.75,106.668411,1287
1999-08-05,390.0,397.5,390.0,397.5,107.684296,715
1999-08-06,397.5,405.0,390.0,397.5,107.684296,658
1999-08-09,405.0,405.0,390.0,390.0,105.652512,425
1999-08-10,390.0,397.5,382.5,390.0,105.652512,598
1999-08-11,390.0,391.875,382.5,382.5,103.620743,813
1999-08-12,382.5,390.0,382.5,382.5,103.620743,640
1999-08-13,390.0,390.0,382.5,384.375,104.128677,920
1999-08-16,382.5,386.25,375.0,375.0,101.588959,567
1999-08-17,375.0,382.5,375.0,376.875,102.096909,513
1999-08-18,376.875,382.5,375.0,382.5,103.620743,425
1999-08-19,382.5,386.25,376.875,378.75,102.604843,772
1999-08-20,378.75,390.0,378.75,386.25,104.636627,388
1999-08-23,382.5,401.25,382.5,401.25,108.70018,528
1999-08-24,397.5,401.25,390.0,390.0,105.652512,877
1999-08-25,390.0,420.0,390.0,420.0,113.779633,1260
1999-08-26,408.75,476.25,408.75,461.25,124.954422,1985
1999-08-27,487.5,517.5,480.0,502.5,136.129196,2430
1999-08-30,502.5,607.5,502.5,547.5,148.319885,12527
1999-08-31,564.375,566.25,487.5,517.5,140.192764,3230
1999-09-01,525.0,525.0,491.25,498.75,135.113312,1463
1999-09-02,495.0,532.5,483.75,532.5,144.256317,1215
1999-09-03,543.75,558.75,525.0,540.0,146.288086,1038
1999-09-07,540.0,540.0,510.0,525.0,142.224548,908
1999-09-08,510.0,517.5,442.5,480.0,130.033859,748
1999-09-09,480.0,480.0,412.5,435.0,117.843193,507
1999-09-10,427.5,433.125,412.5,420.0,113.779633,448
1999-09-13,416.25,416.25,405.0,412.5,111.747849,313
1999-09-14,420.0,420.0,405.0,405.0,109.71608,803
1999-09-15,405.0,427.5,405.0,412.5,111.747849,143
1999-09-16,427.5,427.5,412.5,412.5,111.747849,288
1999-09-17,427.5,431.25,412.5,420.0,113.779633,170
1999-09-20,420.0,427.5,416.25,416.25,112.763748,177
1999-09-21,416.25,416.25,401.25,401.25,108.70018,295
1999-09-22,401.25,412.5,401.25,412.5,111.747849,40
1999-09-23,401.25,405.0,401.25,401.25,108.70018,218
1999-09-24,401.25,401.25,397.5,397.5,107.684296,190
1999-09-27,403.125,408.75,401.25,401.25,108.70018,90
1999-09-28,405.0,405.0,397.5,397.5,107.684296,28
1999-09-29,397.5,397.5,397.5,397.5,107.684296,23
1999-09-30,397.5,408.75,397.5,408.75,110.731964,187
1999-10-01,405.0,408.75,405.0,405.0,109.71608,265
1999-10-04,405.0,412.5,405.0,412.5,111.747849,238
1999-10-05,405.0,412.5,405.0,405.0,109.71608,215
1999-10-06,405.0,405.0,382.5,397.5,107.684296,207
1999-10-07,397.5,397.5,363.75,363.75,98.54129,142
1999-10-08,360.0,360.0,352.5,352.5,95.493622,198
1999-10-11,352.5,360.0,352.5,356.25,96.509514,138
1999-10-12,356.25,356.25,352.5,352.5,95.493622,60
1999-10-13,345.0,345.0,322.5,330.0,89.398285,392
1999-10-14,330.0,337.5,330.0,330.0,89.398285,122
1999-10-15,318.75,341.25,305.625,307.5,83.30294,202
1999-10-18,307.5,307.5,277.5,277.5,75.175827,480
1999-10-19,285.0,345.0,285.0,333.75,90.414169,800
1999-10-20,330.0,345.0,330.0,330.0,89.398285,33
1999-10-21,330.0,345.0,330.0,330.0,89.398285,95
1999-10-22,330.0,345.0,330.0,337.5,91.430054,200
1999-10-25,337.5,352.5,337.5,337.5,91.430054,43
1999-10-26,337.5,345.0,330.0,330.0,89.398285,322
1999-10-27,333.75,337.5,330.0,337.5,91.430054,162
1999-10-28,352.5,352.5,330.0,330.0,89.398285,40
1999-10-29,345.0,352.5,330.0,330.0,89.398285,77
1999-11-01,330.0,330.0,300.0,300.0,81.271164,455
1999-11-02,303.75,311.25,300.0,311.25,84.318832,267
1999-11-03,300.0,352.5,300.0,352.5,95.493622,412
1999-11-04,375.0,393.75,363.75,390.0,105.652512,2195
1999-11-05,397.5,442.5,397.5,405.0,109.71608,4053
1999-11-08,412.5,420.0,360.0,360.0,97.525391,722
1999-11-09,367.5,375.0,352.5,367.5,99.557175,230
1999-11-10,360.0,378.75,360.0,363.75,98.54129,92
1999-11-11,375.0,378.75,363.75,375.0,101.588959,163
1999-11-12,378.75,378.75,345.0,345.0,93.461838,380
1999-11-15,352.5,352.5,296.25,345.0,93.461838,1385
1999-11-16,345.0,345.0,322.5,345.0,93.461838,103
1999-11-17,345.0,352.5,337.5,341.25,92.445953,295
1999-11-18,333.75,352.5,330.0,330.0,89.398285,143
1999-11-19,330.0,348.75,330.0,345.0,93.461838,120
1999-11-22,337.5,356.25,337.5,348.75,94.477722,685
1999-11-23,348.75,352.5,337.5,337.5,91.430054,348
1999-11-24,333.75,356.25,333.75,356.25,96.509514,248
1999-11-26,356.25,363.75,352.5,360.0,97.525391,162
1999-11-29,363.75,375.0,356.25,375.0,101.588959,333
1999-11-30,367.5,378.75,367.5,375.0,101.588959,440
1999-12-01,375.0,386.25,371.25,382.5,103.620743,618
1999-12-02,382.5,442.5,378.75,435.0,117.843193,3103
1999-12-03,442.5,472.5,435.0,461.25,124.954422,2533
1999-12-06,472.5,472.5,435.0,450.0,121.906738,1072
1999-12-07,465.0,487.5,397.5,405.0,109.71608,3152
1999-12-08,401.25,461.25,401.25,438.75,118.85907,3920
1999-12-09,461.25,588.75,442.5,536.25,145.272217,15292
1999-12-10,570.0,592.5,465.0,472.5,128.00209,7010
1999-12-13,525.0,720.0,489.375,562.5,152.383438,33418
1999-12-14,583.125,585.0,446.25,495.0,134.097427,9470
1999-12-15,491.25,510.0,450.0,476.25,129.017975,2647
1999-12-16,495.0,525.0,435.0,457.5,123.93853,3637
1999-12-17,466.875,472.5,412.5,416.25,112.763748,1950
1999-12-20,438.75,442.5,397.5,416.25,112.763748,1363
1999-12-21,414.375,416.25,367.5,375.0,101.588959,2402
1999-12-22,371.25,386.25,360.0,367.5,99.557175,1190
1999-12-23,365.625,371.25,345.0,348.75,94.477722,825
1999-12-27,354.375,363.75,348.75,352.5,95.493622,1027
1999-12-28,348.75,352.5,333.75,333.75,90.414169,738
1999-12-29,341.25,367.5,337.5,367.5,99.557175,630
1999-12-30,367.5,375.0,352.5,363.75,98.54129,957
