Date,Open,High,Low,Close,Adj Close,Volume
2000-10-19,1.984835,2.199487,1.84545,2.196699,1.862702,41542018
2000-10-20,2.196699,2.377899,2.179973,2.35281,1.995077,15871118
2000-10-23,2.341659,2.341659,2.113069,2.157672,1.829609,6477138
2000-10-24,2.168822,2.20785,2.157672,2.179973,1.84852,3721720
2000-10-25,2.17161,2.196699,2.163247,2.177186,1.846156,3013248
2000-10-26,2.182761,2.196699,2.110281,2.152096,1.824881,2051430
2000-10-27,2.163247,2.227364,2.163247,2.219001,1.881614,2999796
2000-10-30,2.219001,2.319358,2.213426,2.277542,1.931254,4098376
2000-10-31,2.288693,2.419715,2.288693,2.347235,1.99035,3896596
2000-11-01,2.35281,2.402988,2.35281,2.363961,2.004533,1694952
2000-11-02,2.358385,2.419715,2.358385,2.419715,2.05181,1735308
2000-11-03,2.42529,2.486619,2.422502,2.430865,2.061264,2488620
2000-11-06,2.430865,2.433653,2.358385,2.358385,1.999806,1970718
2000-11-07,2.358385,2.363961,2.324933,2.338872,1.983259,1242068
2000-11-08,2.344447,2.511708,2.344447,2.494982,2.115633,3053604
2000-11-09,2.489407,2.542373,2.475468,2.500558,2.120361,1181534
2000-11-10,2.489407,2.489407,2.442016,2.442016,2.070721,434948
2000-11-13,2.430865,2.430865,2.336084,2.363961,2.004533,2181466
2000-11-14,2.419715,2.508921,2.419715,2.49777,2.117997,2434812
2000-11-15,2.49777,2.564674,2.464318,2.481044,2.103814,2284598
2000-11-16,2.447591,2.49777,2.439228,2.492194,2.113269,1472994
2000-11-17,2.492194,2.514496,2.475468,2.481044,2.103814,726408
2000-11-20,2.481044,2.631579,2.481044,2.628791,2.229097,2833888
2000-11-21,2.662244,2.78769,2.662244,2.776539,2.354381,4421224
2000-11-22,2.737511,2.740299,2.508921,2.531222,2.146363,5517562
2000-11-24,2.542373,2.676182,2.542373,2.65388,2.250372,1737550
2000-11-27,2.676182,2.754237,2.676182,2.698483,2.288193,1641144
2000-11-28,2.670607,2.676182,2.614853,2.639942,2.238553,612066
2000-11-29,2.634367,2.659456,2.522859,2.536798,2.151091,1932604
2000-11-30,2.520071,2.520071,2.375112,2.419715,2.05181,3076024
2000-12-01,2.564674,2.687333,2.564674,2.634367,2.233825,4916706
2000-12-04,2.623216,2.665031,2.61764,2.665031,2.259827,1165840
2000-12-05,2.704059,2.949376,2.704059,2.924286,2.479665,5120728
2000-12-06,2.879683,2.882471,2.720785,2.72636,2.311831,1735308
2000-12-07,2.731936,2.899197,2.731936,2.837868,2.406385,1950540
2000-12-08,2.882471,3.030219,2.882471,2.921499,2.477301,2849582
2000-12-11,2.932649,2.985616,2.893622,2.982828,2.529306,2587268
2000-12-12,2.982828,2.988403,2.927074,2.988403,2.534032,1129968
2000-12-13,3.005129,3.05252,2.982828,3.01628,2.55767,1564916
2000-12-14,3.005129,3.005129,2.904773,2.910348,2.467845,1674774
2000-12-15,2.854594,2.854594,2.609277,2.670607,2.264555,5329234
2000-12-18,2.71521,2.72636,2.598127,2.65388,2.250372,3562538
2000-12-19,2.65388,2.65388,2.49777,2.522859,2.139271,1150146
2000-12-20,2.469893,2.472681,2.319358,2.363961,2.004533,5479448
2000-12-21,2.319358,2.453167,2.20785,2.369536,2.009261,5033290
2000-12-22,2.336084,2.338872,2.224576,2.235727,1.895797,2607446
2000-12-26,2.232939,2.252453,2.174398,2.182761,1.850884,1289150
2000-12-27,2.182761,2.238515,2.182761,2.213426,1.876887,1280182
2000-12-28,2.196699,2.252453,2.196699,2.224576,1.886341,872138
2000-12-29,2.241302,2.269179,2.230152,2.235727,1.895797,838508
2001-01-02,2.246878,2.258029,2.241302,2.249665,1.907616,1082886
2001-01-03,2.252453,2.559099,2.252453,2.559099,2.170002,6084788
2001-01-04,2.559099,2.586976,2.503345,2.545161,2.158183,2141110
2001-01-05,2.553524,2.581401,2.486619,2.503345,2.122725,1910184
2001-01-08,2.492194,2.503345,2.481044,2.492194,2.113269,338542
2001-01-09,2.503345,2.595339,2.503345,2.592551,2.198368,2513282
2001-01-10,2.575825,2.64273,2.547948,2.575825,2.184184,1392282
2001-01-11,2.553524,2.553524,2.453167,2.500558,2.120361,2111964
2001-01-12,2.500558,2.561887,2.430865,2.469893,2.094359,2827162
2001-01-16,2.531222,2.531222,2.453167,2.453167,2.080176,3445954
2001-01-17,2.492194,2.586976,2.489407,2.559099,2.170002,2394456
2001-01-18,2.575825,2.773751,2.575825,2.75145,2.333107,2717304
2001-01-19,2.770963,2.876896,2.770963,2.815566,2.387474,3885386
2001-01-22,2.860169,2.932649,2.701271,2.704059,2.292921,4221686
2001-01-23,2.692908,2.692908,2.631579,2.662244,2.257464,2333922
